# E + Xe -> E + Xe(2P1)(11.141eV), Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe(2P1)(11.141eV)
# Threshold: 11.141 eV
# Comment: EX 2P1 J=0 ELVL=11.1412.
# Updated: 2010-11-26 13:45:43
# Data points: 201
energy_eV,cross_section_m2
11.1412,0.0
11.142,4.30385e-27
11.17634,1.51247e-24
11.21272,3.07809e-24
11.25037,4.69872e-24
11.28935,6.37631e-24
11.3297,8.11286e-24
11.37147,9.91043e-24
11.4147,1.17712e-23
11.45946,1.36973e-23
11.50578,1.56911e-23
11.55374,1.7755e-23
11.60338,1.98914e-23
11.65476,2.21029e-23
11.70795,2.43921e-23
11.76301,2.67618e-23
11.82,2.92147e-23
11.879,3.17539e-23
11.94007,3.43822e-23
12.00329,3.7103e-23
12.06872,3.99193e-23
12.13646,4.28346e-23
12.20658,4.58524e-23
12.27916,4.89762e-23
12.35429,5.22098e-23
12.43207,5.5557e-23
12.51257,5.90219e-23
12.59591,6.26085e-23
12.68217,6.63212e-23
12.77147,7.01643e-23
12.8639,7.41425e-23
12.95958,7.82605e-23
13.05863,8.41039e-23
13.16115,9.12806e-23
13.26728,9.87096e-23
13.37714,1.064e-22
13.49085,1.1436e-22
13.60857,1.226e-22
13.73042,1.31129e-22
13.85655,1.39959e-22
13.98712,1.49098e-22
14.12227,1.54891e-22
14.26218,1.60487e-22
14.407,1.6628e-22
14.5569,1.72276e-22
14.71208,1.78483e-22
14.87271,1.84908e-22
15.03899,1.9e-22
15.21111,1.9e-22
15.38927,1.9e-22
15.5737,1.9e-22
15.76461,1.9e-22
15.96223,1.9e-22
16.1668,1.89166e-22
16.37855,1.88107e-22
16.59774,1.87011e-22
16.82464,1.85877e-22
17.05951,1.84702e-22
17.30263,1.83487e-22
17.5543,1.82228e-22
17.81481,1.80926e-22
18.08448,1.79155e-22
18.36363,1.76364e-22
18.65258,1.73474e-22
18.95169,1.70483e-22
19.26131,1.67387e-22
19.58181,1.64182e-22
19.91357,1.60864e-22
20.25699,1.58458e-22
20.61249,1.56325e-22
20.98047,1.54117e-22
21.36138,1.51832e-22
21.75569,1.49466e-22
22.16384,1.47017e-22
22.58635,1.44482e-22
23.0237,1.41858e-22
23.47641,1.39142e-22
23.94504,1.3633e-22
24.43014,1.33419e-22
24.93228,1.30406e-22
25.45207,1.2774e-22
25.99013,1.25049e-22
26.5471,1.22265e-22
27.12364,1.19382e-22
27.72044,1.16398e-22
28.33821,1.13309e-22
28.97769,1.10112e-22
29.63965,1.06802e-22
30.32486,1.0409e-22
31.03416,1.02104e-22
31.76839,1.00049e-22
32.52841,9.79204e-23
33.31515,9.57176e-23
34.12953,9.34373e-23
34.97253,9.10769e-23
35.84516,8.86336e-23
36.74845,8.61043e-23
37.68349,8.34862e-23
38.65138,8.07761e-23
39.65329,7.79708e-23
40.69041,7.61025e-23
41.76398,7.47068e-23
42.87527,7.32621e-23
44.02562,7.17667e-23
45.21639,7.02187e-23
46.44901,6.86163e-23
47.72494,6.69576e-23
49.04571,6.52406e-23
50.4129,6.35045e-23
51.82814,6.18062e-23
53.29311,6.00483e-23
54.80956,5.82285e-23
56.3793,5.63448e-23
58.00421,5.43949e-23
59.68622,5.23765e-23
61.42734,5.10722e-23
63.22964,4.99007e-23
65.09529,4.86881e-23
67.02649,4.74328e-23
69.02557,4.61334e-23
71.09489,4.47883e-23
73.23693,4.3396e-23
75.45426,4.19547e-23
77.7495,4.04628e-23
80.1254,3.89498e-23
82.5848,3.79661e-23
85.13062,3.69477e-23
87.76591,3.58936e-23
90.49381,3.48025e-23
93.31758,3.3673e-23
96.24058,3.25038e-23
99.26629,3.12935e-23
102.3983,3.04004e-23
105.6405,2.95899e-23
108.9965,2.87509e-23
112.4705,2.78824e-23
116.0666,2.69834e-23
119.789,2.60527e-23
123.6423,2.53322e-23
127.631,2.4601e-23
131.7598,2.3844e-23
136.0337,2.30605e-23
140.4579,2.22494e-23
145.0375,2.14098e-23
149.778,2.05407e-23
154.6852,2.00315e-23
159.7648,1.95235e-23
165.0229,1.89977e-23
170.4657,1.84534e-23
176.0999,1.789e-23
181.932,1.73068e-23
187.9691,1.67031e-23
194.2184,1.60782e-23
200.6873,1.54732e-23
207.3835,1.5212e-23
214.315,1.49417e-23
221.4901,1.46619e-23
228.9174,1.43722e-23
236.6056,1.40724e-23
244.5641,1.3762e-23
252.8022,1.34407e-23
261.3298,1.31081e-23
270.1572,1.27639e-23
279.2947,1.24075e-23
288.7533,1.20386e-23
298.5444,1.16568e-23
308.6795,1.12615e-23
319.1707,1.08523e-23
330.0307,1.04288e-23
341.2723,9.99038e-24
352.909,9.53655e-24
364.9546,9.06677e-24
377.4235,8.58048e-24
390.3306,8.07711e-24
403.6913,7.6717e-24
417.5215,7.56567e-24
431.8377,7.45591e-24
446.657,7.3423e-24
461.9971,7.22469e-24
477.8763,7.10295e-24
494.3136,6.97693e-24
511.3284,6.84648e-24
528.9412,6.71145e-24
547.173,6.57167e-24
566.0455,6.42698e-24
585.5811,6.27721e-24
605.8033,6.12217e-24
626.7362,5.96169e-24
648.4047,5.79556e-24
670.8347,5.6236e-24
694.0529,5.44559e-24
718.087,5.26133e-24
742.9657,5.0706e-24
768.7188,4.87316e-24
795.3768,4.66878e-24
822.9717,4.45722e-24
851.5363,4.23822e-24
881.1048,4.01153e-24
911.7123,3.77687e-24
943.3955,3.53397e-24
976.1921,3.28253e-24
