# E + Xe -> E + Xe(2P9)(9.686eV), Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe(2P9)(9.686eV)
# Threshold: 9.686 eV
# Comment: EX 2P9 J=2 ELVL= 9.6856.
# Updated: 2010-11-19 14:33:03
# Data points: 201
energy_eV,cross_section_m2
9.6856,0.0
9.6857,4.771e-26
9.72074,1.67663e-23
9.75712,3.41218e-23
9.79478,5.20873e-23
9.83375,7.0684e-23
9.8741,8.99343e-23
9.91587,1.09861e-22
9.9591,1.30488e-22
10.00386,1.51443e-22
10.05018,1.68769e-22
10.09814,1.86704e-22
10.14778,2.05269e-22
10.19916,2.24486e-22
10.25235,2.44379e-22
10.30741,2.64971e-22
10.3644,2.86287e-22
10.4234,3.08352e-22
10.48447,3.31192e-22
10.54769,3.47682e-22
10.61313,3.6234e-22
10.68086,3.77513e-22
10.75098,3.9322e-22
10.82356,4.09478e-22
10.89869,4.26308e-22
10.97647,4.43729e-22
11.05697,4.60167e-22
11.14031,4.76501e-22
11.22657,4.93408e-22
11.31587,5.1091e-22
11.4083,5.29027e-22
11.50398,5.47454e-22
11.60303,5.58745e-22
11.70555,5.70433e-22
11.81168,5.82531e-22
11.92154,5.95055e-22
12.03525,6.07102e-22
12.15297,6.17461e-22
12.27482,6.28184e-22
12.40095,6.39284e-22
12.53152,6.50711e-22
12.66667,6.62334e-22
12.80658,6.74365e-22
12.9514,6.8682e-22
13.1013,6.96065e-22
13.25648,7.03824e-22
13.41711,7.11856e-22
13.58339,7.20169e-22
13.75551,7.28775e-22
13.93367,7.37684e-22
14.1181,7.41945e-22
14.30901,7.43472e-22
14.50663,7.45053e-22
14.7112,7.4669e-22
14.92295,7.48384e-22
15.14214,7.47863e-22
15.36904,7.46048e-22
15.60391,7.44169e-22
15.84703,7.42224e-22
16.0987,7.38878e-22
16.35922,7.33277e-22
16.62888,7.27479e-22
16.90803,7.21477e-22
17.19698,7.15265e-22
17.49609,7.08834e-22
17.80571,7.02177e-22
18.12621,6.93456e-22
18.45797,6.81513e-22
18.80139,6.6915e-22
19.15689,6.56352e-22
19.52487,6.43105e-22
19.90578,6.29392e-22
20.30009,6.18678e-22
20.70824,6.08719e-22
21.13075,5.9841e-22
21.5681,5.87738e-22
22.02081,5.76692e-22
22.48944,5.65258e-22
22.97454,5.53421e-22
23.47668,5.41169e-22
23.99647,5.28486e-22
24.53453,5.15357e-22
25.0915,5.02408e-22
25.66804,4.92376e-22
26.26484,4.81992e-22
26.88261,4.71243e-22
27.52209,4.60116e-22
28.18405,4.48598e-22
28.86926,4.36675e-22
29.57856,4.24333e-22
30.31279,4.12934e-22
31.07281,4.03053e-22
31.85955,3.92826e-22
32.67393,3.82239e-22
33.51693,3.7128e-22
34.38956,3.59936e-22
35.29285,3.49481e-22
36.22789,3.4144e-22
37.19578,3.33116e-22
38.19769,3.245e-22
39.23481,3.15581e-22
40.30838,3.07242e-22
41.41967,3.00908e-22
42.57002,2.94351e-22
43.76079,2.87563e-22
44.99341,2.80538e-22
46.26934,2.73265e-22
47.59011,2.65736e-22
48.9573,2.57943e-22
50.37254,2.50361e-22
51.83751,2.43915e-22
53.35396,2.37243e-22
54.9237,2.30336e-22
56.54861,2.23186e-22
58.23062,2.15785e-22
59.97174,2.08124e-22
61.77404,2.03565e-22
63.63969,1.98901e-22
65.57089,1.94073e-22
67.56997,1.89075e-22
69.63929,1.83902e-22
71.78133,1.78547e-22
73.99866,1.73003e-22
76.2939,1.67265e-22
78.6698,1.61325e-22
81.1292,1.55967e-22
83.67502,1.51385e-22
86.31031,1.46641e-22
89.03821,1.41731e-22
91.86198,1.36648e-22
94.78498,1.31387e-22
97.81069,1.25941e-22
100.9427,1.20963e-22
104.1849,1.17397e-22
107.5409,1.13705e-22
111.0149,1.09884e-22
114.611,1.05928e-22
118.3334,1.01833e-22
122.1867,9.85787e-23
126.1754,9.5986e-23
130.3042,9.33023e-23
134.5781,9.05242e-23
139.0023,8.76485e-23
143.5819,8.52091e-23
148.3224,8.28388e-23
153.2296,8.03852e-23
158.3092,7.78454e-23
163.5673,7.52164e-23
169.0101,7.24949e-23
174.6443,7.02971e-23
180.4764,6.81586e-23
186.5135,6.5945e-23
192.7628,6.36536e-23
199.2317,6.12817e-23
205.9279,5.98144e-23
212.8594,5.84281e-23
220.0345,5.69931e-23
227.4618,5.55076e-23
235.15,5.397e-23
243.1085,5.23783e-23
251.3466,5.07307e-23
259.8742,4.90251e-23
268.7016,4.72597e-23
277.8391,4.54322e-23
287.2977,4.35405e-23
297.0888,4.15822e-23
307.2239,4.02054e-23
317.7151,3.90513e-23
328.5751,3.78567e-23
339.8167,3.66202e-23
351.4534,3.53401e-23
363.499,3.40151e-23
375.9679,3.26435e-23
388.875,3.12238e-23
402.2357,2.98994e-23
416.0659,2.9277e-23
430.3821,2.86328e-23
445.2014,2.79659e-23
460.5415,2.72756e-23
476.4207,2.65611e-23
492.858,2.58214e-23
509.8728,2.50557e-23
527.4856,2.42631e-23
545.7174,2.34427e-23
564.5899,2.25935e-23
584.1255,2.17143e-23
604.3477,2.08913e-23
625.2806,2.0368e-23
646.9491,1.98263e-23
669.3791,1.92655e-23
692.5973,1.86851e-23
716.6314,1.80842e-23
741.5101,1.74622e-23
767.2632,1.68184e-23
793.9212,1.6152e-23
821.5161,1.55697e-23
850.0807,1.49984e-23
879.6492,1.4407e-23
910.2567,1.37949e-23
941.9399,1.31612e-23
974.7365,1.25053e-23
