# E + Xe -> E + Xe(3S4)(11.274eV), Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe(3S4)(11.274eV)
# Threshold: 11.274 eV
# Comment: EX 3S4 J=1 R ELVL=11.2742.
# Updated: 2010-11-19 15:51:46
# Data points: 200
energy_eV,cross_section_m2
11.2743,0.0
11.30934,1.15313e-24
11.34572,2.35333e-24
11.38338,3.58902e-24
11.42235,4.86103e-24
11.4627,6.17016e-24
11.50447,7.51725e-24
11.5477,8.90313e-24
11.59246,1.03286e-23
11.63878,1.17945e-23
11.68674,1.33017e-23
11.73638,1.4851e-23
11.78776,1.64431e-23
11.84095,1.80789e-23
11.89601,1.97592e-23
11.953,2.14847e-23
12.012,2.32562e-23
12.07307,2.50745e-23
12.13629,2.69402e-23
12.20173,2.88541e-23
12.26946,3.08168e-23
12.33958,3.2829e-23
12.41216,3.48912e-23
12.4873,3.70041e-23
12.56507,3.91681e-23
12.64557,4.13838e-23
12.72891,4.36516e-23
12.81517,4.59719e-23
12.90447,4.83451e-23
12.9969,5.07714e-23
13.09258,5.3251e-23
13.19163,5.57841e-23
13.29415,5.83708e-23
13.40028,6.10112e-23
13.51014,6.3705e-23
13.62385,6.64522e-23
13.74157,6.92526e-23
13.86342,7.21058e-23
13.98955,7.50114e-23
14.12012,7.79688e-23
14.25527,8.09776e-23
14.39518,8.40368e-23
14.54,8.71457e-23
14.6899,9.03033e-23
14.84508,9.35085e-23
15.00571,9.67601e-23
15.17199,1.00057e-22
15.34411,1.03397e-22
15.52228,1.06779e-22
15.7067,1.10202e-22
15.89761,1.13663e-22
16.09523,1.17161e-22
16.2998,1.20692e-22
16.51155,1.24256e-22
16.73074,1.27849e-22
16.95764,1.31469e-22
17.19251,1.35114e-22
17.43563,1.38779e-22
17.6873,1.42463e-22
17.94782,1.46163e-22
18.21748,1.49874e-22
18.49663,1.53594e-22
18.78558,1.57318e-22
19.08469,1.61044e-22
19.39431,1.64768e-22
19.71481,1.68485e-22
20.04657,1.72192e-22
20.38999,1.75884e-22
20.74549,1.79557e-22
21.11347,1.83208e-22
21.49438,1.86831e-22
21.88869,1.90422e-22
22.29684,1.93977e-22
22.71935,1.97492e-22
23.1567,2.00961e-22
23.60941,2.0438e-22
24.07804,2.07744e-22
24.56314,2.11049e-22
25.06528,2.14291e-22
25.58508,2.17464e-22
26.12313,2.20565e-22
26.6801,2.23589e-22
27.25664,2.26531e-22
27.85344,2.29387e-22
28.47121,2.32153e-22
29.11069,2.34825e-22
29.77265,2.37399e-22
30.45786,2.39872e-22
31.16716,2.42239e-22
31.90139,2.44496e-22
32.66141,2.46642e-22
33.44815,2.48672e-22
34.26253,2.50584e-22
35.10553,2.52375e-22
35.97816,2.54042e-22
36.88145,2.55584e-22
37.81649,2.56997e-22
38.78438,2.58281e-22
39.78629,2.59434e-22
40.82341,2.60454e-22
41.89698,2.61341e-22
43.00827,2.62093e-22
44.15862,2.6271e-22
45.34939,2.63193e-22
46.58201,2.6354e-22
47.85794,2.63752e-22
49.17871,2.63829e-22
50.5459,2.63773e-22
51.96114,2.63584e-22
53.42611,2.63264e-22
54.94256,2.62814e-22
56.5123,2.62235e-22
58.13721,2.6153e-22
59.81922,2.60701e-22
61.56034,2.5975e-22
63.36264,2.58679e-22
65.22829,2.57492e-22
67.15949,2.56191e-22
69.15857,2.54779e-22
71.22789,2.5326e-22
73.36993,2.51636e-22
75.58726,2.49911e-22
77.8825,2.48089e-22
80.2584,2.46173e-22
82.7178,2.44167e-22
85.26362,2.42075e-22
87.89891,2.39901e-22
90.62681,2.37648e-22
93.45058,2.35321e-22
96.37358,2.32923e-22
99.39929,2.30458e-22
102.5313,2.27932e-22
105.7735,2.25346e-22
109.1295,2.22706e-22
112.6035,2.20015e-22
116.1996,2.17277e-22
119.922,2.14497e-22
123.7753,2.11677e-22
127.764,2.08822e-22
131.8928,2.05935e-22
136.1667,2.03019e-22
140.5909,2.0008e-22
145.1705,1.97119e-22
149.911,1.9414e-22
154.8182,1.91147e-22
159.8978,1.88142e-22
165.1559,1.8513e-22
170.5987,1.82111e-22
176.2329,1.79091e-22
182.065,1.7607e-22
188.1021,1.73053e-22
194.3514,1.7004e-22
200.8203,1.67036e-22
207.5165,1.64042e-22
214.448,1.61061e-22
221.6231,1.58094e-22
229.0504,1.55144e-22
236.7386,1.52212e-22
244.6971,1.493e-22
252.9352,1.46411e-22
261.4628,1.43545e-22
270.2902,1.40704e-22
279.4277,1.37889e-22
288.8863,1.35102e-22
298.6773,1.32344e-22
308.8125,1.29616e-22
319.3037,1.2692e-22
330.1637,1.24255e-22
341.4053,1.21623e-22
353.042,1.19025e-22
365.0876,1.16461e-22
377.5565,1.13933e-22
390.4636,1.1144e-22
403.8243,1.08983e-22
417.6545,1.06562e-22
431.9707,1.04179e-22
446.79,1.01832e-22
462.1301,9.95232e-23
478.0093,9.72518e-23
494.4466,9.50182e-23
511.4614,9.28225e-23
529.0742,9.06647e-23
547.306,8.85448e-23
566.1785,8.64628e-23
585.7141,8.44185e-23
605.9363,8.2412e-23
626.8692,8.0443e-23
648.5377,7.85113e-23
670.9677,7.66168e-23
694.1858,7.47592e-23
718.22,7.29382e-23
743.0987,7.11535e-23
768.8518,6.94049e-23
795.5098,6.76919e-23
823.1047,6.60143e-23
851.6693,6.43716e-23
881.2378,6.27635e-23
911.8453,6.11895e-23
943.5285,5.96493e-23
976.3251,5.81423e-23
