# Vorberechnete Xenon-Ionisationsrate (Biagi/LXCat)
# Te in eV, Kiz in m^3/s
Te_eV,Kiz_m3s
0.500,6.715936e-25
0.550,6.500132e-24
0.600,4.328604e-23
0.650,2.161333e-22
0.700,8.604559e-22
0.750,2.857260e-21
0.800,8.186164e-21
0.850,2.076665e-20
0.900,4.759494e-20
0.950,1.001335e-19
1.000,1.958661e-19
1.050,3.599044e-19
1.100,6.265225e-19
1.150,1.040508e-18
1.200,1.658240e-18
1.250,2.548428e-18
1.300,3.792489e-18
1.350,5.484554e-18
1.400,7.731127e-18
1.450,1.065043e-17
1.500,1.437149e-17
1.550,1.903301e-17
1.600,2.478208e-17
1.650,3.177280e-17
1.700,4.016483e-17
1.750,5.012197e-17
1.800,6.181066e-17
1.850,7.539866e-17
1.900,9.105375e-17
1.950,1.089425e-16
2.000,1.292290e-16
2.050,1.520743e-16
2.100,1.776351e-16
2.150,2.060629e-16
2.200,2.375040e-16
2.250,2.720982e-16
2.300,3.099786e-16
2.350,3.512716e-16
2.400,3.960959e-16
2.450,4.445631e-16
2.500,4.967770e-16
2.550,5.528337e-16
2.600,6.128218e-16
2.650,6.768222e-16
2.700,7.449084e-16
2.750,8.171462e-16
2.800,8.935947e-16
2.850,9.743054e-16
2.900,1.059323e-15
2.950,1.148687e-15
3.000,1.242428e-15
3.050,1.340572e-15
3.100,1.443140e-15
3.150,1.550146e-15
3.200,1.661599e-15
3.250,1.777502e-15
3.300,1.897856e-15
3.350,2.022655e-15
3.400,2.151889e-15
3.450,2.285544e-15
3.500,2.423604e-15
3.550,2.566046e-15
3.600,2.712847e-15
3.650,2.863980e-15
3.700,3.019414e-15
3.750,3.179115e-15
3.800,3.343049e-15
3.850,3.511177e-15
3.900,3.683461e-15
3.950,3.859857e-15
4.000,4.040322e-15
4.050,4.224811e-15
4.100,4.413277e-15
4.150,4.605672e-15
4.200,4.801948e-15
4.250,5.002053e-15
4.300,5.205936e-15
4.350,5.413546e-15
4.400,5.624830e-15
4.450,5.839734e-15
4.500,6.058204e-15
4.550,6.280186e-15
4.600,6.505626e-15
4.650,6.734468e-15
4.700,6.966658e-15
4.750,7.202139e-15
4.800,7.440858e-15
