# E + Xe -> E + Xe(10D2)(11.989eV), Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe(10D2)(11.989eV)
# Threshold: 11.989 eV
# Comment: EX 10D2 J=1 R ELVL=11.9886.
# Updated: 2011-01-27 08:47:47
# Data points: 200
energy_eV,cross_section_m2
11.9887,0.0
12.02374,7.12994e-25
12.06012,1.45634e-24
12.09777,2.22188e-24
12.13675,3.01014e-24
12.1771,3.82165e-24
12.21887,4.65694e-24
12.2621,5.51656e-24
12.30686,6.40102e-24
12.35318,7.31089e-24
12.40114,8.24668e-24
12.45078,9.20893e-24
12.50216,1.01982e-23
12.55535,1.1215e-23
12.61041,1.22598e-23
12.6674,1.33331e-23
12.7264,1.44356e-23
12.78747,1.55676e-23
12.85069,1.67296e-23
12.91612,1.79222e-23
12.98386,1.91458e-23
13.05398,2.04008e-23
13.12656,2.16876e-23
13.20169,2.30067e-23
13.27947,2.43585e-23
13.35997,2.57433e-23
13.44331,2.71614e-23
13.52957,2.86131e-23
13.61887,3.00988e-23
13.7113,3.16186e-23
13.80698,3.31728e-23
13.90603,3.47615e-23
14.00855,3.63849e-23
14.11468,3.8043e-23
14.22454,3.97358e-23
14.33825,4.14634e-23
14.45597,4.32257e-23
14.57782,4.50225e-23
14.70395,4.68537e-23
14.83452,4.87191e-23
14.96967,5.06183e-23
15.10957,5.25509e-23
15.25439,5.45165e-23
15.4043,5.65147e-23
15.55948,5.85448e-23
15.72011,6.06061e-23
15.88639,6.26979e-23
16.05851,6.48194e-23
16.23667,6.69697e-23
16.4211,6.91478e-23
16.61201,7.13526e-23
16.80963,7.35829e-23
17.0142,7.58375e-23
17.22595,7.8115e-23
17.44514,8.0414e-23
17.67204,8.27329e-23
17.90691,8.50702e-23
18.15003,8.7424e-23
18.4017,8.97926e-23
18.66221,9.2174e-23
18.93188,9.45663e-23
19.21103,9.69674e-23
19.49998,9.9375e-23
19.79909,1.01787e-22
20.10871,1.04201e-22
20.42921,1.06614e-22
20.76097,1.09025e-22
21.10439,1.1143e-22
21.45989,1.13827e-22
21.82787,1.16213e-22
22.20878,1.18585e-22
22.60309,1.20941e-22
23.01124,1.23278e-22
23.43375,1.25592e-22
23.8711,1.27881e-22
24.32381,1.30142e-22
24.79244,1.32372e-22
25.27754,1.34568e-22
25.77968,1.36727e-22
26.29947,1.38846e-22
26.83753,1.40921e-22
27.3945,1.42951e-22
27.97104,1.44932e-22
28.56784,1.46862e-22
29.18561,1.48736e-22
29.82509,1.50554e-22
30.48705,1.52311e-22
31.17226,1.54006e-22
31.88156,1.55636e-22
32.61579,1.57198e-22
33.37581,1.58691e-22
34.16255,1.60112e-22
34.97693,1.61458e-22
35.81993,1.62728e-22
36.69256,1.63921e-22
37.59585,1.65033e-22
38.53089,1.66065e-22
39.49878,1.67014e-22
40.50069,1.67879e-22
41.53781,1.6866e-22
42.61138,1.69354e-22
43.72267,1.69962e-22
44.87302,1.70483e-22
46.06379,1.70917e-22
47.29641,1.71262e-22
48.57234,1.7152e-22
49.89311,1.7169e-22
51.2603,1.71773e-22
52.67554,1.71768e-22
54.14051,1.71677e-22
55.65696,1.715e-22
57.2267,1.71238e-22
58.85161,1.70892e-22
60.53362,1.70464e-22
62.27474,1.69954e-22
64.07704,1.69365e-22
65.94269,1.68697e-22
67.87389,1.67953e-22
69.87297,1.67133e-22
71.94229,1.66241e-22
74.08433,1.65279e-22
76.30166,1.64247e-22
78.5969,1.63149e-22
80.9728,1.61987e-22
83.4322,1.60763e-22
85.97802,1.5948e-22
88.61331,1.58139e-22
91.34121,1.56744e-22
94.16498,1.55297e-22
97.08797,1.53801e-22
100.1137,1.52258e-22
103.2457,1.5067e-22
106.4879,1.49041e-22
109.8439,1.47373e-22
113.3179,1.45668e-22
116.914,1.43929e-22
120.6364,1.42159e-22
124.4897,1.4036e-22
128.4784,1.38534e-22
132.6072,1.36685e-22
136.8811,1.34814e-22
141.3053,1.32923e-22
145.8849,1.31016e-22
150.6254,1.29094e-22
155.5326,1.2716e-22
160.6122,1.25216e-22
165.8703,1.23263e-22
171.3131,1.21304e-22
176.9473,1.19341e-22
182.7794,1.17376e-22
188.8165,1.1541e-22
195.0658,1.13445e-22
201.5347,1.11484e-22
208.2309,1.09526e-22
215.1624,1.07575e-22
222.3375,1.05632e-22
229.7648,1.03697e-22
237.453,1.01773e-22
245.4115,9.98599e-23
253.6496,9.79598e-23
262.1772,9.60736e-23
271.0046,9.42023e-23
280.1421,9.23469e-23
289.6007,9.05083e-23
299.3918,8.86875e-23
309.5269,8.68852e-23
320.0181,8.51022e-23
330.8781,8.33391e-23
342.1197,8.15966e-23
353.7564,7.98753e-23
365.802,7.81757e-23
378.2709,7.64984e-23
391.178,7.48436e-23
404.5387,7.32118e-23
418.3689,7.16034e-23
432.6851,7.00187e-23
447.5044,6.84578e-23
462.8445,6.6921e-23
478.7237,6.54086e-23
495.161,6.39205e-23
512.1758,6.2457e-23
529.7886,6.10181e-23
548.0204,5.96038e-23
566.8929,5.82142e-23
586.4285,5.68493e-23
606.6507,5.5509e-23
627.5836,5.41932e-23
649.2521,5.29018e-23
671.6821,5.16348e-23
694.9003,5.0392e-23
718.9344,4.91733e-23
743.8131,4.79785e-23
769.5662,4.68074e-23
796.2242,4.56598e-23
823.8191,4.45355e-23
852.3837,4.34343e-23
881.9522,4.23559e-23
912.5597,4.13001e-23
944.2429,4.02666e-23
977.0395,3.92552e-23
