# E + Xe -> E + Xe(3D4)(10.039eV), Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe(3D4)(10.039eV)
# Threshold: 10.039 eV
# Comment: EX 3D4 J=3 ELVL=10.0391.
# Updated: 2011-01-27 08:49:22
# Data points: 201
energy_eV,cross_section_m2
10.0391,0.0
10.041,3.10752e-26
10.07424,1.09205e-23
10.11062,2.22248e-23
10.14827,3.39263e-23
10.18725,4.6039e-23
10.2276,5.92007e-23
10.26937,7.31229e-23
10.3126,8.75343e-23
10.35736,1.02452e-22
10.40368,1.17894e-22
10.45164,1.33879e-22
10.50128,1.50447e-22
10.55266,1.68431e-22
10.60585,1.87048e-22
10.66091,2.06318e-22
10.7179,2.26565e-22
10.7769,2.48197e-22
10.83797,2.70589e-22
10.90119,2.93769e-22
10.96662,3.17762e-22
11.03436,3.42027e-22
11.10448,3.66568e-22
11.17706,3.91972e-22
11.25219,4.17398e-22
11.32997,4.43322e-22
11.41047,4.70158e-22
11.49381,4.97936e-22
11.58007,5.30427e-22
11.66937,5.6436e-22
11.7618,5.99484e-22
11.85748,6.35843e-22
11.95653,6.7348e-22
12.05905,7.11258e-22
12.16518,7.49464e-22
12.27504,7.89013e-22
12.38875,8.29951e-22
12.50647,8.72587e-22
12.62832,9.21328e-22
12.75445,9.71781e-22
12.88502,1.02401e-21
13.02017,1.07605e-21
13.16007,1.11802e-21
13.30489,1.16147e-21
13.4548,1.20644e-21
13.60998,1.2442e-21
13.77061,1.27953e-21
13.93689,1.31612e-21
14.10901,1.33654e-21
14.28717,1.34723e-21
14.4716,1.3583e-21
14.66251,1.36e-21
14.86013,1.36e-21
15.0647,1.35482e-21
15.27645,1.33788e-21
15.49564,1.32035e-21
15.72254,1.3022e-21
15.95741,1.28341e-21
16.20053,1.25393e-21
16.4522,1.22121e-21
16.71271,1.18735e-21
16.98238,1.15229e-21
17.26153,1.116e-21
17.55048,1.07844e-21
17.84959,1.03955e-21
18.15921,1.01045e-21
18.47971,9.91217e-22
18.81147,9.71312e-22
19.15489,9.50706e-22
19.51039,9.29377e-22
19.87837,9.07298e-22
20.25928,8.77961e-22
20.65359,8.44445e-22
21.06174,8.09752e-22
21.48425,7.73839e-22
21.9216,7.36664e-22
22.37431,7.10037e-22
22.84294,6.85043e-22
23.32804,6.59171e-22
23.83018,6.3239e-22
24.34997,6.04668e-22
24.88803,5.75972e-22
25.445,5.4953e-22
26.02154,5.23009e-22
26.61834,4.95557e-22
27.23611,4.67139e-22
27.87559,4.37723e-22
28.53755,4.07273e-22
29.22276,3.75753e-22
29.93206,3.43125e-22
30.66628,3.33337e-22
31.42631,3.25737e-22
32.21305,3.1787e-22
33.02743,3.09726e-22
33.87043,3.01296e-22
34.74306,2.92569e-22
35.64635,2.80951e-22
36.58139,2.67861e-22
37.54928,2.5431e-22
38.55119,2.40283e-22
39.58831,2.25764e-22
40.66188,2.15036e-22
41.77317,2.06701e-22
42.92352,1.98074e-22
44.11429,1.89143e-22
45.34691,1.79898e-22
46.62284,1.70329e-22
47.94361,1.60423e-22
49.3108,1.50169e-22
50.72604,1.41733e-22
52.19101,1.3514e-22
53.70746,1.28316e-22
55.2772,1.21253e-22
56.90211,1.13941e-22
58.58412,1.06371e-22
60.32524,9.92845e-23
62.12754,9.53194e-23
63.99319,9.1215e-23
65.92439,8.69663e-23
67.92347,8.25684e-23
69.99279,7.80159e-23
72.13483,7.33034e-23
74.35215,6.84253e-23
76.6474,6.33757e-23
79.0233,5.81487e-23
81.4827,5.45173e-23
84.02852,5.19715e-23
86.66381,4.93362e-23
89.39171,4.66083e-23
92.21548,4.37845e-23
95.13847,4.08615e-23
98.16419,3.78358e-23
101.2962,3.52871e-23
104.5384,3.35039e-23
107.8944,3.16581e-23
111.3684,2.97474e-23
114.9645,2.77695e-23
118.6869,2.57222e-23
122.5402,2.42379e-23
126.5289,2.30413e-23
130.6577,2.18027e-23
134.9316,2.05205e-23
139.3558,1.91933e-23
143.9354,1.78194e-23
148.6759,1.63972e-23
153.5831,1.54984e-23
158.6627,1.47872e-23
163.9208,1.40511e-23
169.3636,1.32891e-23
174.9978,1.25003e-23
180.8299,1.16838e-23
186.867,1.08386e-23
193.1163,9.96372e-24
199.5852,9.05808e-24
206.2814,8.68593e-24
213.2129,8.33936e-24
220.388,7.9806e-24
227.8153,7.60924e-24
235.5035,7.22482e-24
243.462,6.8269e-24
251.7001,6.41499e-24
260.2277,5.98861e-24
269.0551,5.54725e-24
278.1926,5.09037e-24
287.6512,4.61744e-24
297.4423,4.12789e-24
307.5774,3.92423e-24
318.0686,3.81931e-24
328.9286,3.71071e-24
340.1702,3.5983e-24
351.8069,3.48193e-24
363.8525,3.36147e-24
376.3214,3.23679e-24
389.2285,3.10771e-24
402.5892,2.97411e-24
416.4194,2.83581e-24
430.7356,2.69264e-24
445.5549,2.54445e-24
460.895,2.39105e-24
476.7742,2.23226e-24
493.2115,2.06789e-24
510.2263,1.89774e-24
527.8391,1.72161e-24
546.0709,1.53929e-24
564.9434,1.35057e-24
584.479,1.15521e-24
604.7012,9.92478e-25
625.6341,9.58985e-25
647.3026,9.24316e-25
669.7325,8.88428e-25
692.9507,8.51279e-25
716.9849,8.12824e-25
741.8636,7.73018e-25
767.6167,7.31813e-25
794.2747,6.8916e-25
821.8696,6.45009e-25
850.4342,5.99305e-25
880.0027,5.51996e-25
910.6102,5.03024e-25
942.2934,4.52331e-25
975.09,3.99856e-25
