# E + Xe, Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe
# Threshold: 9.447 eV
# Comment: Excitation 1s3.
# Updated: 2014-02-17 11:04:16
# Data points: 40
energy_eV,cross_section_m2
9.447,0.0
9.52,4.08e-23
9.55,7.56e-23
9.59,5.16e-23
9.63,7.8e-23
9.68,5.76e-23
9.73,5.04e-23
9.78,5.16e-23
9.83,7.8e-23
9.9,9.24e-23
9.94,8.88e-23
10.0,1.02e-22
10.25,1.66e-22
10.5,2.2e-22
10.75,2.59e-22
11.0,3.12e-22
11.5,4.32e-22
12.0,5.16e-22
12.5,5.7e-22
13.0,6e-22
14.0,6.12e-22
15.0,5.76e-22
16.0,5.4e-22
18.0,4.32e-22
20.0,3.54e-22
22.0,2.7e-22
25.0,2.04e-22
30.0,1.34e-22
35.0,9.12e-23
40.0,7.56e-23
50.0,5.88e-23
60.0,5.28e-23
80.0,4.68e-23
100.0,4.08e-23
120.0,3.72e-23
150.0,3.12e-23
200.0,2.52e-23
300.0,1.8e-23
500.0,1.2e-23
1000.0,7.2e-24
