# Elastic rate (hayashi)
Te_eV,Kel_m3s
0.500,1.953384e-14
0.550,2.186949e-14
0.600,2.470999e-14
0.650,2.799064e-14
0.700,3.165244e-14
0.750,3.564103e-14
0.800,3.990617e-14
0.850,4.440151e-14
0.900,4.908449e-14
0.950,5.391624e-14
1.000,5.886149e-14
1.050,6.388843e-14
1.100,6.896861e-14
1.150,7.407670e-14
1.200,7.919032e-14
1.250,8.428983e-14
1.300,8.935811e-14
1.350,9.438033e-14
1.400,9.934375e-14
1.450,1.042375e-13
1.500,1.090525e-13
1.550,1.137809e-13
1.600,1.184166e-13
1.650,1.229544e-13
1.700,1.273902e-13
1.750,1.317210e-13
1.800,1.359444e-13
1.850,1.400588e-13
1.900,1.440633e-13
1.950,1.479574e-13
2.000,1.517411e-13
2.050,1.554150e-13
2.100,1.589797e-13
2.150,1.624365e-13
2.200,1.657865e-13
2.250,1.690313e-13
2.300,1.721727e-13
2.350,1.752125e-13
2.400,1.781527e-13
2.450,1.809954e-13
2.500,1.837426e-13
2.550,1.863967e-13
2.600,1.889598e-13
2.650,1.914342e-13
2.700,1.938222e-13
2.750,1.961260e-13
2.800,1.983479e-13
2.850,2.004902e-13
2.900,2.025551e-13
2.950,2.045448e-13
3.000,2.064615e-13
3.050,2.083074e-13
3.100,2.100845e-13
3.150,2.117949e-13
3.200,2.134407e-13
3.250,2.150238e-13
3.300,2.165462e-13
3.350,2.180097e-13
3.400,2.194162e-13
3.450,2.207675e-13
3.500,2.220654e-13
3.550,2.233115e-13
3.600,2.245075e-13
3.650,2.256550e-13
3.700,2.267556e-13
3.750,2.278108e-13
3.800,2.288221e-13
3.850,2.297908e-13
3.900,2.307185e-13
3.950,2.316064e-13
4.000,2.324558e-13
4.050,2.332680e-13
4.100,2.340442e-13
4.150,2.347856e-13
4.200,2.354934e-13
4.250,2.361686e-13
4.300,2.368124e-13
4.350,2.374257e-13
4.400,2.380096e-13
4.450,2.385650e-13
4.500,2.390930e-13
4.550,2.395943e-13
4.600,2.400700e-13
4.650,2.405207e-13
4.700,2.409475e-13
4.750,2.413509e-13
4.800,2.417319e-13
4.850,2.420912e-13
4.900,2.424295e-13
4.950,2.427474e-13
5.000,2.430458e-13
5.050,2.433251e-13
5.100,2.435861e-13
5.150,2.438293e-13
5.200,2.440553e-13
5.250,2.442648e-13
5.300,2.444582e-13
5.350,2.446361e-13
5.400,2.447990e-13
5.450,2.449474e-13
5.500,2.450817e-13
5.550,2.452025e-13
5.600,2.453102e-13
5.650,2.454052e-13
5.700,2.454879e-13
5.750,2.455588e-13
5.800,2.456183e-13
5.850,2.456666e-13
5.900,2.457042e-13
5.950,2.457315e-13
6.000,2.457487e-13
6.050,2.457563e-13
6.100,2.457545e-13
6.150,2.457436e-13
6.200,2.457240e-13
6.250,2.456959e-13
6.300,2.456596e-13
6.350,2.456154e-13
6.400,2.455635e-13
6.450,2.455042e-13
6.500,2.454378e-13
6.550,2.453645e-13
6.600,2.452844e-13
6.650,2.451979e-13
6.700,2.451052e-13
6.750,2.450064e-13
6.800,2.449018e-13
6.850,2.447915e-13
6.900,2.446758e-13
6.950,2.445548e-13
7.000,2.444287e-13
7.050,2.442976e-13
7.100,2.441618e-13
7.150,2.440214e-13
7.200,2.438766e-13
7.250,2.437275e-13
7.300,2.435742e-13
7.350,2.434169e-13
7.400,2.432558e-13
7.450,2.430909e-13
7.500,2.429224e-13
7.550,2.427504e-13
7.600,2.425751e-13
7.650,2.423965e-13
7.700,2.422147e-13
7.750,2.420300e-13
7.800,2.418423e-13
7.850,2.416518e-13
7.900,2.414586e-13
7.950,2.412627e-13
8.000,2.410643e-13
8.050,2.408635e-13
8.100,2.406604e-13
8.150,2.404549e-13
8.200,2.402473e-13
8.250,2.400376e-13
8.300,2.398259e-13
8.350,2.396122e-13
8.400,2.393966e-13
8.450,2.391792e-13
8.500,2.389601e-13
8.550,2.387393e-13
8.600,2.385169e-13
8.650,2.382930e-13
8.700,2.380675e-13
8.750,2.378407e-13
8.800,2.376124e-13
8.850,2.373829e-13
8.900,2.371521e-13
8.950,2.369201e-13
9.000,2.366869e-13
9.050,2.364526e-13
9.100,2.362173e-13
9.150,2.359809e-13
9.200,2.357436e-13
9.250,2.355053e-13
9.300,2.352662e-13
9.350,2.350262e-13
9.400,2.347854e-13
9.450,2.345438e-13
9.500,2.343015e-13
9.550,2.340586e-13
9.600,2.338149e-13
9.650,2.335707e-13
9.700,2.333258e-13
9.750,2.330804e-13
9.800,2.328345e-13
9.850,2.325880e-13
9.900,2.323411e-13
9.950,2.320938e-13
10.000,2.318461e-13
10.050,2.315979e-13
10.100,2.313495e-13
10.150,2.311006e-13
10.200,2.308515e-13
10.250,2.306021e-13
10.300,2.303525e-13
10.350,2.301026e-13
10.400,2.298525e-13
10.450,2.296022e-13
10.500,2.293517e-13
10.550,2.291011e-13
10.600,2.288503e-13
10.650,2.285995e-13
10.700,2.283485e-13
10.750,2.280975e-13
10.800,2.278464e-13
10.850,2.275953e-13
10.900,2.273441e-13
10.950,2.270930e-13
11.000,2.268418e-13
11.050,2.265907e-13
11.100,2.263396e-13
11.150,2.260886e-13
11.200,2.258376e-13
11.250,2.255867e-13
11.300,2.253359e-13
11.350,2.250852e-13
11.400,2.248347e-13
11.450,2.245842e-13
11.500,2.243340e-13
11.550,2.240838e-13
11.600,2.238338e-13
11.650,2.235841e-13
11.700,2.233344e-13
11.750,2.230850e-13
11.800,2.228358e-13
11.850,2.225869e-13
11.900,2.223381e-13
11.950,2.220896e-13
12.000,2.218413e-13
12.050,2.215933e-13
12.100,2.213455e-13
12.150,2.210980e-13
12.200,2.208508e-13
12.250,2.206039e-13
12.300,2.203572e-13
12.350,2.201109e-13
12.400,2.198649e-13
12.450,2.196192e-13
12.500,2.193738e-13
12.550,2.191287e-13
12.600,2.188840e-13
12.650,2.186396e-13
12.700,2.183956e-13
12.750,2.181519e-13
12.800,2.179086e-13
12.850,2.176656e-13
12.900,2.174230e-13
12.950,2.171808e-13
13.000,2.169389e-13
13.050,2.166975e-13
13.100,2.164564e-13
13.150,2.162157e-13
13.200,2.159755e-13
13.250,2.157356e-13
13.300,2.154961e-13
13.350,2.152571e-13
13.400,2.150184e-13
13.450,2.147802e-13
13.500,2.145424e-13
13.550,2.143050e-13
13.600,2.140681e-13
13.650,2.138315e-13
13.700,2.135955e-13
13.750,2.133598e-13
13.800,2.131246e-13
13.850,2.128899e-13
13.900,2.126556e-13
13.950,2.124217e-13
14.000,2.121883e-13
14.050,2.119554e-13
14.100,2.117229e-13
14.150,2.114908e-13
14.200,2.112593e-13
14.250,2.110282e-13
14.300,2.107976e-13
14.350,2.105674e-13
14.400,2.103377e-13
14.450,2.101085e-13
14.500,2.098798e-13
14.550,2.096515e-13
14.600,2.094238e-13
14.650,2.091965e-13
14.700,2.089697e-13
14.750,2.087433e-13
14.800,2.085175e-13
14.850,2.082922e-13
14.900,2.080673e-13
14.950,2.078429e-13
15.000,2.076191e-13
15.050,2.073957e-13
15.100,2.071728e-13
15.150,2.069504e-13
15.200,2.067285e-13
15.250,2.065071e-13
15.300,2.062862e-13
15.350,2.060658e-13
15.400,2.058460e-13
15.450,2.056266e-13
15.500,2.054077e-13
15.550,2.051893e-13
15.600,2.049714e-13
15.650,2.047540e-13
15.700,2.045372e-13
15.750,2.043208e-13
15.800,2.041050e-13
15.850,2.038896e-13
15.900,2.036748e-13
15.950,2.034605e-13
16.000,2.032466e-13
16.050,2.030333e-13
16.100,2.028205e-13
16.150,2.026082e-13
16.200,2.023965e-13
16.250,2.021852e-13
16.300,2.019744e-13
16.350,2.017642e-13
16.400,2.015544e-13
16.450,2.013452e-13
16.500,2.011365e-13
16.550,2.009283e-13
16.600,2.007206e-13
16.650,2.005134e-13
16.700,2.003068e-13
16.750,2.001006e-13
16.800,1.998950e-13
16.850,1.996898e-13
16.900,1.994852e-13
16.950,1.992811e-13
17.000,1.990775e-13
17.050,1.988744e-13
17.100,1.986719e-13
17.150,1.984698e-13
17.200,1.982682e-13
17.250,1.980672e-13
17.300,1.978667e-13
17.350,1.976666e-13
17.400,1.974671e-13
17.450,1.972681e-13
17.500,1.970696e-13
17.550,1.968716e-13
17.600,1.966741e-13
17.650,1.964772e-13
17.700,1.962807e-13
17.750,1.960847e-13
17.800,1.958893e-13
17.850,1.956943e-13
17.900,1.954999e-13
17.950,1.953060e-13
18.000,1.951125e-13
18.050,1.949196e-13
18.100,1.947272e-13
18.150,1.945353e-13
18.200,1.943438e-13
18.250,1.941529e-13
18.300,1.939625e-13
18.350,1.937726e-13
18.400,1.935832e-13
18.450,1.933942e-13
18.500,1.932058e-13
18.550,1.930179e-13
18.600,1.928305e-13
18.650,1.926435e-13
18.700,1.924571e-13
18.750,1.922711e-13
18.800,1.920857e-13
18.850,1.919007e-13
18.900,1.917163e-13
18.950,1.915323e-13
19.000,1.913488e-13
19.050,1.911658e-13
19.100,1.909833e-13
19.150,1.908013e-13
19.200,1.906198e-13
19.250,1.904388e-13
19.300,1.902582e-13
19.350,1.900781e-13
19.400,1.898986e-13
19.450,1.897195e-13
19.500,1.895409e-13
19.550,1.893627e-13
19.600,1.891851e-13
19.650,1.890079e-13
19.700,1.888312e-13
19.750,1.886550e-13
19.800,1.884793e-13
19.850,1.883040e-13
19.900,1.881292e-13
19.950,1.879549e-13
20.000,1.877811e-13
