# Ionisation rate (hayashi)
Te_eV,Kiz_m3s
0.500,5.045373e-25
0.550,4.900345e-24
0.600,3.276509e-23
0.650,1.643227e-22
0.700,6.572093e-22
0.750,2.192618e-21
0.800,6.311565e-21
0.850,1.608600e-20
0.900,3.703682e-20
0.950,7.827088e-20
1.000,1.537726e-19
1.050,2.837614e-19
1.100,4.960160e-19
1.150,8.270728e-19
1.200,1.323220e-18
1.250,2.041228e-18
1.300,3.048796e-18
1.350,4.424682e-18
1.400,6.258554e-18
1.450,8.650566e-18
1.500,1.171070e-17
1.550,1.555793e-17
1.600,2.031919e-17
1.650,2.612833e-17
1.700,3.312487e-17
1.750,4.145286e-17
1.800,5.125965e-17
1.850,6.269471e-17
1.900,7.590849e-17
1.950,9.105139e-17
2.000,1.082727e-16
2.050,1.277199e-16
2.100,1.495373e-16
2.150,1.738662e-16
2.200,2.008432e-16
2.250,2.306006e-16
2.300,2.632653e-16
2.350,2.989586e-16
2.400,3.377961e-16
2.450,3.798870e-16
2.500,4.253344e-16
2.550,4.742348e-16
2.600,5.266784e-16
2.650,5.827486e-16
2.700,6.425226e-16
2.750,7.060710e-16
2.800,7.734578e-16
2.850,8.447413e-16
2.900,9.199731e-16
2.950,9.991991e-16
3.000,1.082460e-15
3.050,1.169789e-15
3.100,1.261216e-15
3.150,1.356766e-15
3.200,1.456456e-15
3.250,1.560301e-15
3.300,1.668311e-15
3.350,1.780490e-15
3.400,1.896839e-15
3.450,2.017357e-15
3.500,2.142035e-15
3.550,2.270865e-15
3.600,2.403831e-15
3.650,2.540919e-15
3.700,2.682107e-15
3.750,2.827374e-15
3.800,2.976695e-15
3.850,3.130042e-15
3.900,3.287385e-15
3.950,3.448693e-15
4.000,3.613933e-15
4.050,3.783068e-15
4.100,3.956061e-15
4.150,4.132875e-15
4.200,4.313468e-15
4.250,4.497799e-15
4.300,4.685827e-15
4.350,4.877507e-15
4.400,5.072794e-15
4.450,5.271644e-15
4.500,5.474011e-15
4.550,5.679847e-15
4.600,5.889106e-15
4.650,6.101739e-15
4.700,6.317699e-15
4.750,6.536936e-15
4.800,6.759402e-15
4.850,6.985048e-15
4.900,7.213825e-15
4.950,7.445683e-15
5.000,7.680573e-15
5.050,7.918445e-15
5.100,8.159251e-15
5.150,8.402940e-15
5.200,8.649465e-15
5.250,8.898775e-15
5.300,9.150823e-15
5.350,9.405559e-15
5.400,9.662936e-15
5.450,9.922906e-15
5.500,1.018542e-14
5.550,1.045043e-14
5.600,1.071790e-14
5.650,1.098776e-14
5.700,1.125999e-14
5.750,1.153453e-14
5.800,1.181133e-14
5.850,1.209036e-14
5.900,1.237156e-14
5.950,1.265490e-14
6.000,1.294033e-14
6.050,1.322781e-14
6.100,1.351729e-14
6.150,1.380874e-14
6.200,1.410211e-14
6.250,1.439736e-14
6.300,1.469445e-14
6.350,1.499334e-14
6.400,1.529400e-14
6.450,1.559638e-14
6.500,1.590044e-14
6.550,1.620615e-14
6.600,1.651347e-14
6.650,1.682236e-14
6.700,1.713279e-14
6.750,1.744472e-14
6.800,1.775812e-14
6.850,1.807296e-14
6.900,1.838919e-14
6.950,1.870678e-14
7.000,1.902571e-14
7.050,1.934593e-14
7.100,1.966743e-14
7.150,1.999015e-14
7.200,2.031409e-14
7.250,2.063920e-14
7.300,2.096545e-14
7.350,2.129282e-14
7.400,2.162128e-14
7.450,2.195079e-14
7.500,2.228134e-14
7.550,2.261288e-14
7.600,2.294540e-14
7.650,2.327887e-14
7.700,2.361327e-14
7.750,2.394856e-14
7.800,2.428472e-14
7.850,2.462173e-14
7.900,2.495956e-14
