# E + Ar -> E + Ar(1S3), Excitation, Schwelle 11.723 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
11.723,0.000000e+00
11.724,6.518400e-25
11.74,1.135500e-23
11.758,3.420900e-23
11.776,4.366100e-23
11.795,4.409600e-23
11.813,3.640800e-23
11.832,2.691300e-23
11.851,2.300000e-23
11.871,2.149400e-23
11.891,1.879400e-23
11.912,1.711700e-23
11.932,1.624700e-23
11.953,1.550000e-23
11.975,1.550000e-23
11.997,1.550000e-23
12.019,1.579900e-23
12.041,1.616000e-23
12.064,1.652800e-23
12.088,1.690100e-23
12.111,1.755400e-23
12.136,1.852100e-23
12.16,1.950600e-23
12.185,2.050700e-23
12.211,2.161100e-23
12.237,2.285500e-23
12.263,2.412000e-23
12.29,2.540800e-23
12.317,2.688800e-23
12.345,2.849900e-23
12.373,3.013800e-23
12.402,3.183000e-23
12.431,3.393500e-23
12.461,3.607800e-23
12.491,3.825700e-23
12.522,4.032200e-23
12.553,4.235800e-23
12.585,4.443100e-23
12.618,4.636400e-23
12.651,4.817900e-23
12.684,5.002600e-23
12.718,5.150300e-23
12.753,5.265000e-23
12.788,5.381700e-23
12.824,5.385900e-23
12.861,5.227200e-23
12.898,4.810100e-23
12.936,5.018200e-23
12.975,4.435600e-23
13.014,4.683500e-23
13.054,8.376300e-23
13.094,7.529900e-23
13.136,5.839700e-23
13.178,5.350000e-23
13.22,1.000100e-22
13.264,6.473500e-23
13.308,4.239500e-23
13.353,2.364600e-23
13.399,2.428700e-23
13.446,2.512300e-23
13.493,3.573900e-23
13.541,3.788900e-23
13.59,4.007600e-23
13.64,4.248100e-23
13.691,4.497100e-23
13.743,4.677400e-23
13.796,4.845800e-23
13.849,5.041600e-23
13.904,5.243100e-23
13.959,5.448100e-23
14.015,5.673500e-23
14.073,5.948700e-23
14.131,6.228800e-23
14.19,6.513800e-23
14.251,6.803700e-23
14.312,7.098700e-23
14.375,7.398800e-23
14.438,7.704100e-23
14.503,8.011700e-23
14.569,8.261900e-23
14.636,8.516500e-23
14.704,8.775500e-23
14.773,9.039000e-23
14.844,9.307100e-23
14.916,9.579900e-23
14.989,9.857400e-23
15.063,9.982000e-23
15.139,1.008000e-22
15.216,1.018000e-22
15.294,1.028200e-22
15.374,1.038600e-22
15.455,1.049100e-22
15.537,1.059800e-22
15.621,1.070700e-22
15.706,1.081800e-22
15.793,1.093100e-22
15.881,1.104600e-22
15.971,1.116200e-22
16.062,1.126900e-22
16.156,1.137100e-22
16.25,1.147500e-22
16.346,1.158100e-22
16.444,1.168900e-22
16.544,1.179800e-22
16.645,1.191000e-22
16.749,1.202300e-22
16.854,1.213900e-22
16.96,1.225600e-22
17.069,1.234100e-22
17.18,1.240800e-22
17.292,1.247500e-22
17.406,1.254400e-22
17.523,1.261400e-22
17.641,1.268500e-22
17.762,1.275700e-22
17.884,1.283100e-22
18.009,1.289800e-22
