# E + Ar -> E + Ar(2P8), Excitation, Schwelle 13.095 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.095,0.000000e+00
13.096,4.198900e-26
13.112,7.314200e-25
13.13,1.475600e-24
13.148,2.232700e-24
13.167,3.003000e-24
13.185,3.786800e-24
13.204,4.584100e-24
13.223,5.395400e-24
13.243,6.220800e-24
13.263,7.060600e-24
13.284,7.915000e-24
13.304,8.784300e-24
13.325,9.668700e-24
13.347,1.056900e-23
13.369,1.148400e-23
13.391,1.241600e-23
13.413,1.336300e-23
13.436,1.432700e-23
13.46,1.530800e-23
13.483,1.630700e-23
13.508,1.732200e-23
13.532,1.835500e-23
13.557,1.940600e-23
13.583,2.047600e-23
13.609,2.156400e-23
13.635,2.267100e-23
13.662,2.379700e-23
13.689,2.494300e-23
13.717,2.610900e-23
13.745,2.729500e-23
13.774,2.850200e-23
13.803,2.973000e-23
13.833,3.097900e-23
13.863,3.225100e-23
13.894,3.354400e-23
13.925,3.485900e-23
13.957,3.619800e-23
13.99,3.756000e-23
14.023,3.905900e-23
14.056,4.063700e-23
14.09,4.224200e-23
14.125,4.387600e-23
14.16,4.553800e-23
14.196,4.722900e-23
14.233,4.894900e-23
14.27,5.070000e-23
14.308,5.248000e-23
14.347,5.429200e-23
14.386,5.613600e-23
14.426,5.801100e-23
14.466,5.992000e-23
14.508,6.186100e-23
14.55,6.383600e-23
14.592,6.584600e-23
14.636,6.789100e-23
14.68,6.997100e-23
14.725,7.208800e-23
14.771,7.424100e-23
14.818,7.643200e-23
14.865,7.866100e-23
14.913,8.092900e-23
14.962,8.323600e-23
15.012,8.549700e-23
15.063,8.753000e-23
15.115,8.959800e-23
15.168,9.170200e-23
15.221,9.384300e-23
15.276,9.602100e-23
15.331,9.823700e-23
15.387,1.004900e-22
15.445,1.027900e-22
15.503,1.051200e-22
15.562,1.074900e-22
15.623,1.099100e-22
15.684,1.123700e-22
15.747,1.148700e-22
15.81,1.174100e-22
15.875,1.200000e-22
15.941,1.226400e-22
16.008,1.252400e-22
16.076,1.272800e-22
16.145,1.293600e-22
16.216,1.314800e-22
16.288,1.336300e-22
16.361,1.358200e-22
16.435,1.380500e-22
16.511,1.403200e-22
16.588,1.426300e-22
16.666,1.449800e-22
16.746,1.473700e-22
16.827,1.498000e-22
16.909,1.522700e-22
16.993,1.547800e-22
17.078,1.573400e-22
17.165,1.599500e-22
17.253,1.626000e-22
17.343,1.652900e-22
17.434,1.680300e-22
17.528,1.708300e-22
17.622,1.736600e-22
17.718,1.765500e-22
17.816,1.794900e-22
17.916,1.824800e-22
18.017,1.852200e-22
18.121,1.865100e-22
18.226,1.878200e-22
18.332,1.891500e-22
18.441,1.905100e-22
18.552,1.918900e-22
18.664,1.933000e-22
18.778,1.947300e-22
18.895,1.961900e-22
19.013,1.976700e-22
19.134,1.991700e-22
19.256,2.007100e-22
19.381,2.022600e-22
19.508,2.038500e-22
19.637,2.054700e-22
19.769,2.071100e-22
19.902,2.087800e-22
20.038,2.103800e-22
20.177,2.117700e-22
20.317,2.131700e-22
20.461,2.146100e-22
20.606,2.160600e-22
20.755,2.175500e-22
20.905,2.190500e-22
21.059,2.205900e-22
21.215,2.221500e-22
21.374,2.237400e-22
21.536,2.253600e-22
21.7,2.270000e-22
21.867,2.286700e-22
22.038,2.300600e-22
22.211,2.303500e-22
22.387,2.306400e-22
22.566,2.309400e-22
22.749,2.312500e-22
22.934,2.315600e-22
23.123,2.318700e-22
23.315,2.321900e-22
23.511,2.325200e-22
23.709,2.328500e-22
23.912,2.331900e-22
24.118,2.335300e-22
24.327,2.338800e-22
24.54,2.342300e-22
24.757,2.345900e-22
24.977,2.349600e-22
25.202,2.352000e-22
25.43,2.354300e-22
25.663,2.356600e-22
25.899,2.359000e-22
26.139,2.361400e-22
36.501,2.312000e-22
38.247,2.256100e-22
39.637,2.211600e-22
41.102,2.155900e-22
42.644,2.094200e-22
43.718,2.051300e-22
44.829,2.006800e-22
45.979,1.960800e-22
47.17,1.913200e-22
48.403,1.863900e-22
49.679,1.812900e-22
51,1.770000e-22
52.367,1.729000e-22
53.782,1.686500e-22
55.247,1.642600e-22
56.763,1.597100e-22
58.333,1.550000e-22
59.958,1.501300e-22
61.64,1.469700e-22
63.381,1.437400e-22
65.183,1.404100e-22
67.049,1.369600e-22
68.98,1.333900e-22
70.979,1.296900e-22
73.049,1.258600e-22
75.191,1.219000e-22
77.408,1.178000e-22
79.703,1.135500e-22
82.079,1.106100e-22
84.539,1.077800e-22
87.084,1.048500e-22
89.72,1.018200e-22
92.448,9.868500e-23
95.271,9.543800e-23
98.194,9.207600e-23
101.22,8.891500e-23
104.35,8.624600e-23
107.59,8.364800e-23
110.95,8.111700e-23
114.42,7.865500e-23
118.02,7.625800e-23
121.74,7.392600e-23
125.6,7.165800e-23
129.58,6.945300e-23
133.71,6.730800e-23
137.99,6.522300e-23
142.41,6.319700e-23
146.99,6.122800e-23
151.73,5.931500e-23
156.64,5.745700e-23
161.72,5.565200e-23
166.98,5.390000e-23
172.42,5.219800e-23
178.05,5.054700e-23
183.89,4.894300e-23
189.92,4.738800e-23
196.17,4.587800e-23
202.64,4.441400e-23
209.34,4.299300e-23
216.27,4.161500e-23
223.44,4.027900e-23
230.87,3.898300e-23
238.56,3.772600e-23
246.52,3.650900e-23
254.76,3.532800e-23
263.28,3.418400e-23
272.11,3.307500e-23
281.25,3.200000e-23
290.71,3.095900e-23
300.5,2.995000e-23
310.63,2.897300e-23
321.12,2.802700e-23
331.98,2.711000e-23
343.23,2.622200e-23
354.86,2.536200e-23
366.91,2.452900e-23
379.38,2.372300e-23
392.28,2.294300e-23
405.65,2.218700e-23
419.48,2.145500e-23
433.79,2.074700e-23
448.61,2.006200e-23
463.95,1.939900e-23
479.83,1.875700e-23
496.27,1.813500e-23
522.01,1.724100e-23
549.13,1.639000e-23
577.68,1.557900e-23
607.76,1.480900e-23
639.43,1.407500e-23
672.79,1.337700e-23
707.92,1.271300e-23
744.92,1.208200e-23
783.89,1.148100e-23
824.93,1.091000e-23
868.15,1.036700e-23
913.67,9.850400e-24
961.61,9.359300e-24
