# E + Ar -> E + Ar(4D2), Excitation, Schwelle 14.859 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.859,0.000000e+00
14.86,8.005700e-31
14.876,1.813700e-27
14.894,7.649500e-27
14.912,1.768400e-26
14.931,3.209500e-26
14.949,5.106700e-26
14.968,7.478900e-26
14.987,1.034500e-25
15.007,1.372600e-25
15.027,1.764200e-25
15.048,2.211400e-25
15.068,2.716300e-25
15.089,3.281200e-25
15.111,3.908400e-25
15.133,4.600100e-25
15.155,5.358800e-25
15.177,6.187000e-25
15.2,7.087100e-25
15.224,8.061800e-25
15.247,9.113600e-25
15.272,1.024500e-24
15.296,1.146000e-24
15.321,1.276000e-24
15.347,1.414800e-24
15.373,1.562700e-24
15.399,1.720100e-24
15.426,1.887300e-24
15.453,2.064500e-24
15.481,2.252100e-24
15.509,2.450400e-24
15.538,2.659700e-24
15.567,2.880500e-24
15.597,3.112900e-24
15.627,3.357500e-24
15.658,3.614500e-24
15.689,3.884400e-24
15.721,4.167500e-24
15.754,4.464100e-24
15.787,4.774700e-24
15.82,5.099700e-24
15.854,5.439400e-24
15.889,5.794400e-24
15.924,6.164900e-24
15.96,6.551400e-24
15.997,6.954300e-24
16.034,7.374100e-24
16.072,7.811200e-24
16.111,8.266100e-24
16.15,8.739100e-24
16.19,9.230700e-24
16.23,9.741500e-24
16.272,1.027200e-23
16.314,1.082200e-23
16.356,1.139300e-23
16.4,1.198500e-23
16.444,1.259800e-23
16.489,1.323300e-23
16.535,1.389100e-23
16.582,1.457100e-23
16.629,1.527500e-23
16.677,1.600200e-23
16.726,1.675500e-23
16.776,1.753100e-23
16.827,1.833400e-23
16.879,1.916200e-23
16.932,2.001600e-23
16.985,2.089700e-23
17.04,2.180600e-23
17.095,2.274200e-23
17.151,2.370700e-23
17.209,2.470000e-23
17.267,2.572300e-23
17.326,2.677500e-23
17.387,2.785800e-23
17.448,2.897100e-23
17.511,3.011500e-23
17.574,3.129100e-23
17.639,3.249900e-23
17.705,3.374000e-23
17.772,3.501300e-23
17.84,3.632000e-23
17.909,3.766100e-23
17.98,3.903500e-23
18.052,4.044500e-23
18.125,4.188900e-23
18.199,4.336800e-23
18.275,4.488300e-23
18.352,4.643400e-23
18.43,4.802200e-23
18.51,4.964600e-23
18.591,5.130600e-23
