# E + Ar -> E + Ar(5S1!), Excitation, Schwelle 15.351 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
15.351,0.000000e+00
15.352,5.682600e-33
15.368,1.669100e-29
15.386,7.059200e-29
15.404,1.633500e-28
15.423,2.966200e-28
15.441,4.721300e-28
15.46,6.916300e-28
15.479,9.569400e-28
15.499,1.269900e-27
15.519,1.632500e-27
15.54,2.046600e-27
15.56,2.514300e-27
15.581,3.037600e-27
15.603,3.618800e-27
15.625,4.259800e-27
15.647,4.963100e-27
15.669,5.730900e-27
15.692,6.565600e-27
15.716,7.469600e-27
15.739,8.445300e-27
15.764,9.495400e-27
15.788,1.062200e-26
15.813,1.182900e-26
15.839,1.311800e-26
15.865,1.449200e-26
15.891,1.595300e-26
15.918,1.750600e-26
15.945,1.915200e-26
15.973,2.089600e-26
16.001,2.273900e-26
16.03,2.468500e-26
16.059,2.673800e-26
16.089,2.890000e-26
16.119,3.117600e-26
16.15,3.356800e-26
16.181,3.607900e-26
16.213,3.871500e-26
16.246,4.147700e-26
16.279,4.437000e-26
16.312,4.739800e-26
16.346,5.056400e-26
16.381,5.387300e-26
16.416,5.732700e-26
16.452,6.093200e-26
16.489,6.469100e-26
16.526,6.860800e-26
16.564,7.268800e-26
16.603,7.693400e-26
16.642,8.135100e-26
16.682,8.594400e-26
16.722,9.071700e-26
16.764,9.567300e-26
16.806,1.008200e-25
16.848,1.061600e-25
16.892,1.116900e-25
16.936,1.174300e-25
16.981,1.233800e-25
17.027,1.295300e-25
17.074,1.359100e-25
17.121,1.425000e-25
17.169,1.493200e-25
17.218,1.563700e-25
17.268,1.636600e-25
17.319,1.711800e-25
17.371,1.789500e-25
17.424,1.869700e-25
17.477,1.952500e-25
17.532,2.037800e-25
17.587,2.125800e-25
17.643,2.216500e-25
17.701,2.310000e-25
17.759,2.406200e-25
17.818,2.505200e-25
17.879,2.607100e-25
17.94,2.712000e-25
18.003,2.819800e-25
18.066,2.930700e-25
18.131,3.044600e-25
18.197,3.161600e-25
18.264,3.281800e-25
18.332,3.405100e-25
18.401,3.531800e-25
18.472,3.661600e-25
18.544,3.794900e-25
18.617,3.931400e-25
18.691,4.071400e-25
18.767,4.214800e-25
18.844,4.361700e-25
18.922,4.512000e-25
19.002,4.665900e-25
19.083,4.823400e-25
19.165,4.984500e-25
19.249,5.149200e-25
19.334,5.317600e-25
19.421,5.489600e-25
19.509,5.665300e-25
19.599,5.844800e-25
19.69,6.027900e-25
19.784,6.214900e-25
19.878,6.405600e-25
19.974,6.600100e-25
20.072,6.798400e-25
20.172,7.000400e-25
20.273,7.206300e-25
20.377,7.416000e-25
20.482,7.629500e-25
20.588,7.846700e-25
20.697,8.067800e-25
20.808,8.292700e-25
20.92,8.521300e-25
21.034,8.753600e-25
21.151,8.989800e-25
21.269,9.229600e-25
21.39,9.473100e-25
21.512,9.720300e-25
21.637,9.971000e-25
21.764,1.022500e-24
21.893,1.048300e-24
22.025,1.074500e-24
22.158,1.101000e-24
22.294,1.127800e-24
22.433,1.155000e-24
22.573,1.182500e-24
22.717,1.210300e-24
22.862,1.238500e-24
23.011,1.266900e-24
23.161,1.295700e-24
23.315,1.324800e-24
23.471,1.354100e-24
23.63,1.383700e-24
23.792,1.413700e-24
23.956,1.443800e-24
24.123,1.474300e-24
24.294,1.504900e-24
24.467,1.535900e-24
24.643,1.567000e-24
24.822,1.598400e-24
25.005,1.629900e-24
25.19,1.661700e-24
25.379,1.693600e-24
25.571,1.725700e-24
25.767,1.758000e-24
25.965,1.790400e-24
26.168,1.823000e-24
26.374,1.855700e-24
26.583,1.888500e-24
26.796,1.921300e-24
27.013,1.954300e-24
27.233,1.987300e-24
27.458,2.020400e-24
27.686,2.053600e-24
27.919,2.086700e-24
28.155,2.119900e-24
28.395,2.153100e-24
28.64,2.186200e-24
28.889,2.219300e-24
29.142,2.252400e-24
29.4,2.285400e-24
29.662,2.318300e-24
29.929,2.351100e-24
30.2,2.383900e-24
30.476,2.416500e-24
31.043,2.481200e-24
31.629,2.545300e-24
32.236,2.608600e-24
32.865,2.671000e-24
33.516,2.732300e-24
34.189,2.792500e-24
34.886,2.851300e-24
35.978,2.937000e-24
37.128,3.019200e-24
38.339,3.097600e-24
39.615,3.171900e-24
40.958,3.241700e-24
42.861,3.327400e-24
44.9,3.404200e-24
47.655,3.487100e-24
51.291,3.566400e-24
57.503,3.643400e-24
85.554,3.566100e-24
94.704,3.484300e-24
101.95,3.414200e-24
109.85,3.335600e-24
116.68,3.267400e-24
124,3.195100e-24
131.84,3.119400e-24
140.24,3.040600e-24
146.94,2.979900e-24
153.99,2.918000e-24
161.41,2.855100e-24
169.23,2.791500e-24
177.47,2.727300e-24
186.14,2.662600e-24
195.28,2.597700e-24
204.9,2.532700e-24
215.03,2.467800e-24
225.7,2.403000e-24
236.94,2.338500e-24
248.77,2.274500e-24
261.24,2.211000e-24
274.37,2.148100e-24
288.19,2.085900e-24
297.82,2.044800e-24
307.78,2.004200e-24
318.09,1.963900e-24
328.76,1.924000e-24
339.81,1.884600e-24
351.25,1.845600e-24
363.09,1.807100e-24
375.35,1.769000e-24
388.03,1.731400e-24
401.16,1.694300e-24
414.76,1.657700e-24
428.83,1.621700e-24
443.39,1.586100e-24
458.47,1.551100e-24
474.08,1.516600e-24
490.23,1.482600e-24
524.27,1.416300e-24
560.74,1.352200e-24
599.81,1.290200e-24
641.69,1.230500e-24
686.55,1.172900e-24
734.63,1.117500e-24
786.14,1.064100e-24
841.34,1.012900e-24
900.49,9.637600e-25
963.86,9.166200e-25
