# E + Ar -> E + Ar*(13.00eV), Excitation, Schwelle 13.0 eV | Biagi-v7.1 (Magboltz version 7.1), Biagi-v7.1 (Magboltz version 7.1), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13,0.000000e+00
13.01,6.000000e-26
13.04,2.109000e-23
13.07,4.291000e-23
13.11,6.550000e-23
13.15,8.889000e-23
13.19,1.131000e-22
13.23,1.563000e-22
13.27,2.082000e-22
13.32,2.619000e-22
13.36,3.175000e-22
13.41,3.675000e-22
13.46,3.973000e-22
13.51,4.281000e-22
13.57,4.601000e-22
13.62,4.931000e-22
13.68,5.273000e-22
13.74,5.627000e-22
13.8,5.993000e-22
13.86,6.373000e-22
13.93,6.765000e-22
14,7.172000e-22
14.07,7.635000e-22
14.14,8.117000e-22
14.21,8.617000e-22
14.29,9.134000e-22
14.37,9.670000e-22
14.45,1.022000e-21
14.54,1.080000e-21
14.63,1.139000e-21
14.72,1.201000e-21
14.82,1.264000e-21
14.92,1.330000e-21
15.02,1.398000e-21
15.13,1.469000e-21
15.24,1.542000e-21
15.35,1.618000e-21
15.47,1.696000e-21
15.59,1.777000e-21
15.72,1.861000e-21
15.85,1.948000e-21
15.98,2.037000e-21
16.12,2.115000e-21
16.27,2.193000e-21
16.42,2.273000e-21
16.57,2.357000e-21
16.73,2.443000e-21
16.9,2.533000e-21
17.07,2.625000e-21
17.25,2.721000e-21
17.43,2.820000e-21
17.62,2.923000e-21
17.82,3.029000e-21
18.03,3.139000e-21
18.24,3.253000e-21
18.46,3.370000e-21
18.68,3.492000e-21
18.92,3.619000e-21
19.16,3.749000e-21
19.41,3.885000e-21
19.67,4.025000e-21
19.94,4.170000e-21
20.22,4.227000e-21
20.51,4.261000e-21
20.81,4.297000e-21
21.12,4.334000e-21
21.44,4.373000e-21
21.77,4.413000e-21
22.12,4.454000e-21
22.47,4.497000e-21
22.84,4.541000e-21
23.22,4.586000e-21
23.61,4.634000e-21
24.02,4.683000e-21
24.45,4.733000e-21
24.88,4.786000e-21
25.34,4.840000e-21
25.8,4.896000e-21
26.29,4.955000e-21
26.79,5.015000e-21
27.31,5.077000e-21
27.85,5.142000e-21
28.41,5.209000e-21
28.98,5.278000e-21
29.58,5.350000e-21
30.2,5.398000e-21
30.84,5.392000e-21
31.5,5.385000e-21
32.18,5.378000e-21
32.89,5.371000e-21
33.63,5.364000e-21
34.39,5.356000e-21
35.17,5.348000e-21
35.99,5.340000e-21
36.83,5.332000e-21
37.7,5.323000e-21
38.61,5.314000e-21
39.54,5.305000e-21
40.51,5.285000e-21
41.51,5.255000e-21
42.55,5.224000e-21
43.62,5.191000e-21
44.73,5.158000e-21
45.88,5.123000e-21
47.08,5.088000e-21
48.31,5.051000e-21
49.58,5.012000e-21
50.9,4.964000e-21
52.27,4.909000e-21
53.69,4.853000e-21
55.15,4.794000e-21
56.67,4.733000e-21
58.24,4.670000e-21
59.86,4.605000e-21
61.55,4.546000e-21
63.29,4.485000e-21
65.09,4.422000e-21
66.95,4.357000e-21
68.89,4.289000e-21
70.88,4.219000e-21
72.95,4.147000e-21
75.1,4.072000e-21
77.31,3.994000e-21
79.61,3.914000e-21
81.98,3.850000e-21
84.44,3.789000e-21
86.99,3.725000e-21
89.62,3.659000e-21
92.35,3.591000e-21
95.18,3.521000e-21
98.1,3.448000e-21
101.1,3.382000e-21
104.3,3.332000e-21
107.5,3.280000e-21
110.9,3.226000e-21
114.3,3.171000e-21
117.9,3.113000e-21
121.6,3.054000e-21
125.5,2.992000e-21
129.5,2.928000e-21
133.6,2.862000e-21
137.9,2.794000e-21
142.3,2.723000e-21
146.9,2.650000e-21
151.6,2.584000e-21
156.5,2.535000e-21
161.6,2.484000e-21
166.9,2.431000e-21
172.3,2.377000e-21
178,2.320000e-21
183.8,2.262000e-21
189.8,2.202000e-21
196.1,2.139000e-21
202.5,2.089000e-21
209.2,2.058000e-21
216.2,2.027000e-21
223.3,1.995000e-21
230.8,1.962000e-21
238.5,1.927000e-21
246.4,1.891000e-21
254.7,1.854000e-21
263.2,1.816000e-21
272,1.776000e-21
281.2,1.735000e-21
290.6,1.692000e-21
300.4,1.649000e-21
310.5,1.621000e-21
321,1.592000e-21
331.9,1.562000e-21
343.1,1.531000e-21
354.8,1.499000e-21
366.8,1.466000e-21
379.3,1.432000e-21
392.2,1.396000e-21
405.6,1.360000e-21
419.4,1.322000e-21
433.7,1.282000e-21
448.5,1.242000e-21
463.9,1.199000e-21
479.7,1.156000e-21
496.2,1.111000e-21
513.2,1.082000e-21
530.8,1.058000e-21
549,1.034000e-21
567.9,1.008000e-21
587.4,9.820000e-22
607.7,9.547000e-22
628.6,9.264000e-22
650.3,8.971000e-22
672.7,8.669000e-22
695.9,8.355000e-22
719.9,8.147000e-22
744.8,7.956000e-22
770.6,7.759000e-22
797.2,7.555000e-22
824.8,7.343000e-22
853.4,7.124000e-22
883,6.897000e-22
913.6,6.663000e-22
945.3,6.420000e-22
978.1,6.168000e-22
