# E + Ar, Elastic | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0,7.387200e-20
0.00136,6.340100e-20
0.00272,5.829700e-20
0.00408,5.503400e-20
0.0068,4.835200e-20
0.00952,4.414200e-20
0.01225,4.040600e-20
0.01497,3.698600e-20
0.01769,3.435900e-20
0.02041,3.230400e-20
0.02313,3.023400e-20
0.02721,2.733000e-20
0.05442,1.453700e-20
0.08163,8.158300e-21
0.10885,4.625700e-21
0.13606,2.621200e-21
0.16327,1.522000e-21
0.19048,9.930100e-22
0.21769,8.381600e-22
0.2449,9.338800e-22
0.27211,1.200000e-21
0.29933,1.582400e-21
0.32654,2.044100e-21
0.35375,2.559200e-21
0.38096,3.109300e-21
0.40817,3.681100e-21
0.43538,4.265300e-21
0.46259,4.855000e-21
0.48981,5.445400e-21
0.51702,6.032900e-21
0.54423,6.615100e-21
0.61226,8.038300e-21
0.68028,9.406900e-21
0.74831,1.071900e-20
0.81634,1.198000e-20
0.88437,1.319400e-20
0.9524,1.436800e-20
1.02043,1.550900e-20
1.08846,1.662300e-20
1.15648,1.771500e-20
1.22451,1.879000e-20
1.29254,1.985200e-20
1.36057,2.090400e-20
1.4286,2.194900e-20
1.49663,2.299000e-20
1.56466,2.402900e-20
1.63268,2.506700e-20
1.70071,2.610500e-20
1.76874,2.714600e-20
1.83677,2.818900e-20
1.9048,2.923600e-20
2.04085,3.134200e-20
2.1769,3.287900e-20
2.313,3.471900e-20
2.449,3.659000e-20
2.5851,3.850000e-20
2.7211,4.044600e-20
2.8572,4.243400e-20
2.9933,4.445900e-20
3.1293,4.652500e-20
3.2654,4.862300e-20
3.4014,5.076000e-20
3.5375,5.293200e-20
3.6735,5.514100e-20
3.8096,5.738600e-20
3.9457,5.966700e-20
4.0817,6.198400e-20
4.2178,6.433300e-20
4.3538,6.671600e-20
4.4899,6.912900e-20
4.6259,7.157100e-20
4.762,7.403600e-20
4.8981,7.652700e-20
5.0341,7.903900e-20
5.1702,8.157200e-20
5.3062,8.412100e-20
5.4423,8.668600e-20
5.5783,8.926600e-20
5.7144,9.185800e-20
5.8505,9.445900e-20
5.9865,9.706400e-20
6.1226,9.967400e-20
6.2586,1.022800e-19
6.3947,1.048900e-19
6.5307,1.074900e-19
6.6668,1.100700e-19
6.8028,1.126400e-19
6.9389,1.151900e-19
7.075,1.177200e-19
7.211,1.202300e-19
7.3471,1.227000e-19
7.4831,1.251300e-19
7.6192,1.275300e-19
7.7552,1.298900e-19
7.8913,1.322000e-19
8.0274,1.344500e-19
8.1634,1.366600e-19
8.2995,1.388000e-19
8.4355,1.408800e-19
8.5716,1.428800e-19
8.7076,1.448200e-19
8.8437,1.466800e-19
8.9798,1.484600e-19
9.1158,1.501600e-19
9.2519,1.517800e-19
9.3879,1.533000e-19
9.524,1.547400e-19
9.66,1.560800e-19
9.7961,1.573300e-19
9.9322,1.584800e-19
10.0682,1.595300e-19
10.2043,1.604800e-19
10.3403,1.613400e-19
10.4764,1.621000e-19
10.6124,1.627500e-19
10.7485,1.633100e-19
10.8846,1.637800e-19
11.5104,1.642900e-19
11.524,1.643200e-19
11.5376,1.643400e-19
11.5512,1.643500e-19
11.5648,1.643600e-19
11.5785,1.643700e-19
11.5921,1.643700e-19
11.6057,1.643700e-19
11.6193,1.643700e-19
11.6329,1.643700e-19
11.6465,1.643700e-19
11.6601,1.643600e-19
11.6737,1.643500e-19
11.6873,1.643400e-19
11.7009,1.643300e-19
11.7145,1.643200e-19
11.7281,1.643000e-19
11.7417,1.642900e-19
11.7553,1.642700e-19
11.7689,1.642500e-19
11.7825,1.642300e-19
11.7961,1.642100e-19
11.8097,1.641900e-19
11.8234,1.641600e-19
11.837,1.641300e-19
11.8506,1.640600e-19
11.8642,1.639400e-19
11.8778,1.638400e-19
11.8914,1.637300e-19
11.905,1.625200e-19
11.9186,1.636000e-19
11.9322,1.635900e-19
11.9458,1.636100e-19
11.9594,1.636500e-19
11.973,1.637000e-19
11.9866,1.637600e-19
12.0002,1.638100e-19
12.0138,1.638400e-19
12.0274,1.637500e-19
12.041,1.636600e-19
12.0546,1.635900e-19
12.0683,1.635300e-19
12.0819,1.634700e-19
12.0955,1.634200e-19
12.1091,1.633600e-19
12.1227,1.633200e-19
12.1363,1.632600e-19
12.1499,1.632100e-19
12.1635,1.631600e-19
12.1771,1.631000e-19
12.1907,1.630500e-19
12.2043,1.629900e-19
12.2179,1.629300e-19
12.2315,1.628700e-19
12.2451,1.628100e-19
12.2587,1.627500e-19
12.2723,1.626900e-19
12.2859,1.626200e-19
12.2996,1.625600e-19
12.3132,1.624900e-19
12.3268,1.624300e-19
12.3404,1.623600e-19
12.354,1.622900e-19
12.3676,1.622100e-19
12.3812,1.621400e-19
12.3948,1.620700e-19
12.4084,1.620000e-19
12.422,1.619200e-19
12.4356,1.618400e-19
12.4492,1.617700e-19
12.4628,1.616900e-19
12.4764,1.616100e-19
12.49,1.615300e-19
12.5036,1.614500e-19
12.5172,1.613700e-19
12.5308,1.612900e-19
12.5445,1.612100e-19
12.5581,1.611300e-19
12.5717,1.610500e-19
12.5853,1.609700e-19
12.5989,1.608900e-19
12.6125,1.608100e-19
12.6261,1.607300e-19
12.6397,1.606500e-19
12.6533,1.605700e-19
12.6669,1.604800e-19
12.6805,1.604000e-19
12.6941,1.603200e-19
12.7077,1.602400e-19
12.7213,1.601600e-19
12.7349,1.600800e-19
12.7485,1.600000e-19
12.7621,1.599300e-19
12.7758,1.598500e-19
12.7894,1.597700e-19
12.803,1.596900e-19
12.8166,1.596200e-19
12.8302,1.595400e-19
12.8438,1.594700e-19
12.8574,1.593900e-19
12.871,1.593200e-19
12.8846,1.592500e-19
12.8982,1.591800e-19
12.9118,1.591200e-19
12.9254,1.590600e-19
12.939,1.590000e-19
12.9526,1.589400e-19
12.9662,1.589000e-19
12.9798,1.588600e-19
12.9934,1.588100e-19
13.007,1.587600e-19
13.0207,1.586900e-19
13.0343,1.586100e-19
13.0479,1.585100e-19
13.0615,1.584000e-19
13.0751,1.582700e-19
13.0887,1.581000e-19
13.1023,1.578300e-19
13.1159,1.573900e-19
13.1295,1.567500e-19
13.1431,1.563400e-19
13.1567,1.564300e-19
13.1703,1.566800e-19
13.1839,1.568600e-19
13.1975,1.569100e-19
13.2111,1.568700e-19
13.2247,1.568500e-19
13.2383,1.567600e-19
13.252,1.567100e-19
13.2656,1.567000e-19
13.2792,1.566600e-19
13.2928,1.566000e-19
13.3064,1.565900e-19
13.32,1.565300e-19
13.3336,1.564000e-19
13.3472,1.562300e-19
13.3608,1.560800e-19
13.3744,1.559300e-19
13.388,1.558000e-19
13.4016,1.556300e-19
13.4152,1.554500e-19
13.4288,1.554800e-19
13.4424,1.553900e-19
13.456,1.552800e-19
13.4696,1.551500e-19
13.4832,1.550200e-19
13.4969,1.549000e-19
13.5105,1.547800e-19
13.5241,1.546600e-19
13.5377,1.545400e-19
13.5513,1.544200e-19
13.5649,1.543000e-19
13.5785,1.541800e-19
13.5921,1.540700e-19
13.6057,1.539500e-19
13.6193,1.538300e-19
13.6329,1.537100e-19
13.6465,1.536000e-19
13.6601,1.534800e-19
13.6737,1.533600e-19
13.6873,1.532400e-19
13.7009,1.531200e-19
13.7145,1.530000e-19
13.7282,1.528800e-19
13.7418,1.527600e-19
13.7554,1.526400e-19
13.769,1.525200e-19
13.7826,1.524000e-19
13.7962,1.522800e-19
13.8098,1.521500e-19
13.8234,1.520300e-19
13.837,1.519100e-19
13.8506,1.517900e-19
13.8642,1.516800e-19
13.8778,1.515700e-19
13.8914,1.514800e-19
13.905,1.514400e-19
13.9186,1.512400e-19
13.9322,1.510600e-19
13.9458,1.509300e-19
13.9594,1.508000e-19
13.9731,1.506800e-19
13.9867,1.505600e-19
14.0003,1.504500e-19
14.0139,1.503700e-19
14.0275,1.502500e-19
14.0411,1.501000e-19
14.0547,1.499400e-19
14.0683,1.497300e-19
14.0819,1.494800e-19
14.0955,1.493300e-19
14.1091,1.493300e-19
14.1227,1.492600e-19
14.1363,1.491600e-19
14.1499,1.490600e-19
14.1635,1.489400e-19
14.1771,1.488100e-19
14.1907,1.486600e-19
14.2044,1.485100e-19
14.218,1.484000e-19
14.2316,1.482500e-19
14.2452,1.481200e-19
14.2588,1.479900e-19
14.2724,1.480000e-19
14.286,1.477300e-19
14.2996,1.475900e-19
14.3132,1.474400e-19
14.3268,1.473100e-19
14.3404,1.471700e-19
14.354,1.470300e-19
14.3676,1.468900e-19
14.3812,1.467600e-19
14.3948,1.466200e-19
14.4084,1.465500e-19
14.422,1.463300e-19
14.4356,1.461900e-19
14.4493,1.460800e-19
14.4629,1.459500e-19
14.4765,1.458100e-19
14.4901,1.456700e-19
14.5037,1.455200e-19
14.5173,1.452700e-19
14.5309,1.451100e-19
14.5445,1.449900e-19
