# E + Ar <-> E + Ar(3d[1/2]0, 3P0, 3d6), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.0693,0.000000e+00
14.0817,2.859500e-25
14.0953,4.131000e-25
14.1089,6.431700e-25
14.1225,1.179100e-24
14.1361,1.097000e-24
14.1497,2.456800e-24
14.1633,2.416500e-24
14.1769,2.083600e-24
14.1905,2.331900e-24
14.2041,1.988300e-24
14.2178,1.745400e-24
14.2314,1.467400e-24
14.245,1.581100e-24
14.2586,1.590900e-24
14.2722,1.416600e-24
14.2858,1.463500e-24
14.2994,1.445800e-24
14.313,2.011900e-24
14.3266,2.168700e-24
14.3402,2.125100e-24
14.3538,2.173300e-24
14.3674,2.326200e-24
14.381,2.138300e-24
14.3946,2.247200e-24
14.4082,2.227600e-24
14.4218,2.311700e-24
14.4354,2.399300e-24
14.449,2.474500e-24
14.4627,2.593300e-24
14.4763,2.581400e-24
14.4899,2.727000e-24
14.5035,2.802200e-24
14.5171,2.977000e-24
14.5307,2.901600e-24
14.5443,2.708700e-24
14.5579,2.841600e-24
14.5715,3.162900e-24
14.5851,3.319000e-24
14.5987,3.345400e-24
14.6123,3.379700e-24
14.6259,3.346000e-24
14.6395,3.499900e-24
14.6531,3.393600e-24
14.6667,3.395500e-24
14.6803,3.411500e-24
14.6939,3.672900e-24
14.7076,3.620400e-24
14.7212,3.568700e-24
14.7348,3.302600e-24
14.7484,3.229300e-24
14.762,3.122300e-24
14.7756,2.877900e-24
14.7892,3.021500e-24
14.8028,3.169600e-24
14.8164,3.442800e-24
14.83,3.484200e-24
14.8436,3.508900e-24
14.8572,3.565100e-24
14.8708,3.865900e-24
14.8844,4.110200e-24
14.898,4.312200e-24
14.9116,4.162100e-24
14.9252,3.351300e-24
14.9388,3.214300e-24
14.9661,4.043300e-24
14.9797,4.404500e-24
14.9933,2.729800e-24
15.0069,3.307800e-24
15.0205,3.534200e-24
15.0341,3.540600e-24
15.0477,3.877600e-24
15.0613,4.255400e-24
15.0749,4.703400e-24
15.0885,4.722600e-24
15.1021,5.206600e-24
15.1157,4.205500e-24
15.1293,3.605100e-24
15.1429,4.777600e-24
15.1565,4.692900e-24
15.1837,6.150500e-24
15.1974,5.957700e-24
15.211,5.716900e-24
15.2246,5.749700e-24
15.2382,6.527300e-24
15.2518,6.421100e-24
15.2654,5.824800e-24
15.279,5.998200e-24
15.2926,6.392100e-24
15.3062,6.001600e-24
15.3198,6.105000e-24
15.3334,6.447200e-24
15.347,7.026100e-24
15.3606,6.504900e-24
15.3742,7.027000e-24
15.3878,6.885300e-24
15.4014,7.346100e-24
15.415,7.663100e-24
15.4286,6.843000e-24
15.4423,6.920900e-24
15.4559,6.641400e-24
15.4695,6.879900e-24
15.4831,7.573300e-24
15.4967,6.434900e-24
15.5103,6.897700e-24
15.5239,7.339500e-24
15.5375,7.222600e-24
15.5511,7.431300e-24
15.5647,7.721300e-24
15.5783,7.557900e-24
15.5919,7.571800e-24
15.6055,7.635400e-24
15.6191,7.928400e-24
15.6327,8.001900e-24
15.6463,7.943700e-24
15.6599,7.805300e-24
15.6735,8.024600e-24
15.6872,7.833700e-24
15.7008,8.023600e-24
15.7144,8.252000e-24
15.728,8.654300e-24
15.7416,8.779200e-24
15.7552,8.913600e-24
15.7688,8.423200e-24
15.7824,8.219500e-24
15.796,8.085900e-24
15.8096,8.357500e-24
15.8232,9.349600e-24
15.8368,8.355300e-24
16.0001,9.484100e-24
17.5001,1.705500e-23
20.0001,2.365600e-23
25.0001,2.579800e-23
30.0001,2.324000e-23
40.0002,1.376100e-23
50.0002,7.931100e-24
60.0003,4.981000e-24
70.0003,3.456400e-24
80.0004,2.402200e-24
90.0004,1.918900e-24
100.001,1.548800e-24
125.001,8.927600e-25
150.001,5.028600e-25
175.001,3.041600e-25
200.001,1.958900e-25
225.001,1.301800e-25
250.001,9.002300e-26
275.001,6.397200e-26
300.001,4.519600e-26
