# E + Ar -> E + Ar(3d[1/2]1), Excitation, Schwelle 14.081 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.0808,0.000000e+00
14.0817,1.542560e-24
14.0953,4.321200e-24
14.1089,8.196070e-24
14.1225,1.125740e-23
14.1361,1.541690e-23
14.1497,9.984410e-24
14.1633,9.182360e-24
14.1769,9.314090e-24
14.1905,7.332950e-24
14.2041,6.996300e-24
14.2178,7.871890e-24
14.2314,8.893390e-24
14.245,9.163370e-24
14.2586,9.867640e-24
14.2722,9.680240e-24
14.2858,1.111210e-23
14.2994,1.039050e-23
14.313,1.077760e-23
14.3266,1.234940e-23
14.3402,1.279330e-23
14.3538,1.361860e-23
14.3674,1.366480e-23
14.381,9.836570e-24
14.3946,9.855800e-24
14.4082,9.565470e-24
14.4218,9.246400e-24
14.4354,9.734110e-24
14.449,9.488930e-24
14.4627,9.457440e-24
14.4763,9.696720e-24
14.4899,1.025200e-23
14.5035,1.047060e-23
14.5171,1.096240e-23
14.5307,1.099750e-23
14.5443,1.044650e-23
14.5579,1.065710e-23
14.5715,1.102860e-23
14.5851,1.078770e-23
14.5987,1.053160e-23
14.6123,1.011460e-23
14.6259,1.037120e-23
14.6395,1.056710e-23
14.6531,1.086360e-23
14.6667,1.124460e-23
14.6803,1.151430e-23
14.6939,1.198150e-23
14.7076,1.316600e-23
14.7212,1.270130e-23
14.7348,1.292160e-23
14.7484,1.299420e-23
14.762,1.283520e-23
14.7756,1.335610e-23
14.7892,1.235710e-23
14.8028,1.259760e-23
14.8164,1.285050e-23
14.83,1.328790e-23
14.8436,1.375700e-23
14.8572,1.424930e-23
14.8708,1.458020e-23
14.8844,1.495750e-23
14.898,1.471190e-23
14.9116,1.459410e-23
14.9252,1.383620e-23
14.9388,1.293370e-23
14.9661,1.393580e-23
14.9797,1.613220e-23
14.9933,1.567620e-23
15.0069,1.387790e-23
15.0205,1.427980e-23
15.0341,1.464770e-23
15.0477,1.552960e-23
15.0613,1.595970e-23
15.0749,1.605100e-23
15.0885,1.676280e-23
15.1021,1.842000e-23
15.1157,1.660580e-23
15.1293,1.517430e-23
15.1429,1.648780e-23
15.1565,1.689350e-23
15.1837,1.940290e-23
15.1974,1.868570e-23
15.211,2.108800e-23
15.2246,1.885860e-23
15.2382,1.860020e-23
15.2518,1.838280e-23
15.2654,1.803140e-23
15.279,1.787170e-23
15.2926,1.799940e-23
15.3062,1.801630e-23
15.3198,1.844040e-23
15.3334,2.062540e-23
15.347,2.004470e-23
15.3606,2.097110e-23
15.3742,2.154950e-23
15.3878,2.100660e-23
15.415,2.187180e-23
15.4286,2.163560e-23
15.4423,2.436570e-23
15.4559,2.356120e-23
15.4695,2.142080e-23
15.4831,2.236140e-23
15.4967,2.305390e-23
15.5103,2.480470e-23
15.5239,2.455280e-23
15.5375,2.504710e-23
15.5511,2.504010e-23
15.5647,3.827570e-23
15.5783,2.588960e-23
15.5919,2.520790e-23
15.6055,2.671230e-23
15.6191,2.828510e-23
15.6327,2.860140e-23
15.6463,2.833800e-23
15.6599,2.816270e-23
15.6735,2.893500e-23
15.6872,2.912030e-23
15.7008,2.950300e-23
15.7144,2.918100e-23
15.728,3.010940e-23
15.7416,3.074620e-23
15.7552,3.183780e-23
15.7688,3.051130e-23
15.7824,3.042620e-23
15.796,3.419840e-23
15.8096,3.327470e-23
15.8232,3.216320e-23
15.8368,3.240420e-23
16.0001,3.275610e-23
16.7501,4.847950e-23
17.2501,5.118300e-23
17.5001,6.162190e-23
18.0001,6.308490e-23
18.0501,6.376770e-23
18.1001,6.217250e-23
18.1501,6.236120e-23
18.2501,6.247880e-23
19.2501,8.450590e-23
20.0001,8.162400e-23
21.0001,9.310300e-23
22.0001,9.585280e-23
23.0001,8.665750e-23
24.0001,8.119560e-23
25.0001,8.399080e-23
30.0001,6.976760e-23
35.0002,5.489980e-23
40.0002,3.744920e-23
50.0002,2.493490e-23
60.0003,1.725110e-23
70.0003,1.268480e-23
80.0004,1.012660e-23
90.0004,8.762320e-24
100,7.548560e-24
125.001,5.530690e-24
150.001,4.272910e-24
175.001,3.555740e-24
200.001,3.101020e-24
225.001,2.781030e-24
250.001,2.536930e-24
275.001,2.334180e-24
300.001,2.149230e-24
