# E + Ar <-> E + Ar(3d![3/2]2, 1D2, 3s1!!), Excitation, Schwelle 14.343 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.343,0.000000e+00
14.3538,1.011700e-24
14.3674,2.082600e-24
14.381,2.326900e-24
14.3946,3.086000e-24
14.4082,3.653500e-24
14.4218,3.814900e-24
14.4354,4.389200e-24
14.449,5.111900e-24
14.4627,5.391200e-24
14.4763,6.311700e-24
14.4899,6.965800e-24
14.5035,7.498900e-24
14.5171,7.523100e-24
14.5307,7.988100e-24
14.5443,8.682200e-24
14.5579,8.640400e-24
14.5715,1.062900e-23
14.5851,8.314900e-24
14.5987,8.295600e-24
14.6123,8.251000e-24
14.6259,8.560100e-24
14.6395,8.872600e-24
14.6531,8.904400e-24
14.6667,9.088700e-24
14.6803,9.453700e-24
14.6939,9.603000e-24
14.7076,9.953000e-24
14.7212,1.042400e-23
14.7348,1.074000e-23
14.7484,1.152600e-23
14.762,1.311500e-23
14.7756,1.388100e-23
14.7892,1.370300e-23
14.8028,1.391500e-23
14.8164,1.356500e-23
14.83,1.237000e-23
14.8436,1.267700e-23
14.8572,1.278800e-23
14.8708,1.280500e-23
14.8844,1.312100e-23
14.898,1.303600e-23
14.9116,1.363400e-23
14.9252,1.397200e-23
14.9388,1.381600e-23
14.9661,1.422900e-23
14.9797,1.365800e-23
14.9933,1.265100e-23
15.0069,1.183300e-23
15.0205,1.150100e-23
15.0341,1.126100e-23
15.0477,1.172500e-23
15.0613,1.284300e-23
15.0749,1.359200e-23
15.0885,1.480900e-23
15.1021,1.624500e-23
15.1157,1.718400e-23
15.1293,1.895200e-23
15.1429,1.975600e-23
15.1565,1.753200e-23
15.1837,1.726500e-23
15.1974,1.868600e-23
15.211,1.906800e-23
15.2246,1.805200e-23
15.2382,2.128300e-23
15.2518,2.176400e-23
15.2654,2.206100e-23
15.279,2.159200e-23
15.2926,2.027900e-23
15.3062,1.980700e-23
15.3198,2.058200e-23
15.3334,2.224700e-23
15.347,2.181900e-23
15.3606,2.075100e-23
15.3742,2.100300e-23
15.3878,2.151000e-23
15.4014,2.139300e-23
15.415,2.090000e-23
15.4286,1.974000e-23
15.4423,2.078400e-23
15.4559,2.083100e-23
15.4695,2.190500e-23
15.4831,2.125400e-23
15.4967,2.042900e-23
15.5103,1.919600e-23
15.5239,1.855600e-23
15.5375,1.921700e-23
15.5511,1.803300e-23
15.5647,2.000000e-23
15.5783,1.930100e-23
15.5919,1.978600e-23
15.6055,1.983100e-23
15.6191,1.912500e-23
15.6327,1.770400e-23
15.6463,1.793100e-23
15.6599,1.859300e-23
15.6735,1.929800e-23
15.6872,1.865300e-23
15.7008,1.943700e-23
15.7144,1.861600e-23
15.728,1.950700e-23
15.7416,1.813500e-23
15.7552,1.853200e-23
15.7688,1.850500e-23
15.7824,1.757400e-23
15.796,1.720800e-23
15.8096,1.815900e-23
15.8232,1.829800e-23
15.8368,1.884800e-23
16.0001,2.373900e-23
17.5001,3.275400e-23
20.0001,3.938400e-23
25.0001,3.813100e-23
30.0001,3.109300e-23
40.0002,1.877600e-23
50.0002,9.608000e-24
60.0003,5.703500e-24
70.0003,3.969000e-24
80.0004,2.898700e-24
90.0004,2.307100e-24
100.001,1.877300e-24
125.001,1.117300e-24
150.001,6.698100e-25
175.001,4.360100e-25
200.001,2.989000e-25
225.001,2.140900e-25
250.001,1.578600e-25
275.001,1.193500e-25
300.001,9.115800e-26
