# E + Ar -> E + Ar(3d'[5/2]3), Excitation, Schwelle 14.348 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.3479,0.000000e+00
14.3538,3.880740e-24
14.3674,5.218790e-24
14.381,4.623520e-24
14.3946,4.270900e-24
14.4082,2.859150e-24
14.4218,3.085560e-24
14.4354,2.990580e-24
14.449,2.826880e-24
14.4627,2.715250e-24
14.4763,2.879330e-24
14.4899,2.641910e-24
14.5035,2.451230e-24
14.5171,2.582730e-24
14.5307,2.608100e-24
14.5443,2.718540e-24
14.5579,2.783990e-24
14.5715,3.105160e-24
14.5851,3.527980e-24
14.5987,3.842960e-24
14.6123,4.311040e-24
14.6259,4.266770e-24
14.6395,4.617530e-24
14.6531,4.992010e-24
14.6667,5.416160e-24
14.6803,5.704280e-24
14.6939,6.243240e-24
14.7076,6.306950e-24
14.7212,5.989240e-24
14.7348,6.344630e-24
14.7484,6.952830e-24
14.762,7.539650e-24
14.7756,7.810130e-24
14.7892,6.563080e-24
14.8028,7.085480e-24
14.8164,8.223840e-24
14.83,9.658010e-24
14.8436,1.057770e-23
14.8572,1.020150e-23
14.8708,1.034650e-23
14.8844,1.057810e-23
14.898,1.030610e-23
14.9116,9.929410e-24
14.9252,9.891460e-24
14.9388,9.790570e-24
14.9661,8.148320e-24
14.9797,7.293060e-24
14.9933,8.011420e-24
15.0069,7.600270e-24
15.0205,8.791040e-24
15.0341,9.084250e-24
15.0477,7.314080e-24
15.0613,6.621210e-24
15.0749,6.932130e-24
15.0885,6.760310e-24
15.1021,6.604200e-24
15.1157,6.883860e-24
15.1293,7.007010e-24
15.1429,7.156390e-24
15.1565,7.169500e-24
15.1837,7.437610e-24
15.1974,7.630190e-24
15.211,7.867340e-24
15.2246,7.306990e-24
15.2382,7.388220e-24
15.2518,8.408960e-24
15.2654,7.960080e-24
15.279,7.918220e-24
15.2926,8.021540e-24
15.3062,7.855780e-24
15.3198,7.499220e-24
15.3334,7.934760e-24
15.347,8.198620e-24
15.3606,8.363400e-24
15.3742,8.169620e-24
15.3878,7.816780e-24
15.415,6.060190e-24
15.4286,8.123670e-24
15.4423,8.212770e-24
15.4559,7.988050e-24
15.4695,6.788090e-24
15.4831,6.179190e-24
15.4967,6.168120e-24
15.5103,7.285750e-24
15.5239,7.149730e-24
15.5375,7.284090e-24
15.5511,6.799860e-24
15.5647,1.341970e-23
15.5783,6.494660e-24
15.5919,6.969630e-24
15.6055,6.693960e-24
15.6191,6.189270e-24
15.6327,5.722900e-24
15.6463,5.650440e-24
15.6599,5.644940e-24
15.6735,6.203780e-24
15.6872,6.003720e-24
15.7008,5.702210e-24
15.7144,5.984590e-24
15.728,6.231460e-24
15.7416,6.211240e-24
15.7552,6.167920e-24
15.7688,5.768780e-24
15.7824,6.104350e-24
15.796,5.559320e-24
15.8096,4.831920e-24
15.8232,4.800260e-24
15.8368,4.860750e-24
16.0001,5.635210e-24
16.7501,8.336660e-24
17.2501,7.090600e-24
17.5001,9.437410e-24
18.0001,1.049340e-23
18.0501,1.136500e-23
18.1001,1.080390e-23
18.1501,1.066900e-23
18.2501,1.079930e-23
19.2501,9.361590e-24
20.0001,9.561160e-24
21.0001,1.108770e-23
22.0001,1.438940e-23
23.0001,1.501080e-23
24.0001,9.998570e-24
25.0001,1.518570e-23
30.0001,1.466550e-23
35.0002,1.726670e-23
40.0002,1.959230e-23
50.0002,1.768670e-23
60.0003,2.220640e-23
70.0003,2.266650e-23
80.0004,2.098960e-23
90.0004,1.974190e-23
100,1.864160e-23
125.001,1.605320e-23
150.001,1.419400e-23
175.001,1.270530e-23
200.001,1.160460e-23
225.001,1.076470e-23
250.001,1.006520e-23
275.001,9.474700e-24
300.001,8.938110e-24
