# E + Ar <-> E + Ar(3d [5/2]2, 3F2, 3d1!!), Excitation, Schwelle 14.2 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.2004,0.000000e+00
14.2041,1.431100e-24
14.2178,2.328600e-24
14.2314,2.407000e-24
14.245,3.121400e-24
14.2586,3.168600e-24
14.2722,3.063900e-24
14.2858,2.927800e-24
14.2994,3.028200e-24
14.313,3.133800e-24
14.3266,3.532200e-24
14.3402,3.570300e-24
14.3538,3.740900e-24
14.3674,3.577900e-24
14.381,2.942100e-24
14.3946,2.867900e-24
14.4082,3.288600e-24
14.4218,3.281800e-24
14.4354,3.291800e-24
14.449,3.332900e-24
14.4627,3.546900e-24
14.4763,3.796900e-24
14.4899,3.936400e-24
14.5035,4.239700e-24
14.5171,4.679500e-24
14.5307,4.606700e-24
14.5443,4.430100e-24
14.5579,4.246000e-24
14.5715,4.711700e-24
14.5851,4.947100e-24
14.5987,5.613700e-24
14.6123,5.392800e-24
14.6259,5.082500e-24
14.6395,4.644600e-24
14.6531,5.444900e-24
14.6667,5.521200e-24
14.6803,6.123800e-24
14.6939,6.437900e-24
14.7076,7.030400e-24
14.7212,6.637200e-24
14.7348,6.746400e-24
14.7484,6.816400e-24
14.762,6.785500e-24
14.7756,7.013900e-24
14.7892,7.109600e-24
14.8028,7.528900e-24
14.8164,8.133400e-24
14.83,7.745900e-24
14.8436,8.223300e-24
14.8572,8.442900e-24
14.8708,8.041900e-24
14.8844,8.543300e-24
14.898,8.216500e-24
14.9116,7.682700e-24
14.9252,7.446300e-24
14.9388,7.676700e-24
14.9661,8.783800e-24
14.9797,7.299000e-24
14.9933,9.713100e-24
15.0069,1.005100e-23
15.0205,7.643500e-24
15.0341,7.932200e-24
15.0477,7.766800e-24
15.0613,7.220900e-24
15.0749,7.510300e-24
15.0885,7.221200e-24
15.1021,7.185900e-24
15.1157,6.980400e-24
15.1293,7.259300e-24
15.1429,7.436100e-24
15.1565,7.891700e-24
15.1837,8.126600e-24
15.1974,8.175200e-24
15.211,7.579900e-24
15.2246,7.110300e-24
15.2382,7.434200e-24
15.2518,7.539200e-24
15.2654,7.651200e-24
15.279,7.895700e-24
15.2926,7.903600e-24
15.3062,8.490100e-24
15.3198,9.468500e-24
15.3334,1.071900e-23
15.347,1.070700e-23
15.3606,9.549300e-24
15.3742,1.015700e-23
15.3878,9.352000e-24
15.4014,9.576100e-24
15.415,8.909200e-24
15.4286,7.926200e-24
15.4423,9.119800e-24
15.4559,9.353400e-24
15.4695,9.855100e-24
15.4831,9.945400e-24
15.4967,1.084000e-23
15.5103,1.115600e-23
15.5239,1.122600e-23
15.5375,1.199900e-23
15.5511,1.217900e-23
15.5647,1.162000e-23
15.5783,1.195700e-23
15.5919,1.208500e-23
15.6055,1.326400e-23
15.6191,1.338900e-23
15.6327,1.334900e-23
15.6463,1.360900e-23
15.6599,1.478000e-23
15.6735,1.484200e-23
15.6872,1.411600e-23
15.7008,1.477900e-23
15.7144,1.573600e-23
15.728,1.372300e-23
15.7416,1.347900e-23
15.7552,1.340000e-23
15.7688,1.268900e-23
15.7824,1.236500e-23
15.796,1.278900e-23
15.8096,1.143400e-23
15.8232,1.173800e-23
15.8368,1.092900e-23
16.0001,1.163900e-23
17.5001,2.142600e-23
20.0001,2.833100e-23
25.0001,2.763900e-23
30.0001,2.358200e-23
40.0002,1.291300e-23
50.0002,7.412600e-24
60.0003,4.777100e-24
70.0003,3.671000e-24
80.0004,2.527300e-24
90.0004,2.029200e-24
100.001,1.592000e-24
125.001,9.335200e-25
150.001,5.672400e-25
175.001,3.772400e-25
200.001,2.762400e-25
225.001,1.965600e-25
250.001,1.496500e-25
275.001,1.163400e-25
300.001,9.180400e-26
