# E + Ar -> E + Ar(4p'[1/2]0), Excitation, Schwelle 13.594 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.594,0.000000e+00
13.6055,1.906370e-23
13.6191,3.256620e-23
13.6327,4.295980e-23
13.6463,5.943340e-23
13.6599,6.310310e-23
13.6735,6.464070e-23
13.6871,6.577850e-23
13.7007,6.646470e-23
13.7144,6.692370e-23
13.728,6.782170e-23
13.7416,6.809020e-23
13.7552,6.842640e-23
13.7688,6.890440e-23
13.7824,6.957460e-23
13.796,7.037990e-23
13.8096,7.127940e-23
13.8232,7.218940e-23
13.8368,7.305680e-23
13.8504,7.363790e-23
13.864,7.432240e-23
13.8776,7.489840e-23
13.8912,7.534130e-23
13.9048,7.565750e-23
13.9184,7.512690e-23
13.932,7.419340e-23
13.9456,7.144840e-23
13.9593,6.430430e-23
13.9729,5.114610e-23
13.9865,7.059880e-23
14.0001,8.786540e-23
14.0137,9.368780e-23
14.0273,9.351890e-23
14.0409,9.479010e-23
14.0545,9.593980e-23
14.0681,9.617900e-23
14.0817,9.463440e-23
14.0953,9.515050e-23
14.1089,8.725450e-23
14.1225,8.157670e-23
14.1361,8.018630e-23
14.1497,9.293400e-23
14.1633,9.236450e-23
14.1769,9.993330e-23
14.1905,9.753720e-23
14.2041,1.035530e-22
14.2178,1.078460e-22
14.2314,1.037870e-22
14.245,1.003730e-22
14.2586,9.527200e-23
14.2722,9.041040e-23
14.2858,8.702650e-23
14.2994,8.736420e-23
14.313,8.798440e-23
14.3266,8.843120e-23
14.3402,7.637060e-23
14.3538,7.382150e-23
14.3674,7.527880e-23
14.381,8.749670e-23
14.3946,8.819930e-23
14.4082,8.742040e-23
14.4218,8.705610e-23
14.4354,8.642810e-23
14.449,8.852020e-23
14.4627,9.394920e-23
14.4763,9.444370e-23
14.4899,9.412330e-23
14.5035,9.479540e-23
14.5171,9.618400e-23
14.5307,9.490020e-23
14.5443,9.332750e-23
14.5579,9.349200e-23
14.5715,9.381170e-23
14.5851,9.609520e-23
14.5987,9.545710e-23
14.6123,9.526760e-23
14.6259,9.474890e-23
14.6395,9.631110e-23
14.6531,9.556210e-23
14.6667,9.588670e-23
14.6803,9.582020e-23
14.6939,9.814950e-23
14.7076,9.905100e-23
14.7212,9.888310e-23
14.7348,9.716280e-23
14.7484,9.423170e-23
14.762,9.287450e-23
14.7756,9.432230e-23
14.7892,9.098290e-23
14.8028,9.299100e-23
14.8164,9.689010e-23
14.83,1.000380e-22
14.8436,9.937200e-23
14.8572,9.932510e-23
14.8708,1.001570e-22
14.8844,9.978650e-23
14.898,9.880880e-23
14.9116,9.299340e-23
14.9252,9.126960e-23
14.9388,9.146430e-23
14.9661,9.039670e-23
14.9797,9.388860e-23
14.9933,9.215840e-23
15.0069,9.912350e-23
15.0205,1.010110e-22
15.0341,9.834880e-23
15.0477,1.001040e-22
15.0613,1.006770e-22
15.0749,1.029270e-22
15.0885,1.013990e-22
15.1021,9.997170e-23
15.1157,1.045370e-22
15.1293,1.017780e-22
15.1429,9.929980e-23
15.1565,1.006900e-22
15.1837,1.051820e-22
15.1974,1.027170e-22
15.211,1.002620e-22
15.2246,1.050170e-22
15.2382,1.107990e-22
15.2518,1.089950e-22
15.2654,1.108200e-22
15.279,1.088180e-22
15.2926,1.096700e-22
15.3062,1.103170e-22
15.3198,1.135550e-22
15.3334,1.172660e-22
15.347,1.183350e-22
15.3606,1.179750e-22
15.3742,1.177080e-22
15.3878,1.187500e-22
15.415,1.179690e-22
15.4286,1.176560e-22
15.4423,1.161930e-22
15.4559,1.196320e-22
15.4695,1.212780e-22
15.4831,1.222210e-22
15.4967,1.264890e-22
15.5103,1.248620e-22
15.5239,1.229550e-22
15.5375,1.232480e-22
15.5511,1.241780e-22
15.5647,1.340190e-22
15.5783,1.253680e-22
15.5919,1.258360e-22
15.6055,1.282110e-22
15.6191,1.278620e-22
15.6327,1.277530e-22
15.6463,1.306290e-22
15.6599,1.319190e-22
15.6735,1.325500e-22
15.6872,1.301830e-22
15.7008,1.290370e-22
15.7144,1.310880e-22
15.728,1.320950e-22
15.7416,1.315880e-22
15.7552,1.320300e-22
15.7688,1.351260e-22
15.7824,1.336930e-22
15.796,1.306760e-22
15.8096,1.299640e-22
15.8232,1.311660e-22
15.8368,1.295790e-22
16.0001,1.219170e-22
16.7501,1.536150e-22
17.2501,1.630270e-22
17.5001,1.913510e-22
18.0001,1.859680e-22
18.0501,1.827770e-22
18.1001,1.784290e-22
18.1501,1.750030e-22
18.2501,1.716510e-22
19.2501,2.271670e-22
20.0001,1.860790e-22
21.0001,2.224900e-22
22.0001,1.766870e-22
23.0001,2.089590e-22
24.0001,1.672380e-22
25.0001,1.850340e-22
30.0001,1.664850e-22
35.0002,1.700000e-22
40.0002,1.764830e-22
50.0002,1.756950e-22
60.0003,1.738830e-22
70.0003,1.697060e-22
80.0004,1.581810e-22
90.0004,1.576460e-22
100,1.561920e-22
125.001,1.475640e-22
150.001,1.363270e-22
175.001,1.255860e-22
200.001,1.161690e-22
225.001,1.079560e-22
250.001,1.007020e-22
275.001,9.413930e-23
300.001,8.880230e-23
