# E + Ar <-> E + Ar(4p[1/2]1, 3S1, p10), Excitation, Schwelle 13.074 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.074,0.000000e+00
13.0749,5.330000e-24
13.0885,3.633100e-23
13.1021,5.182000e-23
13.1157,7.594500e-23
13.1293,1.029500e-22
13.1429,1.109400e-22
13.1565,1.166000e-22
13.1701,1.220300e-22
13.1837,1.300100e-22
13.1973,1.543700e-22
13.2109,2.094100e-22
13.2246,7.796200e-23
13.2382,8.365900e-23
13.2518,8.662700e-23
13.2654,8.937300e-23
13.279,8.980500e-23
13.2926,8.911500e-23
13.3062,8.719300e-23
13.3198,8.338800e-23
13.3334,7.928500e-23
13.347,7.226200e-23
13.3606,6.901800e-23
13.3742,6.594400e-23
13.3878,7.260700e-23
13.4014,7.387200e-23
13.415,7.180000e-23
13.4286,7.085300e-23
13.4422,6.873100e-23
13.4558,6.435200e-23
13.4695,5.875600e-23
13.4831,5.365200e-23
13.4967,4.817100e-23
13.5103,4.517200e-23
13.5239,4.273100e-23
13.5375,4.088500e-23
13.5511,3.990300e-23
13.5647,4.251500e-23
13.5783,6.657800e-23
13.5919,6.175500e-23
13.6055,5.512200e-23
13.6191,5.491100e-23
13.6327,5.456900e-23
13.6463,5.159600e-23
13.6599,5.022800e-23
13.6735,4.906300e-23
13.6871,4.813000e-23
13.7007,4.742100e-23
13.7144,4.688200e-23
13.728,4.633200e-23
13.7416,4.609100e-23
13.7552,4.600900e-23
13.7688,4.603200e-23
13.7824,4.627400e-23
13.796,4.627000e-23
13.8096,4.636600e-23
13.8232,4.644500e-23
13.8368,4.650700e-23
13.8504,4.658700e-23
13.864,4.669800e-23
13.8776,4.687200e-23
13.8912,4.715200e-23
13.9048,4.766700e-23
13.9184,4.755200e-23
13.932,4.850100e-23
13.9456,4.991900e-23
13.9593,5.281700e-23
13.9729,5.767100e-23
13.9865,5.206200e-23
14.0001,4.716000e-23
14.0137,4.706700e-23
14.0273,4.708300e-23
14.0409,4.771100e-23
14.0545,4.818700e-23
14.0681,4.815400e-23
14.0817,4.788600e-23
14.0953,4.957500e-23
14.1089,4.824600e-23
14.1225,4.651100e-23
14.1361,4.261700e-23
14.1497,4.178200e-23
14.1633,4.070000e-23
14.1769,3.750800e-23
14.1905,3.645100e-23
14.2041,3.461700e-23
14.2178,3.435300e-23
14.2314,3.480400e-23
14.245,3.628900e-23
14.2586,3.805700e-23
14.2722,3.979500e-23
14.2858,3.896200e-23
14.2994,4.393800e-23
14.313,4.603800e-23
14.3266,4.621400e-23
14.3402,4.834800e-23
14.3538,4.868700e-23
14.3674,4.698400e-23
14.381,4.672300e-23
14.3946,4.633100e-23
14.4082,4.669300e-23
14.4218,4.393200e-23
14.4354,4.267500e-23
14.449,4.375800e-23
14.4627,4.398400e-23
14.4763,4.520300e-23
14.4899,4.502000e-23
14.5035,4.580500e-23
14.5171,4.646500e-23
14.5307,4.864400e-23
14.5443,5.102300e-23
14.5579,4.948700e-23
14.5715,5.234500e-23
14.5851,5.046000e-23
14.5987,4.797800e-23
14.6123,4.414100e-23
14.6259,4.752000e-23
14.6395,4.766100e-23
14.6531,4.773800e-23
14.6667,4.737100e-23
14.6803,4.814400e-23
14.6939,4.786400e-23
14.7076,4.904600e-23
14.7212,4.860500e-23
14.7348,4.900300e-23
14.7484,4.942400e-23
14.762,5.226400e-23
14.7756,5.198500e-23
14.7892,5.399000e-23
14.8028,5.282200e-23
14.8164,5.148900e-23
14.83,5.066500e-23
14.8436,5.012700e-23
14.8572,4.767000e-23
14.8708,4.555300e-23
14.8844,4.519300e-23
14.898,4.481700e-23
14.9116,4.506200e-23
14.9252,4.515700e-23
14.9388,4.615800e-23
14.9661,4.454200e-23
14.9797,4.750000e-23
14.9933,4.423000e-23
15.0069,4.520200e-23
15.0205,4.661000e-23
15.0341,4.418400e-23
15.0477,4.378400e-23
15.0613,4.520200e-23
15.0749,4.390300e-23
15.0885,4.703600e-23
15.1021,4.785000e-23
15.1157,4.769800e-23
15.1293,4.709400e-23
15.1429,4.565900e-23
15.1565,4.741100e-23
15.1837,4.728200e-23
15.1974,4.518000e-23
15.211,4.798700e-23
15.2246,4.937800e-23
15.2382,4.950300e-23
15.2518,4.766600e-23
15.2654,4.678600e-23
15.279,4.759900e-23
15.2926,4.746200e-23
15.3062,4.857300e-23
15.3198,5.013000e-23
15.3334,5.099600e-23
15.347,5.250400e-23
15.3606,5.330600e-23
15.3742,5.561300e-23
