# E + Ar <-> E + Ar(4s![1/2]0, 3P0, 1s3), Excitation, Schwelle 11.723 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
11.7231,0.000000e+00
11.7279,1.218500e-23
11.7416,2.959000e-23
11.7552,5.033900e-23
11.7688,3.678900e-23
11.7824,3.096300e-23
11.796,2.737100e-23
11.8096,2.411300e-23
11.8232,2.009500e-23
11.8368,1.635100e-23
11.8504,1.712900e-23
11.864,1.785800e-23
11.8776,1.642800e-23
11.8912,1.643300e-23
11.9048,1.662200e-23
11.9184,1.689300e-23
11.932,1.720000e-23
11.9456,1.751300e-23
11.9592,1.778300e-23
11.9728,1.809500e-23
11.9865,1.840300e-23
12.0001,1.871000e-23
12.0137,1.901400e-23
12.0273,1.932300e-23
12.0409,1.964100e-23
12.0545,1.996500e-23
12.0681,2.029600e-23
12.0817,2.063900e-23
12.0953,2.099300e-23
12.1089,2.136000e-23
12.1225,2.174300e-23
12.1361,2.214200e-23
12.1497,2.255200e-23
12.1633,2.298400e-23
12.1769,2.342700e-23
12.1905,2.389000e-23
12.2041,2.436800e-23
12.2177,2.486500e-23
12.2314,2.537600e-23
12.245,2.590800e-23
12.2586,2.645000e-23
12.2722,2.701400e-23
12.2858,2.759000e-23
12.2994,2.818000e-23
12.313,2.879000e-23
12.3266,2.940700e-23
12.3402,3.004000e-23
12.3538,3.068900e-23
12.3674,3.134600e-23
12.381,3.201100e-23
12.3946,3.269400e-23
12.4082,3.338500e-23
12.4218,3.408000e-23
12.4354,3.478300e-23
12.449,3.549600e-23
12.4626,3.621600e-23
12.4763,3.693800e-23
12.4899,3.766400e-23
12.5035,3.839100e-23
12.5171,3.912600e-23
12.5307,3.986300e-23
12.5443,4.059400e-23
12.5579,4.132000e-23
12.5715,4.205400e-23
12.5851,4.278500e-23
12.5987,4.350900e-23
12.6123,4.423700e-23
12.6259,4.493600e-23
12.6395,4.563800e-23
12.6531,4.632700e-23
12.6667,4.701100e-23
12.6803,4.768400e-23
12.6939,4.834300e-23
12.7075,4.898300e-23
12.7211,4.960500e-23
12.7348,5.020700e-23
12.7484,5.078800e-23
12.762,5.135000e-23
12.7756,5.188900e-23
12.7892,5.240200e-23
12.8028,5.288500e-23
12.8164,5.333800e-23
12.83,5.375700e-23
12.8436,5.414200e-23
