# E + Ar -> E + Ar(5s'[1/2]0), Excitation, Schwelle 14.312 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.3117,0.000000e+00
14.313,4.133870e-24
14.3266,1.483860e-24
14.3402,2.072330e-24
14.3538,2.647820e-24
14.3674,2.608340e-24
14.381,2.573980e-24
14.3946,3.165370e-24
14.4082,3.578250e-24
14.4218,4.126260e-24
14.4354,4.044960e-24
14.449,6.170010e-24
14.4627,5.719710e-24
14.4763,5.199180e-24
14.4899,5.413480e-24
14.5035,5.485010e-24
14.5171,5.526630e-24
14.5307,5.444380e-24
14.5443,5.505350e-24
14.5579,5.641430e-24
14.5715,4.184810e-24
14.5851,5.098550e-24
14.5987,5.490990e-24
14.6123,5.596020e-24
14.6259,5.845040e-24
14.6395,5.939840e-24
14.6531,6.020770e-24
14.6667,6.165800e-24
14.6803,6.610690e-24
14.6939,6.894280e-24
14.7076,6.872470e-24
14.7212,7.140090e-24
14.7348,7.437550e-24
14.7484,8.188470e-24
14.762,8.935370e-24
14.7756,9.954530e-24
14.7892,1.015530e-23
14.8028,9.879500e-24
14.8164,8.879040e-24
14.83,8.971550e-24
14.8436,9.904990e-24
14.8572,8.692340e-24
14.8708,1.005310e-23
14.8844,9.185360e-24
14.898,8.618150e-24
14.9116,8.696930e-24
14.9252,9.015880e-24
14.9388,9.944830e-24
14.9661,8.989600e-24
14.9797,8.461880e-24
14.9933,7.786890e-24
15.0069,9.254310e-24
15.0205,8.905600e-24
15.0341,9.220550e-24
15.0477,9.921040e-24
15.0613,9.277180e-24
15.0749,8.988850e-24
15.0885,9.066900e-24
15.1021,9.288960e-24
15.1157,9.596350e-24
15.1293,9.103470e-24
15.1429,9.018970e-24
15.1565,8.520600e-24
15.1837,8.257440e-24
15.1974,6.607940e-24
15.211,9.493300e-24
15.2246,1.020370e-23
15.2382,7.098900e-24
15.2518,6.593780e-24
15.2654,7.050230e-24
15.279,5.565020e-24
15.2926,5.001810e-24
15.3062,5.714000e-24
15.3198,5.952970e-24
15.3334,5.944570e-24
15.347,5.885880e-24
15.3606,6.564620e-24
15.3742,6.630750e-24
15.3878,7.270130e-24
15.415,7.182770e-24
15.4286,7.020910e-24
15.4423,8.233030e-24
15.4559,8.593520e-24
15.4695,8.411070e-24
15.4831,8.417620e-24
15.4967,7.775490e-24
15.5103,7.628980e-24
15.5239,8.403090e-24
15.5375,8.446220e-24
15.5511,8.641460e-24
15.5647,1.786520e-23
15.5783,9.220340e-24
15.5919,8.875150e-24
15.6055,8.828270e-24
15.6191,9.112800e-24
15.6327,9.248020e-24
15.6463,9.280670e-24
15.6599,9.000860e-24
15.6735,9.239940e-24
15.6872,9.107400e-24
15.7008,9.408080e-24
15.7144,9.623400e-24
15.728,9.587230e-24
15.7416,9.698800e-24
15.7552,8.873620e-24
15.7688,8.613210e-24
15.7824,7.942820e-24
15.796,7.853700e-24
15.8096,7.885470e-24
15.8232,7.726320e-24
15.8368,8.138390e-24
16.0001,7.600980e-24
16.7501,9.349720e-24
17.2501,1.206630e-23
17.5001,1.244060e-23
18.0001,1.449940e-23
18.0501,1.399180e-23
18.1001,1.512650e-23
18.1501,1.415840e-23
18.2501,1.277100e-23
19.2501,1.584770e-23
20.0001,1.669710e-23
21.0001,1.111660e-23
22.0001,1.701880e-23
23.0001,1.108120e-23
24.0001,1.414040e-23
25.0001,1.145480e-23
30.0001,8.212120e-24
35.0002,5.459420e-24
40.0002,3.745920e-24
50.0002,1.331100e-24
60.0003,8.289530e-25
70.0003,6.346550e-25
80.0004,4.811630e-25
90.0004,3.725760e-25
100,3.134600e-25
125.001,1.677920e-25
150.001,8.156400e-26
175.001,4.683280e-26
200.001,2.911590e-26
225.001,1.929640e-26
250.001,1.363190e-26
275.001,1.001090e-26
300.001,7.393110e-27
