# E + Ar <-> E + Ar(5s[3/2]2, 3P2, 2s5), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.1653,0.000000e+00
14.1769,6.144700e-24
14.1905,7.500000e-24
14.2041,9.188400e-24
14.2178,1.262400e-23
14.2314,1.543000e-23
14.245,1.886400e-23
14.2586,2.098100e-23
14.2722,2.428400e-23
14.2858,2.238600e-23
14.2994,2.442500e-23
14.313,2.606100e-23
14.3266,2.913500e-23
14.3402,2.436700e-23
14.3538,2.340100e-23
14.3674,2.022400e-23
14.381,1.965800e-23
14.3946,1.966400e-23
14.4082,1.868600e-23
14.4218,1.905700e-23
14.4354,1.825700e-23
14.449,1.922200e-23
14.4627,1.930300e-23
14.4763,1.935200e-23
14.4899,1.908600e-23
14.5035,1.897500e-23
14.5171,1.851700e-23
14.5307,1.881800e-23
14.5443,1.898800e-23
14.5579,1.726300e-23
14.5715,1.844700e-23
14.5851,1.590100e-23
14.5987,1.457300e-23
14.6123,1.447700e-23
14.6259,1.477100e-23
14.6395,1.600500e-23
14.6531,1.781400e-23
14.6667,2.002800e-23
14.6803,2.148400e-23
14.6939,2.386000e-23
14.7076,2.467100e-23
14.7212,2.516600e-23
14.7348,2.554900e-23
14.7484,2.586000e-23
14.762,2.734700e-23
14.7756,2.913300e-23
14.7892,3.047500e-23
14.8028,3.115800e-23
14.8164,3.143400e-23
14.83,3.064600e-23
14.8436,3.079300e-23
14.8572,3.074400e-23
14.8708,2.916500e-23
14.8844,2.851800e-23
14.898,2.737400e-23
14.9116,2.605600e-23
14.9252,2.568500e-23
14.9388,2.542900e-23
14.9661,2.688200e-23
14.9797,2.562600e-23
14.9933,2.726600e-23
15.0069,2.616800e-23
15.0205,2.583500e-23
15.0341,2.616900e-23
15.0477,2.470700e-23
15.0613,2.680500e-23
15.0749,2.755100e-23
15.0885,2.720700e-23
15.1021,2.658300e-23
15.1157,2.599100e-23
15.1293,2.590800e-23
15.1429,2.464100e-23
15.1565,2.367800e-23
15.1837,2.662100e-23
15.1974,2.764100e-23
15.211,2.617900e-23
15.2246,2.760000e-23
15.2382,2.880100e-23
15.2518,2.841400e-23
15.2654,2.773900e-23
15.279,2.711700e-23
15.2926,2.645100e-23
15.3062,2.648300e-23
15.3198,2.719100e-23
15.3334,2.652800e-23
15.347,2.700800e-23
15.3606,2.706100e-23
15.3742,2.757200e-23
15.3878,2.897200e-23
15.4014,2.983000e-23
15.415,2.939800e-23
15.4286,3.023000e-23
15.4423,2.952400e-23
15.4559,2.941200e-23
15.4695,3.061200e-23
15.4831,2.953100e-23
15.4967,2.994400e-23
15.5103,2.796300e-23
15.5239,2.749200e-23
15.5375,2.731200e-23
15.5511,2.726700e-23
15.5647,4.070100e-23
15.5783,2.738000e-23
15.5919,2.674000e-23
15.6055,2.645100e-23
15.6191,2.736500e-23
15.6327,2.738700e-23
15.6463,2.689600e-23
15.6599,2.633600e-23
15.6735,2.642900e-23
15.6872,2.733100e-23
15.7008,2.681400e-23
15.7144,2.697900e-23
15.728,2.777800e-23
15.7416,2.870600e-23
15.7552,3.135300e-23
15.7688,3.156900e-23
15.7824,3.229900e-23
15.796,2.945300e-23
15.8096,3.179900e-23
15.8232,3.518700e-23
15.8368,3.695800e-23
16.0001,4.470900e-23
17.5001,6.043300e-23
20.0267,7.192900e-23
25.0001,6.446200e-23
30.0001,5.094100e-23
40.0002,3.798700e-23
50.0002,3.329400e-23
60.0003,3.063900e-23
70.0003,2.727300e-23
80.0004,2.503800e-23
90.0004,2.333300e-23
100.001,2.184900e-23
125.001,1.856000e-23
150.001,1.625600e-23
175.001,1.455500e-23
200.001,1.326400e-23
225.001,1.226700e-23
250.001,1.146100e-23
275.001,1.079000e-23
300.001,1.017100e-23
