# E + Ar, Elastic | COP (Complex Optical Potential), COP (Complex Optical Potential), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0,4.993300e-20
0.002,4.022400e-20
0.004,3.647800e-20
0.006,3.374400e-20
0.008,3.153800e-20
0.01,2.967000e-20
0.02,2.304300e-20
0.03,1.869700e-20
0.04,1.550700e-20
0.05,1.303300e-20
0.06,1.105200e-20
0.07,9.430000e-21
0.08,8.082000e-21
0.09,6.950000e-21
0.1,5.991000e-21
0.11,5.175000e-21
0.12,4.477000e-21
0.13,3.879000e-21
0.14,3.365000e-21
0.15,2.925000e-21
0.16,2.548000e-21
0.17,2.226000e-21
0.18,1.952000e-21
0.19,1.720000e-21
0.2,1.527000e-21
0.21,1.367000e-21
0.22,1.237000e-21
0.23,1.133000e-21
0.24,1.054000e-21
0.25,9.970000e-22
0.26,9.590000e-22
0.27,9.390000e-22
0.28,9.350000e-22
0.29,9.460000e-22
0.3,9.700000e-22
0.31,1.006000e-21
0.32,1.054000e-21
0.33,1.112000e-21
0.34,1.179000e-21
0.35,1.255000e-21
0.36,1.339000e-21
0.37,1.430000e-21
0.38,1.527000e-21
0.39,1.631000e-21
0.4,1.741000e-21
0.45,2.362000e-21
0.5,3.073000e-21
0.55,3.848000e-21
0.6,4.665000e-21
0.65,5.513000e-21
0.7,6.380000e-21
0.75,7.261000e-21
0.8,8.150000e-21
0.85,9.044000e-21
0.9,9.939000e-21
0.95,1.081100e-20
1,1.171200e-20
1.05,1.260900e-20
1.1,1.350300e-20
1.15,1.439400e-20
1.2,1.528000e-20
1.25,1.616000e-20
1.3,1.703600e-20
1.35,1.790600e-20
1.4,1.877100e-20
1.45,1.962900e-20
1.5,2.048300e-20
1.55,2.133100e-20
1.6,2.217300e-20
1.65,2.301000e-20
1.7,2.384100e-20
1.75,2.466600e-20
1.8,2.548600e-20
1.85,2.630100e-20
1.9,2.711100e-20
1.95,2.791500e-20
2,2.871300e-20
2.05,2.950600e-20
2.1,3.029400e-20
2.15,3.107600e-20
2.2,3.185400e-20
2.25,3.262600e-20
2.3,3.339300e-20
2.35,3.415500e-20
2.4,3.491300e-20
2.45,3.566500e-20
2.5,3.641300e-20
2.55,3.715500e-20
2.6,3.789300e-20
2.65,3.862600e-20
2.7,3.935500e-20
2.75,4.007800e-20
2.8,4.079700e-20
2.85,4.151200e-20
2.9,4.222200e-20
2.95,4.292700e-20
3,4.362800e-20
3.05,4.432400e-20
3.1,4.501600e-20
3.15,4.570300e-20
3.2,4.638500e-20
3.25,4.706300e-20
3.3,4.773700e-20
3.35,4.840700e-20
3.4,4.907200e-20
3.45,4.973300e-20
3.5,5.039000e-20
3.55,5.104200e-20
3.6,5.169100e-20
3.65,5.233400e-20
3.7,5.297400e-20
3.75,5.360900e-20
3.8,5.424000e-20
3.85,5.486700e-20
3.9,5.548900e-20
3.95,5.610700e-20
4,5.672100e-20
4.05,5.733100e-20
4.1,5.793600e-20
4.15,5.853700e-20
4.2,5.913400e-20
4.25,5.972700e-20
4.3,6.031600e-20
4.35,6.090000e-20
4.4,6.147900e-20
4.45,6.205400e-20
4.5,6.262500e-20
4.55,6.319100e-20
4.6,6.375300e-20
4.65,6.431100e-20
4.7,6.486400e-20
4.75,6.541200e-20
4.8,6.595600e-20
4.85,6.649500e-20
4.9,6.703000e-20
4.95,6.756100e-20
5,6.808600e-20
5.05,6.860700e-20
5.1,6.912400e-20
5.15,6.963500e-20
5.2,7.014200e-20
5.25,7.064400e-20
5.3,7.114100e-20
5.35,7.163300e-20
5.4,7.212100e-20
5.45,7.260300e-20
5.5,7.308000e-20
5.55,7.355300e-20
5.6,7.402000e-20
5.65,7.448200e-20
5.7,7.493900e-20
5.75,7.539100e-20
5.8,7.583800e-20
5.85,7.627900e-20
5.9,7.671500e-20
5.95,7.714500e-20
6,7.757000e-20
6.05,7.799000e-20
6.1,7.840400e-20
6.15,7.881300e-20
6.2,7.921600e-20
6.25,7.961300e-20
6.3,8.000600e-20
6.35,8.039200e-20
6.4,8.077200e-20
6.45,8.114700e-20
6.5,8.151500e-20
6.55,8.187700e-20
6.6,8.223400e-20
6.65,8.258400e-20
6.7,8.292900e-20
6.75,8.326800e-20
6.8,8.360000e-20
6.85,8.392700e-20
6.9,8.424700e-20
6.95,8.456100e-20
7,8.486900e-20
7.05,8.517100e-20
7.1,8.546600e-20
7.15,8.575600e-20
7.2,8.603800e-20
7.25,8.631500e-20
7.3,8.658500e-20
7.35,8.684900e-20
7.4,8.710600e-20
7.45,8.735700e-20
7.5,8.760200e-20
7.55,8.784000e-20
7.6,8.807100e-20
7.65,8.829700e-20
7.7,8.851500e-20
7.75,8.872800e-20
7.8,8.893300e-20
7.85,8.913300e-20
7.9,8.932600e-20
7.95,8.951200e-20
8,8.969300e-20
8.05,8.986600e-20
8.1,9.003400e-20
8.15,9.019500e-20
8.2,9.034900e-20
8.25,9.049700e-20
8.3,9.063900e-20
8.35,9.077500e-20
8.4,9.090500e-20
8.45,9.102800e-20
8.5,9.114500e-20
8.55,9.125600e-20
8.6,9.136000e-20
8.65,9.145900e-20
8.7,9.155200e-20
8.75,9.163900e-20
8.8,9.172000e-20
8.85,9.179500e-20
8.9,9.186400e-20
8.95,9.192700e-20
9,9.198500e-20
9.05,9.203700e-20
9.1,9.208300e-20
9.15,9.212400e-20
9.2,9.216000e-20
9.25,9.219000e-20
9.3,9.221500e-20
9.35,9.223400e-20
9.4,9.224900e-20
9.45,9.225800e-20
9.5,9.226200e-20
9.55,9.226100e-20
9.6,9.225600e-20
9.65,9.224500e-20
9.7,9.223000e-20
9.75,9.221100e-20
9.8,9.218600e-20
9.85,9.215700e-20
9.9,9.212400e-20
9.95,9.208700e-20
10,9.204500e-20
10.05,9.199900e-20
10.1,9.194900e-20
10.15,9.189600e-20
10.2,9.183800e-20
10.25,9.177600e-20
10.3,9.171100e-20
10.35,9.164200e-20
10.4,9.157000e-20
10.45,9.149400e-20
10.5,9.141500e-20
10.55,9.133200e-20
10.6,9.124600e-20
10.65,9.115700e-20
10.7,9.106600e-20
10.75,9.097100e-20
10.8,9.087300e-20
10.85,9.077300e-20
10.9,9.067000e-20
10.95,9.056400e-20
11,9.045600e-20
11.05,9.034500e-20
11.1,9.023200e-20
11.15,9.011700e-20
11.2,8.999900e-20
11.25,8.987900e-20
11.3,8.975800e-20
11.35,8.963400e-20
11.4,8.950800e-20
11.45,8.938100e-20
11.5,8.925200e-20
11.55,8.912100e-20
11.6,8.898900e-20
11.65,8.885500e-20
11.7,8.868400e-20
11.8,8.839300e-20
11.9,8.801000e-20
12,8.766900e-20
12.1,8.734100e-20
12.2,8.701800e-20
12.3,8.669500e-20
12.4,8.637400e-20
12.5,8.605500e-20
12.6,8.573500e-20
12.7,8.541400e-20
12.8,8.509400e-20
12.9,8.477500e-20
13,8.445600e-20
13.1,8.413500e-20
13.2,8.380600e-20
13.3,8.348000e-20
13.4,8.314400e-20
13.5,8.281700e-20
13.6,8.249200e-20
13.7,8.216900e-20
13.8,8.184900e-20
13.9,8.153100e-20
14,8.121500e-20
14.1,8.088400e-20
14.2,8.053500e-20
14.3,8.018900e-20
14.4,7.983400e-20
14.5,7.950100e-20
14.6,7.917600e-20
14.7,7.885700e-20
14.8,7.854400e-20
14.9,7.823500e-20
15,7.793000e-20
15.1,7.762900e-20
15.2,7.733200e-20
15.3,7.703800e-20
