# E + Ar -> E + Ar, Elastic | Hayashi database, Hayashi database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0,6.300000e-20
0.01,4.200000e-20
0.012,4.000000e-20
0.015,3.690000e-20
0.02,3.200000e-20
0.025,2.800000e-20
0.03,2.480000e-20
0.035,2.200000e-20
0.04,1.980000e-20
0.05,1.590000e-20
0.06,1.320000e-20
0.08,9.130000e-21
0.1,5.990000e-21
0.125,3.910000e-21
0.15,2.550000e-21
0.175,1.620000e-21
0.2,1.080000e-21
0.225,8.080000e-22
0.233,7.810000e-22
0.235,7.630000e-22
0.24,7.650000e-22
0.245,7.860000e-22
0.25,8.160000e-22
0.275,1.030000e-21
0.3,1.390000e-21
0.35,2.160000e-21
0.4,3.100000e-21
0.5,5.070000e-21
0.6,6.900000e-21
0.7,8.880000e-21
0.8,1.070000e-20
0.9,1.240000e-20
1,1.420000e-20
1.2,1.700000e-20
1.5,2.090000e-20
2,2.840000e-20
2.5,3.560000e-20
3,4.310000e-20
4,5.780000e-20
5,7.950000e-20
6,9.710000e-20
8,1.370000e-19
10,1.610000e-19
12,1.640000e-19
15,1.370000e-19
20,9.300000e-20
25,6.680000e-20
30,5.160000e-20
40,3.590000e-20
50,2.900000e-20
60,2.540000e-20
80,2.140000e-20
100,1.910000e-20
120,1.710000e-20
150,1.460000e-20
200,1.120000e-20
250,8.730000e-21
300,7.130000e-21
400,5.180000e-21
500,3.970000e-21
600,3.150000e-21
800,2.190000e-21
1000,1.610000e-21
