# E + Ar -> E + Ar*(14.71eV), Excitation, Schwelle 14.71 eV | Hayashi database, Hayashi database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.71,0.000000e+00
15,2.000000e-23
16,1.000000e-22
18,3.000000e-22
20,4.800000e-22
22,6.500000e-22
25,9.100000e-22
30,1.240000e-21
35,1.500000e-21
40,1.650000e-21
50,1.780000e-21
60,1.780000e-21
80,1.650000e-21
100,1.460000e-21
150,1.120000e-21
200,9.300000e-22
300,6.900000e-22
500,4.700000e-22
800,3.300000e-22
1000,2.800000e-22
10000,0.000000e+00
