# E + Ar -> E + E + Ar+, Ionization, Schwelle 15.76 eV | Hayashi database, Hayashi database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
15.76,0.000000e+00
16,2.020000e-22
17,1.340000e-21
18,2.940000e-21
19,4.600000e-21
20,6.270000e-21
21,7.870000e-21
22,9.330000e-21
23,1.060000e-20
24,1.180000e-20
25,1.300000e-20
26,1.410000e-20
28,1.600000e-20
30,1.800000e-20
32,1.960000e-20
34,2.110000e-20
36,2.240000e-20
38,2.330000e-20
40,2.390000e-20
42.5,2.450000e-20
45,2.490000e-20
50,2.530000e-20
55,2.600000e-20
60,2.660000e-20
65,2.730000e-20
70,2.770000e-20
75,2.820000e-20
80,2.840000e-20
85,2.850000e-20
90,2.860000e-20
100,2.850000e-20
120,2.810000e-20
130,2.760000e-20
150,2.680000e-20
160,2.620000e-20
180,2.520000e-20
200,2.390000e-20
250,2.170000e-20
300,1.980000e-20
350,1.810000e-20
400,1.680000e-20
500,1.460000e-20
600,1.300000e-20
700,1.160000e-20
800,1.060000e-20
1000,9.160000e-21
10000,0.000000e+00
