# E + Ar -> E + Ar(3P1), Excitation, Schwelle 11.623 eV | IST-Lisbon database, IST-Lisbon database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
11.623,0.000000e+00
13,1.912001e-22
14,3.728471e-22
15,4.208985e-22
16,4.276331e-22
17,4.271554e-22
18,4.219654e-22
19,4.140567e-22
20,4.049165e-22
21,3.957714e-22
22,3.868779e-22
23,3.782461e-22
24,3.698862e-22
25,3.618082e-22
30,3.260000e-22
35,2.982574e-22
40,2.773622e-22
45,2.616002e-22
50,2.492574e-22
80,2.061000e-22
90,1.963000e-22
100,1.872000e-22
200,1.283000e-22
300,9.905000e-23
400,8.150000e-23
500,6.965000e-23
1000,4.180000e-23
