# E + Ar -> E + Ar(3d[1/2]0 + 3d[1/2]1), Excitation, Schwelle 13.84 eV | IST-Lisbon database, IST-Lisbon database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.84,0.000000e+00
14,3.000000e-23
15,2.050000e-22
16,3.800000e-22
18,6.000000e-22
19,6.500000e-22
20,6.600000e-22
22,6.400000e-22
25,5.600000e-22
30,3.900000e-22
35,2.650000e-22
40,1.930000e-22
50,1.150000e-22
60,7.500000e-23
80,3.850000e-23
100,2.250000e-23
150,8.900000e-24
200,4.500000e-24
300,1.750000e-24
380,1.000000e-24
500,0.000000e+00
1000,0.000000e+00
