# E + Ar -> E + Ar(3d[7/2]4), Excitation, Schwelle 13.98 eV | IST-Lisbon database, IST-Lisbon database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.98,0.000000e+00
14,8.000000e-24
15,1.400000e-22
16,2.750000e-22
18,4.700000e-22
19,5.000000e-22
20,5.080000e-22
22,4.900000e-22
25,4.200000e-22
30,2.800000e-22
35,1.850000e-22
40,1.290000e-22
50,7.000000e-23
60,4.300000e-23
80,1.970000e-23
100,1.100000e-23
150,3.700000e-24
200,1.700000e-24
242,1.000000e-24
300,0.000000e+00
1000,0.000000e+00
