# E + Ar -> E + Ar(5p'[3/2]1), Excitation, Schwelle 14.681 eV | IST-Lisbon database, IST-Lisbon database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.681,0.000000e+00
15,1.150330e-23
16,3.878034e-23
17,5.777586e-23
18,8.096198e-23
19,9.494578e-23
20,9.839737e-23
21,9.851431e-23
22,9.816305e-23
23,9.665771e-23
24,9.321662e-23
25,8.712344e-23
30,5.427662e-23
35,3.981022e-23
40,3.250255e-23
45,2.774789e-23
50,2.418667e-23
80,1.680000e-23
90,1.580000e-23
100,1.480000e-23
200,8.806050e-24
300,6.182570e-24
400,4.754380e-24
500,3.860200e-24
1000,1.988000e-24
