# E + Ar -> E + Ar(5p[5/2]3), Excitation, Schwelle 14.499 eV | IST-Lisbon database, IST-Lisbon database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.499,0.000000e+00
15,4.604365e-24
16,3.662966e-23
17,8.864803e-23
18,1.481446e-22
19,2.026045e-22
20,2.395129e-22
21,2.489533e-22
22,2.353784e-22
23,2.081798e-22
24,1.767540e-22
25,1.493607e-22
30,7.788128e-23
35,4.943732e-23
40,3.715308e-23
45,3.274116e-23
50,3.139457e-23
80,2.340000e-23
90,2.160000e-23
100,2.000000e-23
200,1.120000e-23
300,7.756760e-24
400,5.921500e-24
500,4.787480e-24
1000,2.445490e-24
