# E + Ar -> E + Ar*(11.5eV), Excitation, Schwelle 11.5 eV | Phelps database, Phelps database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
11.5,0.000000e+00
12.7,7.000000e-22
13.7,1.410000e-21
14.7,2.280000e-21
15.9,3.800000e-21
16.5,4.800000e-21
17.5,6.100000e-21
18.5,7.500000e-21
19.9,9.200000e-21
22.2,1.170000e-20
24.7,1.330000e-20
27,1.420000e-20
30,1.440000e-20
33,1.410000e-20
35.3,1.340000e-20
42,1.250000e-20
48,1.160000e-20
52,1.110000e-20
70,9.400000e-21
100,7.600000e-21
150,6.000000e-21
200,5.050000e-21
300,3.950000e-21
500,2.800000e-21
700,2.250000e-21
1000,1.770000e-21
1500,1.360000e-21
2000,1.100000e-21
3000,8.300000e-22
5000,5.800000e-22
7000,4.500000e-22
10000,3.500000e-22
