# E + Ar -> E + Ar(1s2: 4s'(1/2)1), Excitation, Schwelle 11.827 eV | Puech database, Puech database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
11.827,0.000000e+00
11.9,1.470000e-23
12,3.520000e-23
12.1,5.570000e-23
12.2,7.630000e-23
12.3,9.680000e-23
12.4,1.170000e-22
12.5,1.380000e-22
12.6,1.590000e-22
12.7,1.790000e-22
12.8,2.000000e-22
12.9,2.210000e-22
13,2.410000e-22
13.1,2.620000e-22
13.2,2.820000e-22
13.3,3.030000e-22
13.4,3.240000e-22
13.5,3.440000e-22
13.6,3.650000e-22
13.7,3.860000e-22
13.8,4.060000e-22
13.9,4.270000e-22
14,4.470000e-22
14.1,4.679999e-22
14.2,4.880000e-22
14.3,5.080000e-22
14.4,5.290000e-22
14.5,5.490000e-22
14.6,5.689999e-22
14.7,5.890000e-22
14.8,6.090000e-22
14.9,6.290000e-22
15,6.490000e-22
15.1,6.690000e-22
15.2,6.889999e-22
15.3,7.090000e-22
15.4,7.280000e-22
15.5,7.480000e-22
15.6,7.680000e-22
15.7,7.870000e-22
15.8,8.060000e-22
15.9,8.250000e-22
16,8.450000e-22
16.1,8.640000e-22
16.2,8.830000e-22
16.3,9.009999e-22
16.4,9.199999e-22
16.5,9.390000e-22
16.6,9.570000e-22
16.7,9.759999e-22
16.8,9.940000e-22
16.9,1.010000e-21
17,1.030000e-21
17.1,1.050000e-21
17.2,1.070000e-21
17.3,1.080000e-21
17.4,1.100000e-21
17.5,1.120000e-21
17.6,1.140000e-21
17.7,1.150000e-21
17.8,1.170000e-21
17.9,1.190000e-21
18,1.210000e-21
18.1,1.220000e-21
18.2,1.240000e-21
18.3,1.260000e-21
18.4,1.270000e-21
18.5,1.290000e-21
18.6,1.310000e-21
18.7,1.320000e-21
18.8,1.340000e-21
18.9,1.350000e-21
19,1.370000e-21
19.1,1.380000e-21
19.2,1.400000e-21
19.3,1.420000e-21
19.4,1.430000e-21
19.5,1.450000e-21
19.6,1.460000e-21
19.7,1.480000e-21
19.8,1.490000e-21
19.9,1.510000e-21
21,1.660000e-21
22,1.790000e-21
23,1.910000e-21
24,2.010000e-21
25,2.110000e-21
26,2.200000e-21
27,2.280000e-21
28,2.360000e-21
29,2.420000e-21
30,2.480000e-21
31,2.540000e-21
32,2.590000e-21
33,2.630000e-21
34,2.670000e-21
35,2.710000e-21
36,2.740000e-21
37,2.770000e-21
38,2.790000e-21
39,2.810000e-21
40,2.830000e-21
41,2.850000e-21
42,2.870000e-21
43,2.880000e-21
44,2.890000e-21
45,2.900000e-21
55,2.920000e-21
60,2.900000e-21
65,2.870000e-21
70,2.840000e-21
75,2.790000e-21
80,2.750000e-21
85,2.700000e-21
90,2.650000e-21
95,2.600000e-21
100,2.560000e-21
