# E + Ar -> E + Ar(2p4: 4p'(3/2)1), Excitation, Schwelle 13.282 eV | Puech database, Puech database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.282,0.000000e+00
13.3,9.140000e-25
13.4,6.010000e-24
13.5,1.090000e-23
13.6,1.550000e-23
13.7,2.000000e-23
13.8,2.420000e-23
13.9,2.830000e-23
14,3.220000e-23
14.1,3.590000e-23
14.2,3.940000e-23
14.3,4.280000e-23
14.4,4.610000e-23
14.5,4.910000e-23
14.6,5.210000e-23
14.7,5.490000e-23
14.8,5.760000e-23
14.9,6.020000e-23
15,6.260000e-23
15.1,6.500000e-23
15.2,6.720000e-23
15.3,6.930000e-23
15.4,7.129999e-23
15.5,7.330000e-23
15.6,7.509999e-23
15.7,7.690000e-23
15.8,7.850000e-23
15.9,8.010000e-23
16,8.159999e-23
16.1,8.310000e-23
16.2,8.439999e-23
16.3,8.569999e-23
16.4,8.700000e-23
16.5,8.809999e-23
16.6,8.920000e-23
16.7,9.030000e-23
16.8,9.130000e-23
16.9,9.220000e-23
17,9.309999e-23
17.1,9.390000e-23
17.2,9.469999e-23
17.3,9.549999e-23
17.4,9.619999e-23
17.5,9.680000e-23
17.6,9.750000e-23
17.7,9.800000e-23
17.8,9.860000e-23
17.9,9.909999e-23
18,9.950000e-23
18.1,1.000000e-22
18.2,1.000000e-22
18.3,1.010000e-22
18.4,1.010000e-22
18.5,1.010000e-22
18.6,1.020000e-22
18.7,1.020000e-22
18.8,1.020000e-22
18.9,1.020000e-22
19,1.030000e-22
19.1,1.030000e-22
19.2,1.030000e-22
19.3,1.030000e-22
19.4,1.030000e-22
19.5,1.030000e-22
19.6,1.030000e-22
19.7,1.030000e-22
19.8,1.030000e-22
19.9,1.030000e-22
21,1.030000e-22
22,1.010000e-22
23,9.830000e-23
24,9.540000e-23
25,9.229999e-23
26,8.899999e-23
27,8.580000e-23
28,8.249999e-23
29,7.930000e-23
30,7.619999e-23
31,7.319999e-23
32,7.030000e-23
33,6.750000e-23
34,6.490000e-23
35,6.230000e-23
36,5.990000e-23
37,5.760000e-23
38,5.540000e-23
39,5.340000e-23
40,5.140000e-23
41,4.950000e-23
42,4.770000e-23
43,4.600000e-23
44,4.440000e-23
45,4.280000e-23
55,3.090000e-23
60,2.660000e-23
65,2.320000e-23
70,2.040000e-23
75,1.800000e-23
80,1.600000e-23
85,1.440000e-23
90,1.300000e-23
95,1.170000e-23
100,1.070000e-23
