# E + Ar -> E + Ar(2p5: 4p(1/2)0), Excitation, Schwelle 13.272 eV | Puech database, Puech database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.272,0.000000e+00
13.3,2.350000e-24
13.4,1.070000e-23
13.5,1.860000e-23
13.6,2.620000e-23
13.7,3.350000e-23
13.8,4.050000e-23
13.9,4.710000e-23
14,5.340000e-23
14.1,5.950000e-23
14.2,6.530000e-23
14.3,7.079999e-23
14.4,7.610000e-23
14.5,8.120000e-23
14.6,8.600000e-23
14.7,9.060000e-23
14.8,9.499999e-23
14.9,9.920000e-23
15,1.030000e-22
15.1,1.070000e-22
15.2,1.110000e-22
15.3,1.140000e-22
15.4,1.170000e-22
15.5,1.210000e-22
15.6,1.240000e-22
15.7,1.260000e-22
15.8,1.290000e-22
15.9,1.320000e-22
16,1.340000e-22
16.1,1.370000e-22
16.2,1.390000e-22
16.3,1.410000e-22
16.4,1.430000e-22
16.5,1.450000e-22
16.6,1.470000e-22
16.7,1.480000e-22
16.8,1.500000e-22
16.9,1.510000e-22
17,1.530000e-22
17.1,1.540000e-22
17.2,1.560000e-22
17.3,1.570000e-22
17.4,1.580000e-22
17.5,1.590000e-22
17.6,1.600000e-22
17.7,1.610000e-22
17.8,1.620000e-22
17.9,1.630000e-22
18,1.630000e-22
18.1,1.640000e-22
18.2,1.650000e-22
18.3,1.650000e-22
18.4,1.660000e-22
18.5,1.660000e-22
18.6,1.670000e-22
18.7,1.670000e-22
18.8,1.680000e-22
18.9,1.680000e-22
19,1.680000e-22
19.1,1.690000e-22
19.2,1.690000e-22
19.3,1.690000e-22
19.4,1.690000e-22
19.5,1.690000e-22
19.6,1.690000e-22
19.7,1.690000e-22
19.8,1.700000e-22
19.9,1.700000e-22
21,1.680000e-22
22,1.650000e-22
23,1.610000e-22
24,1.560000e-22
25,1.510000e-22
26,1.460000e-22
27,1.410000e-22
28,1.350000e-22
29,1.300000e-22
30,1.250000e-22
31,1.200000e-22
32,1.150000e-22
33,1.110000e-22
34,1.060000e-22
35,1.020000e-22
36,9.820000e-23
37,9.440000e-23
38,9.080000e-23
39,8.740000e-23
40,8.420000e-23
41,8.109999e-23
42,7.820000e-23
43,7.540000e-23
44,7.269999e-23
45,7.020000e-23
55,5.060000e-23
60,4.360000e-23
65,3.800000e-23
70,3.330000e-23
75,2.950000e-23
80,2.630000e-23
85,2.360000e-23
90,2.120000e-23
95,1.920000e-23
100,1.750000e-23
