# E + Ar -> E + Ar(3d2: 3d(3/2)1), Excitation, Schwelle 14.152 eV | Puech database, Puech database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.152,0.000000e+00
14.2,1.850000e-26
14.3,1.800000e-25
14.4,5.010000e-25
14.5,9.730000e-25
14.6,1.590000e-24
14.7,2.340000e-24
14.8,3.220000e-24
14.9,4.220000e-24
15,5.330000e-24
15.1,6.560000e-24
15.2,7.879999e-24
15.3,9.310000e-24
15.4,1.080000e-23
15.5,1.240000e-23
15.6,1.410000e-23
15.7,1.590000e-23
15.8,1.770000e-23
15.9,1.960000e-23
16,2.160000e-23
16.1,2.360000e-23
16.2,2.570000e-23
16.3,2.780000e-23
16.4,3.000000e-23
16.5,3.230000e-23
16.6,3.450000e-23
16.7,3.690000e-23
16.8,3.920000e-23
16.9,4.160000e-23
17,4.400000e-23
17.1,4.650000e-23
17.2,4.900000e-23
17.3,5.150000e-23
17.4,5.400000e-23
17.5,5.659999e-23
17.6,5.920000e-23
17.7,6.170000e-23
17.8,6.440000e-23
17.9,6.700000e-23
18,6.960000e-23
18.1,7.230000e-23
18.2,7.490000e-23
18.3,7.759999e-23
18.4,8.030000e-23
18.5,8.299999e-23
18.6,8.569999e-23
18.7,8.830000e-23
18.8,9.100000e-23
18.9,9.370000e-23
19,9.640000e-23
19.1,9.909999e-23
19.2,1.020000e-22
19.3,1.050000e-22
19.4,1.070000e-22
19.5,1.100000e-22
19.6,1.130000e-22
19.7,1.150000e-22
19.8,1.180000e-22
19.9,1.210000e-22
21,1.490000e-22
22,1.740000e-22
23,1.980000e-22
24,2.200000e-22
25,2.410000e-22
26,2.600000e-22
27,2.780000e-22
28,2.940000e-22
29,3.090000e-22
30,3.230000e-22
31,3.350000e-22
32,3.470000e-22
33,3.570000e-22
34,3.670000e-22
35,3.760000e-22
36,3.840000e-22
37,3.910000e-22
38,3.980000e-22
39,4.040000e-22
40,4.090000e-22
41,4.140000e-22
42,4.190000e-22
43,4.230000e-22
44,4.260000e-22
45,4.300000e-22
55,4.470000e-22
60,4.490000e-22
65,4.470000e-22
70,4.440000e-22
75,4.400000e-22
80,4.350000e-22
85,4.290000e-22
90,4.220000e-22
95,4.160000e-22
100,4.090000e-22
