# E + Ar -> E + Ar(3p10), Excitation, Schwelle 14.461 eV | Puech database, Puech database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.461,0.000000e+00
14.5,8.500000e-26
14.6,3.000000e-25
14.7,5.070000e-25
14.8,7.050000e-25
14.9,8.950000e-25
15,1.080000e-24
15.1,1.250000e-24
15.2,1.420000e-24
15.3,1.580000e-24
15.4,1.730000e-24
15.5,1.880000e-24
15.6,2.020000e-24
15.7,2.160000e-24
15.8,2.290000e-24
15.9,2.420000e-24
16,2.540000e-24
16.1,2.650000e-24
16.2,2.760000e-24
16.3,2.870000e-24
16.4,2.970000e-24
16.5,3.060000e-24
16.6,3.160000e-24
16.7,3.240000e-24
16.8,3.330000e-24
16.9,3.410000e-24
17,3.490000e-24
17.1,3.560000e-24
17.2,3.630000e-24
17.3,3.700000e-24
17.4,3.770000e-24
17.5,3.830000e-24
17.6,3.890000e-24
17.7,3.940000e-24
17.8,4.000000e-24
17.9,4.050000e-24
18,4.100000e-24
18.1,4.140000e-24
18.2,4.190000e-24
18.3,4.230000e-24
18.4,4.270000e-24
18.5,4.310000e-24
18.6,4.340000e-24
18.7,4.380000e-24
18.8,4.410000e-24
18.9,4.440000e-24
19,4.470000e-24
19.1,4.490000e-24
19.2,4.520000e-24
19.3,4.540000e-24
19.4,4.570000e-24
19.5,4.590000e-24
19.6,4.610000e-24
19.7,4.630000e-24
19.8,4.640000e-24
19.9,4.660000e-24
21,4.770000e-24
22,4.780000e-24
23,4.740000e-24
24,4.660000e-24
25,4.550000e-24
26,4.430000e-24
27,4.300000e-24
28,4.160000e-24
29,4.020000e-24
30,3.890000e-24
31,3.750000e-24
32,3.610000e-24
33,3.480000e-24
34,3.360000e-24
35,3.230000e-24
36,3.120000e-24
37,3.000000e-24
38,2.900000e-24
39,2.790000e-24
40,2.690000e-24
41,2.600000e-24
42,2.510000e-24
43,2.420000e-24
44,2.340000e-24
45,2.260000e-24
55,1.650000e-24
60,1.420000e-24
65,1.240000e-24
70,1.090000e-24
75,9.690000e-25
80,8.640000e-25
85,7.760000e-25
90,7.000000e-25
95,6.340000e-25
100,5.780000e-25
