# E + Ar -> E + Ar(:3p3), Excitation, Schwelle 14.686 eV | Puech database, Puech database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
14.686,0.000000e+00
14.7,4.150000e-26
14.8,3.470000e-25
14.9,6.440000e-25
15,9.340000e-25
15.1,1.220000e-24
15.2,1.490000e-24
15.3,1.760000e-24
15.4,2.020000e-24
15.5,2.270000e-24
15.6,2.520000e-24
15.7,2.760000e-24
15.8,2.990000e-24
15.9,3.220000e-24
16,3.440000e-24
16.1,3.650000e-24
16.2,3.870000e-24
16.3,4.070000e-24
16.4,4.270000e-24
16.5,4.460000e-24
16.6,4.650000e-24
16.7,4.840000e-24
16.8,5.020000e-24
16.9,5.190000e-24
17,5.370000e-24
17.1,5.530000e-24
17.2,5.690000e-24
17.3,5.850000e-24
17.4,6.010000e-24
17.5,6.159999e-24
17.6,6.300000e-24
17.7,6.450000e-24
17.8,6.590000e-24
17.9,6.720000e-24
18,6.850000e-24
18.1,6.980000e-24
18.2,7.109999e-24
18.3,7.229999e-24
18.4,7.350000e-24
18.5,7.469999e-24
18.6,7.580000e-24
18.7,7.690000e-24
18.8,7.799999e-24
18.9,7.910000e-24
19,8.010000e-24
19.1,8.110000e-24
19.2,8.210000e-24
19.3,8.299999e-24
19.4,8.390000e-24
19.5,8.480000e-24
19.6,8.569999e-24
19.7,8.660000e-24
19.8,8.740000e-24
19.9,8.820000e-24
21,9.599999e-24
22,1.010000e-23
23,1.050000e-23
24,1.080000e-23
25,1.110000e-23
26,1.120000e-23
27,1.130000e-23
28,1.140000e-23
29,1.140000e-23
30,1.140000e-23
31,1.140000e-23
32,1.130000e-23
33,1.130000e-23
34,1.120000e-23
35,1.110000e-23
36,1.100000e-23
37,1.090000e-23
38,1.080000e-23
39,1.070000e-23
40,1.060000e-23
41,1.050000e-23
42,1.040000e-23
43,1.030000e-23
44,1.010000e-23
45,1.000000e-23
55,8.929999e-24
60,8.440000e-24
65,7.980000e-24
70,7.570000e-24
75,7.190000e-24
80,6.840000e-24
85,6.520000e-24
90,6.230000e-24
95,5.970000e-24
100,5.720000e-24
