# Anregung: e + Ar -> e + Ar(1S4) bei 11.624 eV, Schwelle 11.624 eV | Argon (biagi) | tabelliert
Te_eV,K_m3s
0.5,1.235425e-25
0.55,1.015164e-24
0.6,5.888342e-24
0.65,2.613204e-23
0.7,9.398228e-23
0.75,2.856942e-22
0.8,7.575996e-22
0.85,1.795245e-21
0.9,3.873296e-21
0.95,7.721810e-21
1,1.439331e-20
1.05,2.532496e-20
1.1,4.239071e-20
1.15,6.793980e-20
1.2,1.048191e-19
1.25,1.563787e-19
1.3,2.264607e-19
1.35,3.193734e-19
1.4,4.398516e-19
1.45,5.930075e-19
1.5,7.842722e-19
1.55,1.019333e-18
1.6,1.304067e-18
1.65,1.644474e-18
1.7,2.046610e-18
1.75,2.516524e-18
1.8,3.060197e-18
1.85,3.683491e-18
1.9,4.392091e-18
1.95,5.191469e-18
2,6.086841e-18
2.05,7.083135e-18
2.1,8.184967e-18
2.15,9.396614e-18
2.2,1.072201e-17
2.25,1.216471e-17
2.3,1.372793e-17
2.35,1.541448e-17
2.4,1.722684e-17
2.45,1.916708e-17
2.5,2.123695e-17
2.55,2.343784e-17
2.6,2.577079e-17
2.65,2.823653e-17
2.7,3.083548e-17
2.75,3.356775e-17
2.8,3.643319e-17
2.85,3.943137e-17
2.9,4.256164e-17
2.95,4.582309e-17
3,4.921461e-17
3.05,5.273489e-17
3.1,5.638246e-17
3.15,6.015564e-17
3.2,6.405265e-17
3.25,6.807155e-17
3.3,7.221026e-17
3.35,7.646662e-17
3.4,8.083838e-17
3.45,8.532316e-17
3.5,8.991857e-17
3.55,9.462210e-17
3.6,9.943123e-17
3.65,1.043434e-16
3.7,1.093559e-16
3.75,1.144662e-16
3.8,1.196717e-16
3.85,1.249695e-16
3.9,1.303571e-16
3.95,1.358318e-16
4,1.413909e-16
4.05,1.470318e-16
4.1,1.527518e-16
4.15,1.585483e-16
4.2,1.644187e-16
4.25,1.703604e-16
4.3,1.763708e-16
4.35,1.824476e-16
4.4,1.885881e-16
4.45,1.947900e-16
4.5,2.010508e-16
4.55,2.073682e-16
4.6,2.137398e-16
4.65,2.201634e-16
4.7,2.266367e-16
4.75,2.331576e-16
4.8,2.397238e-16
4.85,2.463334e-16
4.9,2.529841e-16
4.95,2.596741e-16
5,2.664012e-16
5.05,2.731637e-16
5.1,2.799596e-16
5.15,2.867871e-16
5.2,2.936444e-16
5.25,3.005297e-16
5.3,3.074414e-16
5.35,3.143778e-16
5.4,3.213373e-16
5.45,3.283182e-16
5.5,3.353191e-16
5.55,3.423386e-16
5.6,3.493750e-16
5.65,3.564271e-16
5.7,3.634934e-16
5.75,3.705727e-16
5.8,3.776635e-16
5.85,3.847648e-16
5.9,3.918752e-16
5.95,3.989936e-16
6,4.061188e-16
6.05,4.132497e-16
6.1,4.203852e-16
6.15,4.275244e-16
6.2,4.346660e-16
6.25,4.418093e-16
6.3,4.489532e-16
6.35,4.560968e-16
6.4,4.632392e-16
6.45,4.703795e-16
6.5,4.775169e-16
6.55,4.846507e-16
6.6,4.917799e-16
6.65,4.989039e-16
6.7,5.060218e-16
6.75,5.131331e-16
6.8,5.202370e-16
6.85,5.273329e-16
6.9,5.344200e-16
6.95,5.414979e-16
7,5.485659e-16
7.05,5.556233e-16
7.1,5.626698e-16
7.15,5.697046e-16
7.2,5.767274e-16
7.25,5.837376e-16
7.3,5.907347e-16
7.35,5.977183e-16
7.4,6.046880e-16
7.45,6.116432e-16
7.5,6.185836e-16
7.55,6.255088e-16
7.6,6.324184e-16
7.65,6.393120e-16
7.7,6.461893e-16
7.75,6.530500e-16
7.8,6.598937e-16
7.85,6.667201e-16
7.9,6.735289e-16
7.95,6.803199e-16
8,6.870927e-16
8.05,6.938471e-16
8.1,7.005828e-16
8.15,7.072997e-16
8.2,7.139974e-16
8.25,7.206757e-16
8.3,7.273346e-16
8.35,7.339736e-16
8.4,7.405927e-16
8.45,7.471917e-16
8.5,7.537704e-16
8.55,7.603287e-16
8.6,7.668663e-16
8.65,7.733832e-16
8.7,7.798792e-16
8.75,7.863541e-16
8.8,7.928080e-16
8.85,7.992405e-16
8.9,8.056517e-16
8.95,8.120414e-16
9,8.184096e-16
9.05,8.247561e-16
9.1,8.310808e-16
9.15,8.373838e-16
9.2,8.436648e-16
9.25,8.499240e-16
9.3,8.561611e-16
9.35,8.623761e-16
9.4,8.685690e-16
9.45,8.747398e-16
9.5,8.808883e-16
9.55,8.870147e-16
9.6,8.931188e-16
9.65,8.992005e-16
9.7,9.052600e-16
9.75,9.112971e-16
9.8,9.173119e-16
9.85,9.233044e-16
9.9,9.292745e-16
9.95,9.352222e-16
10,9.411476e-16
10.05,9.470506e-16
10.1,9.529312e-16
10.15,9.587895e-16
10.2,9.646255e-16
10.25,9.704391e-16
10.3,9.762305e-16
10.35,9.819996e-16
10.4,9.877464e-16
10.45,9.934711e-16
10.5,9.991735e-16
10.55,1.004854e-15
10.6,1.010512e-15
10.65,1.016148e-15
10.7,1.021762e-15
10.75,1.027354e-15
