# Anregung: e + Ar -> e + Ar(2P1) bei 13.48 eV, Schwelle 13.48 eV | Argon (biagi) | tabelliert
Te_eV,K_m3s
0.5,7.915804e-28
0.55,9.743897e-27
0.6,7.933017e-26
0.65,4.697485e-25
0.7,2.165229e-24
0.75,8.165772e-24
0.8,2.615718e-23
0.85,7.323478e-23
0.9,1.832545e-22
0.95,4.171088e-22
1,8.758387e-22
1.05,1.716090e-21
1.1,3.167086e-21
1.15,5.548088e-21
1.2,9.285230e-21
1.25,1.492672e-20
1.3,2.315553e-20
1.35,3.479887e-20
1.4,5.083420e-20
1.45,7.239140e-20
1.5,1.007514e-19
1.55,1.373411e-19
1.6,1.837254e-19
1.65,2.415965e-19
1.7,3.127607e-19
1.75,3.991237e-19
1.8,5.026747e-19
1.85,6.254692e-19
1.9,7.696118e-19
1.95,9.372390e-19
2,1.130502e-18
2.05,1.351551e-18
2.1,1.602518e-18
2.15,1.885503e-18
2.2,2.202560e-18
2.25,2.555686e-18
2.3,2.946807e-18
2.35,3.377773e-18
2.4,3.850343e-18
2.45,4.366183e-18
2.5,4.926857e-18
2.55,5.533824e-18
2.6,6.188435e-18
2.65,6.891927e-18
2.7,7.645424e-18
2.75,8.449936e-18
2.8,9.306360e-18
2.85,1.021548e-17
2.9,1.117796e-17
2.95,1.219437e-17
3,1.326517e-17
3.05,1.439070e-17
3.1,1.557121e-17
3.15,1.680686e-17
3.2,1.809772e-17
3.25,1.944375e-17
3.3,2.084484e-17
3.35,2.230081e-17
3.4,2.381139e-17
3.45,2.537624e-17
3.5,2.699496e-17
3.55,2.866708e-17
3.6,3.039208e-17
3.65,3.216939e-17
3.7,3.399839e-17
3.75,3.587839e-17
3.8,3.780869e-17
3.85,3.978854e-17
3.9,4.181715e-17
3.95,4.389372e-17
4,4.601740e-17
4.05,4.818732e-17
4.1,5.040261e-17
4.15,5.266234e-17
4.2,5.496562e-17
4.25,5.731149e-17
4.3,5.969901e-17
4.35,6.212724e-17
4.4,6.459521e-17
4.45,6.710197e-17
4.5,6.964653e-17
4.55,7.222794e-17
4.6,7.484523e-17
4.65,7.749743e-17
4.7,8.018359e-17
4.75,8.290274e-17
4.8,8.565393e-17
4.85,8.843622e-17
4.9,9.124867e-17
4.95,9.409036e-17
5,9.696036e-17
5.05,9.985776e-17
5.1,1.027817e-16
5.15,1.057312e-16
5.2,1.087055e-16
5.25,1.117036e-16
5.3,1.147248e-16
5.35,1.177682e-16
5.4,1.208329e-16
5.45,1.239182e-16
5.5,1.270233e-16
5.55,1.301473e-16
5.6,1.332895e-16
5.65,1.364492e-16
5.7,1.396255e-16
5.75,1.428179e-16
5.8,1.460255e-16
5.85,1.492476e-16
5.9,1.524837e-16
5.95,1.557329e-16
6,1.589947e-16
6.05,1.622684e-16
6.1,1.655533e-16
6.15,1.688489e-16
6.2,1.721546e-16
6.25,1.754697e-16
6.3,1.787937e-16
6.35,1.821260e-16
6.4,1.854661e-16
6.45,1.888134e-16
6.5,1.921674e-16
6.55,1.955276e-16
