# Anregung: e + Ar -> e + Ar(3D4) bei 14.013 eV, Schwelle 14.013 eV | Argon (biagi) | tabelliert
Te_eV,K_m3s
0.5,2.882558e-28
0.55,3.837238e-27
0.6,3.324942e-26
0.65,2.070044e-25
0.7,9.937429e-25
0.75,3.874117e-24
0.8,1.275165e-23
0.85,3.650721e-23
0.9,9.303980e-23
0.95,2.149722e-22
1,4.569615e-22
1.05,9.043005e-22
1.1,1.682284e-21
1.15,2.965689e-21
1.2,4.987675e-21
1.25,8.047481e-21
1.3,1.251640e-20
1.35,1.884166e-20
1.4,2.754806e-20
1.45,3.923729e-20
1.5,5.458504e-20
1.55,7.433619e-20
1.6,9.929822e-20
1.65,1.303333e-19
1.7,1.683495e-19
1.75,2.142909e-19
1.8,2.691280e-19
1.85,3.338473e-19
1.9,4.094418e-19
1.95,4.969014e-19
2,5.972038e-19
2.05,7.113066e-19
2.1,8.401396e-19
2.15,9.845980e-19
2.2,1.145537e-18
2.25,1.323767e-18
2.3,1.520047e-18
2.35,1.735086e-18
2.4,1.969537e-18
2.45,2.223994e-18
2.5,2.498995e-18
2.55,2.795018e-18
2.6,3.112480e-18
2.65,3.451743e-18
2.7,3.813109e-18
2.75,4.196822e-18
2.8,4.603073e-18
2.85,5.031999e-18
2.9,5.483684e-18
2.95,5.958164e-18
3,6.455426e-18
3.05,6.975413e-18
3.1,7.518027e-18
3.15,8.083127e-18
3.2,8.670536e-18
3.25,9.280043e-18
3.3,9.911402e-18
3.35,1.056434e-17
3.4,1.123855e-17
3.45,1.193370e-17
3.5,1.264944e-17
3.55,1.338541e-17
3.6,1.414120e-17
3.65,1.491640e-17
3.7,1.571059e-17
3.75,1.652334e-17
3.8,1.735419e-17
3.85,1.820268e-17
3.9,1.906833e-17
3.95,1.995069e-17
4,2.084925e-17
4.05,2.176355e-17
4.1,2.269308e-17
4.15,2.363735e-17
4.2,2.459587e-17
4.25,2.556815e-17
4.3,2.655370e-17
4.35,2.755202e-17
4.4,2.856263e-17
4.45,2.958503e-17
4.5,3.061876e-17
4.55,3.166333e-17
4.6,3.271826e-17
4.65,3.378310e-17
4.7,3.485738e-17
4.75,3.594064e-17
4.8,3.703244e-17
4.85,3.813233e-17
4.9,3.923988e-17
4.95,4.035467e-17
5,4.147626e-17
5.05,4.260425e-17
5.1,4.373824e-17
5.15,4.487782e-17
5.2,4.602262e-17
5.25,4.717224e-17
5.3,4.832633e-17
5.35,4.948450e-17
5.4,5.064642e-17
