# Ionisation: e + Ar -> 2e + Ar+, Schwelle 15.7 eV | Argon (biagi_v7_1) | tabelliert
Te_eV,K_m3s
0.5,2.173049e-28
0.55,4.026934e-27
0.6,4.613901e-26
0.65,3.650639e-25
0.7,2.158721e-24
0.75,1.010961e-23
0.8,3.916353e-23
0.85,1.297477e-22
0.9,3.772614e-22
0.95,9.826540e-22
1,2.330728e-21
1.05,5.101298e-21
1.1,1.041570e-20
1.15,2.001782e-20
1.2,3.648551e-20
1.25,6.346511e-20
1.3,1.059199e-19
1.35,1.703817e-19
1.4,2.651952e-19
1.45,4.007448e-19
1.5,5.896549e-19
1.55,8.469566e-19
1.6,1.190217e-18
1.65,1.639624e-18
1.7,2.218033e-18
1.75,2.950966e-18
1.8,3.866573e-18
1.85,4.995556e-18
1.9,6.371057e-18
1.95,8.028517e-18
2,1.000551e-17
2.05,1.234156e-17
2.1,1.507795e-17
2.15,1.825746e-17
2.2,2.192422e-17
2.25,2.612343e-17
2.3,3.090115e-17
2.35,3.630411e-17
2.4,4.237943e-17
2.45,4.917446e-17
2.5,5.673658e-17
2.55,6.511298e-17
2.6,7.435051e-17
2.65,8.449548e-17
2.7,9.559356e-17
2.75,1.076896e-16
2.8,1.208274e-16
2.85,1.350500e-16
2.9,1.503988e-16
2.95,1.669145e-16
3,1.846360e-16
3.05,2.036010e-16
3.1,2.238458e-16
3.15,2.454051e-16
3.2,2.683121e-16
3.25,2.925983e-16
3.3,3.182938e-16
3.35,3.454270e-16
3.4,3.740246e-16
3.45,4.041117e-16
3.5,4.357119e-16
3.55,4.688472e-16
3.6,5.035378e-16
3.65,5.398025e-16
3.7,5.776586e-16
3.75,6.171217e-16
3.8,6.582060e-16
3.85,7.009243e-16
3.9,7.452878e-16
3.95,7.913065e-16
4,8.389889e-16
4.05,8.883422e-16
4.1,9.393724e-16
4.15,9.920842e-16
4.2,1.046481e-15
4.25,1.102565e-15
4.3,1.160338e-15
4.35,1.219800e-15
4.4,1.280950e-15
4.45,1.343786e-15
4.5,1.408305e-15
4.55,1.474504e-15
4.6,1.542377e-15
4.65,1.611920e-15
4.7,1.683126e-15
4.75,1.755988e-15
4.8,1.830499e-15
4.85,1.906650e-15
4.9,1.984431e-15
4.95,2.063834e-15
5,2.144847e-15
5.05,2.227461e-15
5.1,2.311663e-15
5.15,2.397443e-15
5.2,2.484787e-15
5.25,2.573682e-15
5.3,2.664117e-15
5.35,2.756076e-15
5.4,2.849547e-15
5.45,2.944515e-15
5.5,3.040966e-15
5.55,3.138884e-15
5.6,3.238255e-15
5.65,3.339064e-15
5.7,3.441295e-15
5.75,3.544932e-15
5.8,3.649959e-15
5.85,3.756361e-15
5.9,3.864122e-15
5.95,3.973225e-15
6,4.083653e-15
6.05,4.195390e-15
6.1,4.308420e-15
6.15,4.422727e-15
6.2,4.538292e-15
6.25,4.655101e-15
6.3,4.773135e-15
6.35,4.892379e-15
6.4,5.012815e-15
6.45,5.134427e-15
6.5,5.257198e-15
6.55,5.381111e-15
6.6,5.506150e-15
6.65,5.632299e-15
6.7,5.759540e-15
6.75,5.887857e-15
6.8,6.017233e-15
6.85,6.147653e-15
6.9,6.279101e-15
6.95,6.411559e-15
7,6.545011e-15
7.05,6.679443e-15
7.1,6.814837e-15
7.15,6.951179e-15
7.2,7.088452e-15
7.25,7.226641e-15
7.3,7.365730e-15
7.35,7.505705e-15
7.4,7.646549e-15
7.45,7.788248e-15
7.5,7.930787e-15
7.55,8.074151e-15
7.6,8.218326e-15
7.65,8.363296e-15
7.7,8.509048e-15
7.75,8.655568e-15
7.8,8.802840e-15
7.85,8.950851e-15
7.9,9.099588e-15
7.95,9.249036e-15
