# Anregung: e + Ar -> e + Ar(3d[7/2]3) bei 14.165 eV, Schwelle 14.165 eV | Argon (bsr) | tabelliert
Te_eV,K_m3s
0.5,1.536025e-28
0.55,1.984679e-27
0.6,1.673971e-26
0.65,1.017125e-25
0.7,4.776738e-25
0.75,1.825665e-24
0.8,5.902524e-24
0.85,1.662716e-23
0.9,4.175818e-23
0.95,9.521017e-23
1,1.999591e-22
1.05,3.913916e-22
1.1,7.208799e-22
1.15,1.259326e-21
1.2,2.100419e-21
1.25,3.363373e-21
1.3,5.194984e-21
1.35,7.770868e-21
1.4,1.129585e-20
1.45,1.600352e-20
1.5,2.215496e-20
1.55,3.003679e-20
1.6,3.995861e-20
1.65,5.224999e-20
1.7,6.725707e-20
1.75,8.533901e-20
1.8,1.068643e-19
1.85,1.322069e-19
1.9,1.617429e-19
1.95,1.958469e-19
2,2.348886e-19
2.05,2.792302e-19
2.1,3.292232e-19
2.15,3.852062e-19
2.2,4.475030e-19
2.25,5.164202e-19
2.3,5.922463e-19
2.35,6.752502e-19
2.4,7.656802e-19
2.45,8.637633e-19
2.5,9.697050e-19
2.55,1.083689e-18
2.6,1.205877e-18
2.65,1.336408e-18
2.7,1.475401e-18
2.75,1.622953e-18
2.8,1.779141e-18
2.85,1.944021e-18
2.9,2.117631e-18
2.95,2.299990e-18
3,2.491099e-18
3.05,2.690943e-18
3.1,2.899490e-18
3.15,3.116695e-18
3.2,3.342496e-18
3.25,3.576820e-18
3.3,3.819582e-18
3.35,4.070683e-18
3.4,4.330017e-18
3.45,4.597466e-18
3.5,4.872902e-18
3.55,5.156193e-18
3.6,5.447196e-18
3.65,5.745764e-18
3.7,6.051741e-18
3.75,6.364969e-18
3.8,6.685284e-18
3.85,7.012518e-18
3.9,7.346500e-18
3.95,7.687056e-18
4,8.034010e-18
4.05,8.387184e-18
4.1,8.746398e-18
4.15,9.111472e-18
4.2,9.482226e-18
4.25,9.858478e-18
4.3,1.024005e-17
4.35,1.062675e-17
4.4,1.101841e-17
4.45,1.141485e-17
4.5,1.181589e-17
4.55,1.222136e-17
4.6,1.263107e-17
4.65,1.304486e-17
4.7,1.346256e-17
4.75,1.388399e-17
4.8,1.430900e-17
4.85,1.473741e-17
4.9,1.516907e-17
4.95,1.560382e-17
5,1.604151e-17
5.05,1.648197e-17
5.1,1.692506e-17
5.15,1.737064e-17
5.2,1.781855e-17
5.25,1.826866e-17
5.3,1.872082e-17
5.35,1.917491e-17
5.4,1.963079e-17
5.45,2.008832e-17
5.5,2.054740e-17
5.55,2.100788e-17
5.6,2.146965e-17
5.65,2.193260e-17
5.7,2.239660e-17
5.75,2.286155e-17
5.8,2.332734e-17
5.85,2.379386e-17
5.9,2.426102e-17
5.95,2.472870e-17
6,2.519681e-17
6.05,2.566526e-17
6.1,2.613396e-17
6.15,2.660281e-17
6.2,2.707174e-17
6.25,2.754065e-17
6.3,2.800947e-17
6.35,2.847811e-17
6.4,2.894651e-17
6.45,2.941458e-17
6.5,2.988225e-17
6.55,3.034946e-17
6.6,3.081614e-17
6.65,3.128222e-17
6.7,3.174764e-17
6.75,3.221234e-17
6.8,3.267626e-17
6.85,3.313934e-17
6.9,3.360154e-17
6.95,3.406279e-17
7,3.452305e-17
7.05,3.498227e-17
7.1,3.544040e-17
7.15,3.589739e-17
7.2,3.635321e-17
7.25,3.680781e-17
7.3,3.726114e-17
7.35,3.771318e-17
7.4,3.816388e-17
7.45,3.861321e-17
7.5,3.906113e-17
7.55,3.950762e-17
7.6,3.995263e-17
7.65,4.039615e-17
7.7,4.083813e-17
7.75,4.127856e-17
7.8,4.171741e-17
7.85,4.215465e-17
7.9,4.259026e-17
7.95,4.302421e-17
8,4.345649e-17
8.05,4.388708e-17
8.1,4.431594e-17
8.15,4.474308e-17
8.2,4.516846e-17
8.25,4.559207e-17
8.3,4.601390e-17
8.35,4.643393e-17
8.4,4.685216e-17
8.45,4.726855e-17
8.5,4.768311e-17
8.55,4.809582e-17
8.6,4.850667e-17
8.65,4.891565e-17
8.7,4.932276e-17
8.75,4.972797e-17
8.8,5.013130e-17
8.85,5.053272e-17
8.9,5.093224e-17
8.95,5.132984e-17
9,5.172552e-17
9.05,5.211928e-17
9.1,5.251111e-17
9.15,5.290101e-17
9.2,5.328898e-17
9.25,5.367501e-17
9.3,5.405910e-17
9.35,5.444125e-17
9.4,5.482146e-17
9.45,5.519973e-17
9.5,5.557606e-17
9.55,5.595044e-17
9.6,5.632288e-17
9.65,5.669339e-17
9.7,5.706195e-17
9.75,5.742857e-17
9.8,5.779326e-17
9.85,5.815601e-17
9.9,5.851683e-17
9.95,5.887573e-17
10,5.923270e-17
10.05,5.958775e-17
10.1,5.994088e-17
10.15,6.029209e-17
10.2,6.064140e-17
10.25,6.098880e-17
10.3,6.133430e-17
10.35,6.167791e-17
10.4,6.201962e-17
10.45,6.235946e-17
10.5,6.269741e-17
10.55,6.303348e-17
10.6,6.336769e-17
10.65,6.370004e-17
10.7,6.403053e-17
10.75,6.435918e-17
10.8,6.468598e-17
10.85,6.501094e-17
10.9,6.533408e-17
10.95,6.565539e-17
11,6.597489e-17
11.05,6.629258e-17
11.1,6.660847e-17
11.15,6.692257e-17
11.2,6.723488e-17
11.25,6.754542e-17
11.3,6.785418e-17
11.35,6.816118e-17
11.4,6.846643e-17
11.45,6.876993e-17
11.5,6.907169e-17
11.55,6.937172e-17
11.6,6.967003e-17
11.65,6.996662e-17
