# Anregung: e + Ar -> e + Ar(4p[5/2]3) bei 13.204 eV, Schwelle 13.204 eV | Argon (bsr) | tabelliert
Te_eV,K_m3s
0.5,2.332022e-27
0.55,2.502431e-26
0.6,1.807325e-25
0.65,9.628800e-25
0.7,4.040007e-24
0.75,1.400488e-23
0.8,4.157743e-23
0.85,1.086497e-22
0.9,2.552980e-22
0.95,5.485467e-22
1,1.092349e-21
1.05,2.038029e-21
1.1,3.594333e-21
1.15,6.036294e-21
1.2,9.712240e-21
1.25,1.504848e-20
1.3,2.255142e-20
1.35,3.280707e-20
1.4,4.647806e-20
1.45,6.429842e-20
1.5,8.706649e-20
1.55,1.156364e-19
1.6,1.509081e-19
1.65,1.938176e-19
1.7,2.453257e-19
1.75,3.064073e-19
1.8,3.780413e-19
1.85,4.612005e-19
1.9,5.568419e-19
1.95,6.658984e-19
2,7.892713e-19
2.05,9.278230e-19
2.1,1.082372e-18
2.15,1.253685e-18
2.2,1.442479e-18
2.25,1.649411e-18
2.3,1.875079e-18
2.35,2.120023e-18
2.4,2.384717e-18
2.45,2.669576e-18
2.5,2.974953e-18
2.55,3.301137e-18
2.6,3.648358e-18
2.65,4.016790e-18
2.7,4.406547e-18
2.75,4.817690e-18
2.8,5.250225e-18
2.85,5.704110e-18
2.9,6.179256e-18
2.95,6.675528e-18
3,7.192747e-18
3.05,7.730698e-18
3.1,8.289126e-18
3.15,8.867745e-18
3.2,9.466235e-18
3.25,1.008425e-17
3.3,1.072141e-17
3.35,1.137732e-17
3.4,1.205156e-17
3.45,1.274370e-17
3.5,1.345327e-17
3.55,1.417981e-17
3.6,1.492283e-17
3.65,1.568184e-17
3.7,1.645633e-17
3.75,1.724580e-17
3.8,1.804973e-17
3.85,1.886759e-17
3.9,1.969886e-17
3.95,2.054302e-17
4,2.139954e-17
4.05,2.226789e-17
4.1,2.314755e-17
4.15,2.403800e-17
4.2,2.493872e-17
4.25,2.584919e-17
4.3,2.676890e-17
4.35,2.769736e-17
4.4,2.863407e-17
4.45,2.957853e-17
4.5,3.053026e-17
4.55,3.148879e-17
4.6,3.245364e-17
4.65,3.342437e-17
4.7,3.440052e-17
4.75,3.538164e-17
4.8,3.636731e-17
4.85,3.735711e-17
4.9,3.835061e-17
4.95,3.934742e-17
5,4.034715e-17
5.05,4.134940e-17
5.1,4.235381e-17
5.15,4.336000e-17
5.2,4.436763e-17
5.25,4.537635e-17
5.3,4.638582e-17
5.35,4.739571e-17
5.4,4.840572e-17
5.45,4.941553e-17
5.5,5.042484e-17
5.55,5.143338e-17
5.6,5.244085e-17
5.65,5.344699e-17
5.7,5.445154e-17
5.75,5.545424e-17
5.8,5.645486e-17
5.85,5.745315e-17
5.9,5.844889e-17
5.95,5.944186e-17
6,6.043186e-17
6.05,6.141867e-17
6.1,6.240210e-17
6.15,6.338196e-17
6.2,6.435808e-17
6.25,6.533028e-17
6.3,6.629840e-17
6.35,6.726227e-17
6.4,6.822174e-17
6.45,6.917667e-17
6.5,7.012692e-17
6.55,7.107236e-17
6.6,7.201285e-17
6.65,7.294828e-17
6.7,7.387852e-17
6.75,7.480348e-17
6.8,7.572305e-17
6.85,7.663712e-17
6.9,7.754560e-17
6.95,7.844841e-17
7,7.934545e-17
7.05,8.023665e-17
7.1,8.112194e-17
7.15,8.200125e-17
7.2,8.287449e-17
7.25,8.374163e-17
7.3,8.460259e-17
7.35,8.545733e-17
7.4,8.630578e-17
7.45,8.714792e-17
7.5,8.798368e-17
7.55,8.881304e-17
7.6,8.963596e-17
7.65,9.045240e-17
7.7,9.126233e-17
7.75,9.206573e-17
7.8,9.286257e-17
7.85,9.365283e-17
7.9,9.443650e-17
7.95,9.521355e-17
8,9.598398e-17
8.05,9.674777e-17
8.1,9.750491e-17
8.15,9.825540e-17
8.2,9.899923e-17
8.25,9.973640e-17
8.3,1.004669e-16
8.35,1.011908e-16
8.4,1.019080e-16
8.45,1.026185e-16
8.5,1.033225e-16
8.55,1.040197e-16
8.6,1.047104e-16
8.65,1.053945e-16
8.7,1.060719e-16
8.75,1.067428e-16
8.8,1.074071e-16
8.85,1.080649e-16
8.9,1.087162e-16
8.95,1.093609e-16
9,1.099992e-16
9.05,1.106310e-16
9.1,1.112563e-16
9.15,1.118753e-16
9.2,1.124878e-16
9.25,1.130940e-16
9.3,1.136939e-16
9.35,1.142874e-16
9.4,1.148747e-16
9.45,1.154557e-16
9.5,1.160306e-16
9.55,1.165992e-16
9.6,1.171616e-16
9.65,1.177180e-16
9.7,1.182682e-16
9.75,1.188124e-16
9.8,1.193506e-16
9.85,1.198828e-16
9.9,1.204090e-16
9.95,1.209293e-16
10,1.214438e-16
10.05,1.219524e-16
10.1,1.224551e-16
10.15,1.229521e-16
10.2,1.234434e-16
10.25,1.239290e-16
10.3,1.244089e-16
10.35,1.248831e-16
10.4,1.253518e-16
10.45,1.258150e-16
10.5,1.262726e-16
10.55,1.267248e-16
10.6,1.271715e-16
10.65,1.276128e-16
10.7,1.280488e-16
10.75,1.284795e-16
10.8,1.289048e-16
10.85,1.293250e-16
10.9,1.297399e-16
10.95,1.301497e-16
11,1.305544e-16
11.05,1.309540e-16
11.1,1.313485e-16
11.15,1.317381e-16
11.2,1.321226e-16
11.25,1.325023e-16
11.3,1.328770e-16
11.35,1.332470e-16
11.4,1.336121e-16
11.45,1.339724e-16
11.5,1.343280e-16
11.55,1.346789e-16
11.6,1.350252e-16
11.65,1.353668e-16
11.7,1.357039e-16
11.75,1.360365e-16
11.8,1.363645e-16
11.85,1.366881e-16
11.9,1.370072e-16
11.95,1.373220e-16
12,1.376324e-16
12.05,1.379385e-16
12.1,1.382403e-16
12.15,1.385379e-16
12.2,1.388313e-16
12.25,1.391205e-16
12.3,1.394056e-16
12.35,1.396866e-16
12.4,1.399636e-16
12.45,1.402365e-16
12.5,1.405054e-16
12.55,1.407704e-16
12.6,1.410315e-16
12.65,1.412887e-16
12.7,1.415421e-16
12.75,1.417916e-16
12.8,1.420374e-16
12.85,1.422795e-16
12.9,1.425178e-16
12.95,1.427525e-16
13,1.429835e-16
13.05,1.432109e-16
13.1,1.434348e-16
13.15,1.436551e-16
13.2,1.438719e-16
13.25,1.440853e-16
13.3,1.442952e-16
13.35,1.445017e-16
13.4,1.447048e-16
13.45,1.449046e-16
13.5,1.451010e-16
13.55,1.452942e-16
13.6,1.454842e-16
13.65,1.456709e-16
13.7,1.458544e-16
13.75,1.460348e-16
13.8,1.462120e-16
13.85,1.463861e-16
13.9,1.465572e-16
13.95,1.467252e-16
14,1.468902e-16
14.05,1.470523e-16
14.1,1.472113e-16
14.15,1.473675e-16
14.2,1.475207e-16
14.25,1.476711e-16
14.3,1.478187e-16
14.35,1.479634e-16
14.4,1.481054e-16
14.45,1.482446e-16
14.5,1.483810e-16
14.55,1.485148e-16
14.6,1.486458e-16
14.65,1.487743e-16
14.7,1.489000e-16
14.75,1.490232e-16
14.8,1.491439e-16
14.85,1.492619e-16
14.9,1.493775e-16
14.95,1.494905e-16
15,1.496011e-16
15.05,1.497092e-16
15.1,1.498149e-16
15.15,1.499182e-16
15.2,1.500191e-16
15.25,1.501176e-16
15.3,1.502139e-16
15.35,1.503078e-16
15.4,1.503994e-16
15.45,1.504888e-16
15.5,1.505759e-16
15.55,1.506608e-16
15.6,1.507436e-16
15.65,1.508241e-16
15.7,1.509025e-16
15.75,1.509788e-16
15.8,1.510529e-16
15.85,1.511250e-16
15.9,1.511950e-16
15.95,1.512630e-16
16,1.513289e-16
16.05,1.513928e-16
16.1,1.514548e-16
16.15,1.515148e-16
16.2,1.515728e-16
16.25,1.516290e-16
16.3,1.516832e-16
16.35,1.517355e-16
16.4,1.517860e-16
16.45,1.518346e-16
16.5,1.518814e-16
16.55,1.519264e-16
16.6,1.519696e-16
16.65,1.520111e-16
16.7,1.520508e-16
16.75,1.520887e-16
16.8,1.521249e-16
16.85,1.521595e-16
16.9,1.521923e-16
16.95,1.522235e-16
17,1.522530e-16
17.05,1.522809e-16
17.1,1.523072e-16
17.15,1.523319e-16
17.2,1.523550e-16
17.25,1.523766e-16
17.3,1.523966e-16
17.35,1.524151e-16
17.4,1.524320e-16
17.45,1.524475e-16
17.5,1.524615e-16
17.55,1.524740e-16
17.6,1.524850e-16
17.65,1.524947e-16
17.7,1.525029e-16
17.75,1.525096e-16
17.8,1.525150e-16
17.85,1.525190e-16
17.9,1.525217e-16
17.95,1.525230e-16
18,1.525230e-16
18.05,1.525216e-16
18.1,1.525190e-16
18.15,1.525150e-16
18.2,1.525098e-16
18.25,1.525033e-16
18.3,1.524955e-16
18.35,1.524865e-16
18.4,1.524763e-16
18.45,1.524649e-16
18.5,1.524522e-16
18.55,1.524384e-16
18.6,1.524234e-16
18.65,1.524073e-16
18.7,1.523900e-16
18.75,1.523715e-16
18.8,1.523520e-16
18.85,1.523313e-16
18.9,1.523095e-16
18.95,1.522866e-16
19,1.522627e-16
19.05,1.522377e-16
19.1,1.522116e-16
19.15,1.521845e-16
19.2,1.521563e-16
19.25,1.521272e-16
19.3,1.520970e-16
19.35,1.520658e-16
19.4,1.520337e-16
19.45,1.520005e-16
19.5,1.519664e-16
19.55,1.519314e-16
19.6,1.518954e-16
19.65,1.518584e-16
19.7,1.518206e-16
19.75,1.517818e-16
19.8,1.517421e-16
19.85,1.517015e-16
19.9,1.516601e-16
19.95,1.516177e-16
20,1.515745e-16
