# Anregung: e + Ar -> e + Ar(4s'[1/2]1) bei 11.828 eV, Schwelle 11.828 eV | Argon (bsr) | tabelliert
Te_eV,K_m3s
0.5,1.029203e-25
0.55,8.982744e-25
0.6,5.483068e-24
0.65,2.541434e-23
0.7,9.486655e-23
0.75,2.977577e-22
0.8,8.116836e-22
0.85,1.969877e-21
0.9,4.338986e-21
0.95,8.807306e-21
1,1.667606e-20
1.05,2.974566e-20
1.1,5.038966e-20
1.15,8.161052e-20
1.2,1.270738e-19
1.25,1.911188e-19
1.3,2.787471e-19
1.35,3.955891e-19
1.4,5.478537e-19
1.45,7.422629e-19
1.5,9.859760e-19
1.55,1.286507e-18
1.6,1.651637e-18
1.65,2.089331e-18
1.7,2.607646e-18
1.75,3.214658e-18
1.8,3.918380e-18
1.85,4.726695e-18
1.9,5.647295e-18
1.95,6.687624e-18
2,7.854835e-18
2.05,9.155747e-18
2.1,1.059681e-17
2.15,1.218410e-17
2.2,1.392327e-17
2.25,1.581955e-17
2.3,1.787776e-17
2.35,2.010227e-17
2.4,2.249703e-17
2.45,2.506556e-17
2.5,2.781097e-17
2.55,3.073596e-17
2.6,3.384283e-17
2.65,3.713352e-17
2.7,4.060957e-17
2.75,4.427221e-17
2.8,4.812233e-17
2.85,5.216049e-17
2.9,5.638698e-17
2.95,6.080179e-17
3,6.540468e-17
3.05,7.019514e-17
3.1,7.517245e-17
3.15,8.033569e-17
3.2,8.568373e-17
3.25,9.121528e-17
3.3,9.692888e-17
3.35,1.028229e-16
3.4,1.088957e-16
3.45,1.151453e-16
3.5,1.215698e-16
3.55,1.281671e-16
3.6,1.349351e-16
3.65,1.418716e-16
3.7,1.489741e-16
3.75,1.562405e-16
3.8,1.636683e-16
3.85,1.712550e-16
3.9,1.789982e-16
3.95,1.868953e-16
4,1.949438e-16
4.05,2.031412e-16
4.1,2.114849e-16
4.15,2.199723e-16
4.2,2.286008e-16
4.25,2.373678e-16
4.3,2.462709e-16
4.35,2.553074e-16
4.4,2.644747e-16
4.45,2.737703e-16
4.5,2.831917e-16
4.55,2.927364e-16
4.6,3.024018e-16
4.65,3.121856e-16
4.7,3.220852e-16
4.75,3.320982e-16
4.8,3.422223e-16
4.85,3.524550e-16
4.9,3.627941e-16
4.95,3.732371e-16
5,3.837819e-16
5.05,3.944261e-16
5.1,4.051676e-16
5.15,4.160041e-16
5.2,4.269336e-16
5.25,4.379538e-16
5.3,4.490626e-16
5.35,4.602580e-16
5.4,4.715381e-16
5.45,4.829006e-16
5.5,4.943438e-16
5.55,5.058657e-16
5.6,5.174643e-16
5.65,5.291378e-16
5.7,5.408844e-16
5.75,5.527022e-16
5.8,5.645895e-16
5.85,5.765446e-16
5.9,5.885656e-16
5.95,6.006511e-16
6,6.127992e-16
6.05,6.250083e-16
6.1,6.372770e-16
6.15,6.496036e-16
6.2,6.619865e-16
6.25,6.744244e-16
6.3,6.869157e-16
6.35,6.994589e-16
6.4,7.120527e-16
6.45,7.246957e-16
6.5,7.373865e-16
6.55,7.501237e-16
6.6,7.629061e-16
6.65,7.757323e-16
6.7,7.886012e-16
6.75,8.015114e-16
6.8,8.144617e-16
6.85,8.274511e-16
6.9,8.404782e-16
6.95,8.535421e-16
7,8.666414e-16
7.05,8.797753e-16
7.1,8.929425e-16
7.15,9.061420e-16
7.2,9.193729e-16
7.25,9.326341e-16
7.3,9.459245e-16
7.35,9.592434e-16
7.4,9.725896e-16
