# Anregung: e + Ar -> e + Ar(5s[3/2]2) bei 14.164 eV, Schwelle 14.164 eV | Argon (bsr) | tabelliert
Te_eV,K_m3s
0.5,1.794947e-28
0.55,2.337481e-27
0.6,1.986981e-26
0.65,1.216849e-25
0.7,5.760386e-25
0.75,2.219385e-24
0.8,7.233623e-24
0.85,2.054163e-23
0.9,5.200257e-23
0.95,1.195027e-22
1,2.529128e-22
1.05,4.987499e-22
1.1,9.252691e-22
1.15,1.627639e-21
1.2,2.732834e-21
1.25,4.403892e-21
1.3,6.843263e-21
1.35,1.029502e-20
1.4,1.504586e-20
1.45,2.142476e-20
1.5,2.980149e-20
1.55,4.058394e-20
1.6,5.421449e-20
1.65,7.116558e-20
1.7,9.193465e-20
1.75,1.170387e-19
1.8,1.470086e-19
1.85,1.823833e-19
1.9,2.237040e-19
1.95,2.715092e-19
2,3.263286e-19
2.05,3.886791e-19
2.1,4.590602e-19
2.15,5.379498e-19
2.2,6.258014e-19
2.25,7.230404e-19
2.3,8.300625e-19
2.35,9.472314e-19
2.4,1.074877e-18
2.45,1.213296e-18
2.5,1.362747e-18
2.55,1.523458e-18
2.6,1.695617e-18
2.65,1.879380e-18
2.7,2.074868e-18
2.75,2.282168e-18
2.8,2.501334e-18
2.85,2.732391e-18
2.9,2.975331e-18
2.95,3.230120e-18
3,3.496695e-18
3.05,3.774968e-18
3.1,4.064828e-18
3.15,4.366140e-18
3.2,4.678749e-18
3.25,5.002480e-18
3.3,5.337142e-18
3.35,5.682525e-18
3.4,6.038406e-18
3.45,6.404549e-18
3.5,6.780706e-18
3.55,7.166617e-18
3.6,7.562016e-18
3.65,7.966625e-18
3.7,8.380162e-18
3.75,8.802338e-18
3.8,9.232860e-18
3.85,9.671431e-18
3.9,1.011775e-17
3.95,1.057152e-17
4,1.103243e-17
4.05,1.150018e-17
4.1,1.197447e-17
4.15,1.245499e-17
4.2,1.294145e-17
4.25,1.343354e-17
4.3,1.393097e-17
4.35,1.443345e-17
4.4,1.494068e-17
4.45,1.545239e-17
4.5,1.596829e-17
4.55,1.648809e-17
4.6,1.701154e-17
4.65,1.753835e-17
4.7,1.806827e-17
4.75,1.860104e-17
4.8,1.913641e-17
4.85,1.967413e-17
4.9,2.021396e-17
4.95,2.075566e-17
5,2.129900e-17
5.05,2.184376e-17
5.1,2.238973e-17
5.15,2.293668e-17
5.2,2.348442e-17
