# Ionisation: e + Ar -> 2e + Ar+, Schwelle 15.76 eV | Argon (bsr) | tabelliert
Te_eV,K_m3s
0.5,1.933539e-29
0.55,4.602850e-28
0.6,6.442822e-27
0.65,5.999576e-26
0.7,4.058737e-25
0.75,2.127518e-24
0.8,9.068174e-24
0.85,3.260799e-23
0.9,1.017892e-22
0.95,2.821208e-22
1,7.068620e-22
1.05,1.624461e-21
1.1,3.465054e-21
1.15,6.927594e-21
1.2,1.308753e-20
1.25,2.352314e-20
1.3,4.045717e-20
1.35,6.690893e-20
1.4,1.068514e-19
1.45,1.653675e-19
1.5,2.487995e-19
1.55,3.648866e-19
1.6,5.228854e-19
1.65,7.336702e-19
1.7,1.009810e-18
1.75,1.365619e-18
1.8,1.817185e-18
1.85,2.382368e-18
1.9,3.080774e-18
1.95,3.933707e-18
2,4.964102e-18
2.05,6.196429e-18
2.1,7.656591e-18
2.15,9.371803e-18
2.2,1.137046e-17
2.25,1.368198e-17
2.3,1.633671e-17
2.35,1.936568e-17
2.4,2.280057e-17
2.45,2.667344e-17
2.5,3.101669e-17
2.55,3.586282e-17
2.6,4.124436e-17
2.65,4.719371e-17
2.7,5.374299e-17
2.75,6.092400e-17
2.8,6.876800e-17
2.85,7.730572e-17
2.9,8.656719e-17
2.95,9.658171e-17
3,1.073777e-16
3.05,1.189828e-16
3.1,1.314237e-16
3.15,1.447258e-16
3.2,1.589140e-16
3.25,1.740117e-16
3.3,1.900414e-16
3.35,2.070245e-16
3.4,2.249813e-16
3.45,2.439307e-16
3.5,2.638910e-16
3.55,2.848789e-16
3.6,3.069103e-16
3.65,3.299998e-16
3.7,3.541610e-16
3.75,3.794065e-16
3.8,4.057476e-16
3.85,4.331949e-16
3.9,4.617577e-16
3.95,4.914446e-16
4,5.222630e-16
4.05,5.542195e-16
4.1,5.873199e-16
4.15,6.215688e-16
4.2,6.569704e-16
4.25,6.935277e-16
4.3,7.312432e-16
4.35,7.701185e-16
4.4,8.101546e-16
4.45,8.513517e-16
4.5,8.937094e-16
4.55,9.372266e-16
4.6,9.819018e-16
4.65,1.027733e-15
4.7,1.074716e-15
4.75,1.122850e-15
4.8,1.172129e-15
4.85,1.222550e-15
4.9,1.274108e-15
4.95,1.326798e-15
5,1.380614e-15
5.05,1.435550e-15
5.1,1.491601e-15
5.15,1.548759e-15
5.2,1.607019e-15
5.25,1.666371e-15
5.3,1.726811e-15
5.35,1.788328e-15
5.4,1.850916e-15
5.45,1.914567e-15
5.5,1.979271e-15
5.55,2.045021e-15
5.6,2.111808e-15
5.65,2.179622e-15
5.7,2.248456e-15
5.75,2.318299e-15
5.8,2.389142e-15
5.85,2.460976e-15
5.9,2.533792e-15
5.95,2.607579e-15
6,2.682329e-15
6.05,2.758031e-15
6.1,2.834675e-15
6.15,2.912252e-15
6.2,2.990751e-15
6.25,3.070163e-15
6.3,3.150478e-15
6.35,3.231686e-15
6.4,3.313776e-15
6.45,3.396739e-15
6.5,3.480565e-15
6.55,3.565243e-15
6.6,3.650763e-15
6.65,3.737116e-15
6.7,3.824292e-15
6.75,3.912280e-15
6.8,4.001071e-15
6.85,4.090654e-15
6.9,4.181021e-15
6.95,4.272160e-15
7,4.364062e-15
7.05,4.456718e-15
7.1,4.550117e-15
7.15,4.644251e-15
7.2,4.739109e-15
7.25,4.834681e-15
7.3,4.930959e-15
7.35,5.027933e-15
7.4,5.125594e-15
7.45,5.223932e-15
7.5,5.322938e-15
7.55,5.422603e-15
7.6,5.522918e-15
7.65,5.623873e-15
7.7,5.725460e-15
7.75,5.827671e-15
7.8,5.930495e-15
7.85,6.033925e-15
7.9,6.137951e-15
7.95,6.242566e-15
8,6.347760e-15
8.05,6.453526e-15
8.1,6.559854e-15
8.15,6.666737e-15
8.2,6.774167e-15
8.25,6.882135e-15
8.3,6.990633e-15
8.35,7.099653e-15
8.4,7.209188e-15
8.45,7.319229e-15
8.5,7.429770e-15
8.55,7.540801e-15
8.6,7.652317e-15
8.65,7.764308e-15
8.7,7.876769e-15
8.75,7.989691e-15
8.8,8.103067e-15
8.85,8.216890e-15
8.9,8.331153e-15
8.95,8.445850e-15
9,8.560972e-15
9.05,8.676514e-15
9.1,8.792468e-15
9.15,8.908827e-15
9.2,9.025586e-15
9.25,9.142737e-15
9.3,9.260274e-15
9.35,9.378191e-15
9.4,9.496482e-15
9.45,9.615139e-15
9.5,9.734157e-15
9.55,9.853529e-15
9.6,9.973251e-15
9.65,1.009331e-14
9.7,1.021372e-14
9.75,1.033445e-14
9.8,1.045550e-14
9.85,1.057688e-14
9.9,1.069857e-14
9.95,1.082057e-14
10,1.094287e-14
10.05,1.106547e-14
10.1,1.118836e-14
10.15,1.131153e-14
10.2,1.143499e-14
