# Anregung: e + Ar -> e + Ar(exc_10) bei 13.3 eV, Schwelle 13.3 eV | Argon (hayashi) | tabelliert
Te_eV,K_m3s
0.5,3.822171e-28
0.55,4.643644e-27
0.6,3.733807e-26
0.65,2.184939e-25
0.7,9.958834e-25
0.75,3.716291e-24
0.8,1.178693e-23
0.85,3.269838e-23
0.9,8.112852e-23
0.95,1.832282e-22
1,3.820342e-22
1.05,7.437997e-22
1.1,1.364907e-21
1.15,2.378952e-21
1.2,3.963578e-21
1.25,6.346635e-21
1.3,9.811346e-21
1.35,1.470020e-20
1.4,2.141740e-20
1.45,3.042985e-20
1.5,4.226655e-20
1.55,5.751664e-20
1.6,7.682611e-20
1.65,1.008934e-19
1.7,1.304639e-19
1.75,1.663241e-19
1.8,2.092947e-19
1.85,2.602239e-19
1.9,3.199798e-19
1.95,3.894439e-19
2,4.695033e-19
2.05,5.610449e-19
2.1,6.649479e-19
2.15,7.820789e-19
2.2,9.132856e-19
2.25,1.059392e-18
2.3,1.221195e-18
2.35,1.399459e-18
2.4,1.594913e-18
2.45,1.808248e-18
2.5,2.040114e-18
2.55,2.291121e-18
2.6,2.561834e-18
2.65,2.852773e-18
2.7,3.164414e-18
2.75,3.497188e-18
2.8,3.851480e-18
2.85,4.227629e-18
2.9,4.625934e-18
2.95,5.046646e-18
3,5.489976e-18
3.05,5.956095e-18
3.1,6.445131e-18
3.15,6.957177e-18
3.2,7.492286e-18
3.25,8.050479e-18
3.3,8.631739e-18
3.35,9.236022e-18
3.4,9.863248e-18
3.45,1.051331e-17
3.5,1.118608e-17
3.55,1.188140e-17
3.6,1.259907e-17
3.65,1.333891e-17
3.7,1.410067e-17
3.75,1.488413e-17
3.8,1.568900e-17
3.85,1.651502e-17
3.9,1.736188e-17
3.95,1.822928e-17
4,1.911690e-17
4.05,2.002440e-17
4.1,2.095144e-17
4.15,2.189767e-17
4.2,2.286272e-17
4.25,2.384623e-17
4.3,2.484783e-17
4.35,2.586713e-17
4.4,2.690375e-17
4.45,2.795731e-17
4.5,2.902741e-17
4.55,3.011366e-17
4.6,3.121566e-17
4.65,3.233303e-17
4.7,3.346535e-17
4.75,3.461225e-17
4.8,3.577332e-17
4.85,3.694816e-17
4.9,3.813640e-17
4.95,3.933762e-17
5,4.055146e-17
5.05,4.177752e-17
5.1,4.301541e-17
5.15,4.426476e-17
5.2,4.552520e-17
5.25,4.679635e-17
5.3,4.807784e-17
5.35,4.936931e-17
5.4,5.067040e-17
5.45,5.198075e-17
5.5,5.330002e-17
5.55,5.462785e-17
5.6,5.596391e-17
5.65,5.730786e-17
5.7,5.865937e-17
5.75,6.001812e-17
5.8,6.138378e-17
5.85,6.275604e-17
5.9,6.413459e-17
5.95,6.551913e-17
6,6.690935e-17
6.05,6.830496e-17
6.1,6.970568e-17
6.15,7.111123e-17
6.2,7.252132e-17
6.25,7.393568e-17
6.3,7.535405e-17
6.35,7.677616e-17
6.4,7.820176e-17
6.45,7.963061e-17
6.5,8.106244e-17
6.55,8.249703e-17
6.6,8.393414e-17
6.65,8.537353e-17
6.7,8.681499e-17
6.75,8.825830e-17
6.8,8.970323e-17
6.85,9.114957e-17
6.9,9.259714e-17
6.95,9.404571e-17
7,9.549510e-17
7.05,9.694512e-17
7.1,9.839557e-17
7.15,9.984628e-17
7.2,1.012971e-16
7.25,1.027478e-16
7.3,1.041982e-16
7.35,1.056482e-16
7.4,1.070976e-16
7.45,1.085463e-16
7.5,1.099941e-16
7.55,1.114408e-16
7.6,1.128863e-16
7.65,1.143305e-16
7.7,1.157732e-16
7.75,1.172144e-16
7.8,1.186538e-16
7.85,1.200913e-16
7.9,1.215269e-16
7.95,1.229603e-16
8,1.243915e-16
8.05,1.258205e-16
8.1,1.272469e-16
8.15,1.286709e-16
8.2,1.300921e-16
8.25,1.315107e-16
8.3,1.329263e-16
8.35,1.343391e-16
8.4,1.357488e-16
8.45,1.371554e-16
8.5,1.385588e-16
8.55,1.399589e-16
8.6,1.413556e-16
8.65,1.427489e-16
8.7,1.441386e-16
8.75,1.455248e-16
8.8,1.469073e-16
8.85,1.482860e-16
8.9,1.496610e-16
8.95,1.510321e-16
9,1.523992e-16
9.05,1.537624e-16
9.1,1.551215e-16
9.15,1.564766e-16
9.2,1.578275e-16
9.25,1.591741e-16
9.3,1.605166e-16
9.35,1.618547e-16
9.4,1.631885e-16
9.45,1.645179e-16
9.5,1.658428e-16
9.55,1.671633e-16
9.6,1.684793e-16
9.65,1.697907e-16
9.7,1.710976e-16
9.75,1.723998e-16
9.8,1.736974e-16
9.85,1.749903e-16
9.9,1.762785e-16
9.95,1.775619e-16
10,1.788406e-16
10.05,1.801145e-16
10.1,1.813836e-16
10.15,1.826479e-16
10.2,1.839072e-16
10.25,1.851617e-16
10.3,1.864114e-16
10.35,1.876560e-16
10.4,1.888958e-16
10.45,1.901306e-16
10.5,1.913604e-16
10.55,1.925853e-16
10.6,1.938052e-16
10.65,1.950200e-16
10.7,1.962299e-16
10.75,1.974347e-16
10.8,1.986345e-16
10.85,1.998293e-16
10.9,2.010190e-16
10.95,2.022036e-16
11,2.033832e-16
11.05,2.045577e-16
11.1,2.057272e-16
11.15,2.068916e-16
11.2,2.080509e-16
11.25,2.092051e-16
11.3,2.103542e-16
11.35,2.114983e-16
11.4,2.126373e-16
11.45,2.137712e-16
11.5,2.149000e-16
11.55,2.160238e-16
11.6,2.171424e-16
11.65,2.182561e-16
11.7,2.193646e-16
11.75,2.204681e-16
11.8,2.215665e-16
11.85,2.226599e-16
11.9,2.237482e-16
11.95,2.248315e-16
12,2.259097e-16
12.05,2.269829e-16
12.1,2.280511e-16
12.15,2.291143e-16
12.2,2.301725e-16
12.25,2.312257e-16
12.3,2.322739e-16
12.35,2.333171e-16
12.4,2.343553e-16
12.45,2.353886e-16
12.5,2.364170e-16
12.55,2.374404e-16
12.6,2.384589e-16
12.65,2.394725e-16
12.7,2.404811e-16
12.75,2.414849e-16
12.8,2.424838e-16
12.85,2.434779e-16
12.9,2.444670e-16
12.95,2.454514e-16
13,2.464309e-16
13.05,2.474056e-16
13.1,2.483755e-16
13.15,2.493406e-16
13.2,2.503009e-16
13.25,2.512565e-16
13.3,2.522074e-16
13.35,2.531535e-16
13.4,2.540949e-16
13.45,2.550316e-16
13.5,2.559636e-16
13.55,2.568909e-16
13.6,2.578136e-16
13.65,2.587317e-16
13.7,2.596451e-16
13.75,2.605539e-16
13.8,2.614581e-16
13.85,2.623578e-16
13.9,2.632529e-16
13.95,2.641434e-16
14,2.650294e-16
14.05,2.659110e-16
14.1,2.667880e-16
14.15,2.676605e-16
14.2,2.685286e-16
14.25,2.693922e-16
14.3,2.702515e-16
14.35,2.711063e-16
14.4,2.719567e-16
14.45,2.728027e-16
14.5,2.736444e-16
14.55,2.744817e-16
14.6,2.753147e-16
14.65,2.761434e-16
14.7,2.769678e-16
14.75,2.777879e-16
14.8,2.786038e-16
14.85,2.794155e-16
14.9,2.802229e-16
14.95,2.810261e-16
15,2.818251e-16
15.05,2.826200e-16
15.1,2.834107e-16
15.15,2.841973e-16
15.2,2.849797e-16
15.25,2.857581e-16
15.3,2.865324e-16
15.35,2.873026e-16
15.4,2.880688e-16
15.45,2.888309e-16
15.5,2.895890e-16
15.55,2.903432e-16
15.6,2.910933e-16
15.65,2.918395e-16
15.7,2.925818e-16
15.75,2.933201e-16
15.8,2.940546e-16
15.85,2.947851e-16
15.9,2.955118e-16
15.95,2.962346e-16
16,2.969536e-16
16.05,2.976688e-16
16.1,2.983801e-16
16.15,2.990877e-16
16.2,2.997915e-16
16.25,3.004916e-16
16.3,3.011879e-16
16.35,3.018805e-16
16.4,3.025694e-16
16.45,3.032547e-16
16.5,3.039362e-16
16.55,3.046142e-16
16.6,3.052885e-16
16.65,3.059591e-16
16.7,3.066262e-16
16.75,3.072897e-16
16.8,3.079497e-16
16.85,3.086061e-16
16.9,3.092589e-16
16.95,3.099083e-16
17,3.105542e-16
17.05,3.111966e-16
17.1,3.118355e-16
17.15,3.124710e-16
17.2,3.131030e-16
17.25,3.137316e-16
17.3,3.143569e-16
17.35,3.149787e-16
17.4,3.155972e-16
17.45,3.162124e-16
17.5,3.168242e-16
17.55,3.174327e-16
17.6,3.180379e-16
17.65,3.186398e-16
17.7,3.192385e-16
17.75,3.198339e-16
17.8,3.204260e-16
17.85,3.210150e-16
17.9,3.216007e-16
17.95,3.221833e-16
18,3.227627e-16
18.05,3.233389e-16
18.1,3.239120e-16
18.15,3.244820e-16
18.2,3.250488e-16
18.25,3.256126e-16
18.3,3.261732e-16
18.35,3.267308e-16
18.4,3.272854e-16
18.45,3.278369e-16
18.5,3.283854e-16
18.55,3.289310e-16
18.6,3.294735e-16
18.65,3.300130e-16
18.7,3.305496e-16
18.75,3.310832e-16
18.8,3.316139e-16
18.85,3.321417e-16
18.9,3.326666e-16
18.95,3.331886e-16
19,3.337078e-16
19.05,3.342240e-16
19.1,3.347375e-16
19.15,3.352481e-16
19.2,3.357559e-16
19.25,3.362609e-16
19.3,3.367631e-16
19.35,3.372625e-16
19.4,3.377592e-16
19.45,3.382531e-16
19.5,3.387443e-16
19.55,3.392328e-16
19.6,3.397185e-16
19.65,3.402016e-16
19.7,3.406820e-16
19.75,3.411598e-16
19.8,3.416349e-16
19.85,3.421074e-16
19.9,3.425772e-16
19.95,3.430444e-16
20,3.435091e-16
