# Anregung: e + Ar -> e + Ar((4s') bei 11.83 eV, Schwelle 11.83 eV | Argon (iaa) | tabelliert
Te_eV,K_m3s
0.5,1.206474e-25
0.55,1.094340e-24
0.6,6.894769e-24
0.65,3.281137e-23
0.7,1.252233e-22
0.75,4.004935e-22
0.8,1.109391e-21
0.85,2.729720e-21
0.9,6.084576e-21
0.95,1.247855e-20
1,2.384058e-20
1.05,4.286088e-20
1.1,7.311008e-20
1.15,1.191309e-19
1.2,1.864967e-19
1.25,2.818325e-19
1.3,4.128014e-19
1.35,5.880559e-19
1.4,8.171610e-19
1.45,1.110493e-18
1.5,1.479123e-18
1.55,1.934685e-18
1.6,2.489239e-18
1.65,3.155136e-18
1.7,3.944881e-18
1.75,4.871004e-18
1.8,5.945940e-18
1.85,7.181916e-18
1.9,8.590856e-18
1.95,1.018429e-17
2,1.197328e-17
2.05,1.396836e-17
2.1,1.617947e-17
2.15,1.861595e-17
2.2,2.128646e-17
2.25,2.419900e-17
2.3,2.736088e-17
2.35,3.077871e-17
2.4,3.445842e-17
2.45,3.840525e-17
2.5,4.262375e-17
2.55,4.711784e-17
2.6,5.189078e-17
2.65,5.694521e-17
2.7,6.228319e-17
2.75,6.790621e-17
2.8,7.381521e-17
2.85,8.001064e-17
2.9,8.649243e-17
2.95,9.326008e-17
3,1.003127e-16
3.05,1.076488e-16
3.1,1.152669e-16
3.15,1.231647e-16
3.2,1.313401e-16
3.25,1.397902e-16
3.3,1.485121e-16
3.35,1.575027e-16
3.4,1.667586e-16
3.45,1.762761e-16
3.5,1.860514e-16
3.55,1.960807e-16
3.6,2.063597e-16
3.65,2.168842e-16
3.7,2.276500e-16
3.75,2.386525e-16
3.8,2.498873e-16
3.85,2.613497e-16
3.9,2.730351e-16
3.95,2.849389e-16
4,2.970562e-16
4.05,3.093823e-16
4.1,3.219125e-16
4.15,3.346420e-16
4.2,3.475659e-16
4.25,3.606797e-16
4.3,3.739784e-16
4.35,3.874574e-16
4.4,4.011121e-16
4.45,4.149376e-16
4.5,4.289294e-16
4.55,4.430829e-16
4.6,4.573936e-16
4.65,4.718570e-16
4.7,4.864686e-16
4.75,5.012240e-16
4.8,5.161190e-16
4.85,5.311492e-16
4.9,5.463105e-16
4.95,5.615987e-16
5,5.770097e-16
5.05,5.925395e-16
5.1,6.081842e-16
5.15,6.239398e-16
5.2,6.398026e-16
5.25,6.557688e-16
5.3,6.718347e-16
5.35,6.879968e-16
5.4,7.042514e-16
5.45,7.205952e-16
5.5,7.370246e-16
5.55,7.535364e-16
5.6,7.701273e-16
5.65,7.867941e-16
5.7,8.035336e-16
5.75,8.203428e-16
5.8,8.372187e-16
5.85,8.541583e-16
5.9,8.711588e-16
5.95,8.882174e-16
6,9.053312e-16
6.05,9.224976e-16
6.1,9.397141e-16
6.15,9.569779e-16
6.2,9.742867e-16
6.25,9.916379e-16
6.3,1.009029e-15
6.35,1.026458e-15
6.4,1.043923e-15
6.45,1.061420e-15
6.5,1.078949e-15
6.55,1.096507e-15
6.6,1.114091e-15
6.65,1.131701e-15
6.7,1.149333e-15
6.75,1.166986e-15
6.8,1.184659e-15
6.85,1.202348e-15
6.9,1.220053e-15
6.95,1.237772e-15
7,1.255503e-15
7.05,1.273244e-15
7.1,1.290995e-15
7.15,1.308752e-15
7.2,1.326515e-15
7.25,1.344282e-15
7.3,1.362053e-15
7.35,1.379824e-15
7.4,1.397596e-15
7.45,1.415366e-15
7.5,1.433134e-15
7.55,1.450898e-15
7.6,1.468657e-15
7.65,1.486409e-15
7.7,1.504154e-15
7.75,1.521891e-15
7.8,1.539618e-15
7.85,1.557334e-15
7.9,1.575038e-15
7.95,1.592730e-15
8,1.610408e-15
8.05,1.628071e-15
8.1,1.645718e-15
8.15,1.663349e-15
8.2,1.680963e-15
8.25,1.698558e-15
8.3,1.716134e-15
8.35,1.733690e-15
8.4,1.751226e-15
8.45,1.768740e-15
8.5,1.786232e-15
8.55,1.803701e-15
8.6,1.821147e-15
8.65,1.838568e-15
8.7,1.855965e-15
8.75,1.873336e-15
8.8,1.890681e-15
8.85,1.907999e-15
8.9,1.925290e-15
8.95,1.942553e-15
9,1.959788e-15
9.05,1.976993e-15
9.1,1.994170e-15
9.15,2.011316e-15
9.2,2.028433e-15
9.25,2.045518e-15
9.3,2.062572e-15
9.35,2.079595e-15
9.4,2.096585e-15
9.45,2.113543e-15
9.5,2.130468e-15
9.55,2.147360e-15
9.6,2.164219e-15
9.65,2.181043e-15
9.7,2.197833e-15
9.75,2.214589e-15
9.8,2.231309e-15
9.85,2.247995e-15
9.9,2.264645e-15
9.95,2.281259e-15
10,2.297837e-15
10.05,2.314379e-15
10.1,2.330885e-15
10.15,2.347354e-15
10.2,2.363785e-15
10.25,2.380180e-15
10.3,2.396537e-15
10.35,2.412857e-15
10.4,2.429139e-15
10.45,2.445382e-15
10.5,2.461588e-15
10.55,2.477756e-15
10.6,2.493885e-15
10.65,2.509975e-15
10.7,2.526027e-15
10.75,2.542039e-15
10.8,2.558013e-15
10.85,2.573948e-15
10.9,2.589843e-15
10.95,2.605699e-15
11,2.621516e-15
11.05,2.637293e-15
11.1,2.653031e-15
11.15,2.668729e-15
11.2,2.684387e-15
11.25,2.700005e-15
11.3,2.715583e-15
11.35,2.731121e-15
11.4,2.746620e-15
11.45,2.762078e-15
11.5,2.777496e-15
11.55,2.792874e-15
11.6,2.808211e-15
11.65,2.823509e-15
11.7,2.838766e-15
11.75,2.853983e-15
11.8,2.869160e-15
11.85,2.884296e-15
11.9,2.899392e-15
11.95,2.914448e-15
12,2.929463e-15
12.05,2.944438e-15
12.1,2.959373e-15
12.15,2.974267e-15
12.2,2.989121e-15
12.25,3.003935e-15
12.3,3.018708e-15
12.35,3.033441e-15
12.4,3.048134e-15
12.45,3.062787e-15
12.5,3.077399e-15
12.55,3.091972e-15
12.6,3.106504e-15
12.65,3.120996e-15
12.7,3.135449e-15
12.75,3.149861e-15
12.8,3.164233e-15
12.85,3.178565e-15
12.9,3.192858e-15
12.95,3.207110e-15
13,3.221323e-15
13.05,3.235497e-15
13.1,3.249630e-15
13.15,3.263724e-15
13.2,3.277779e-15
13.25,3.291794e-15
13.3,3.305769e-15
13.35,3.319706e-15
13.4,3.333603e-15
13.45,3.347461e-15
13.5,3.361280e-15
13.55,3.375059e-15
13.6,3.388800e-15
13.65,3.402502e-15
13.7,3.416165e-15
13.75,3.429790e-15
13.8,3.443375e-15
13.85,3.456922e-15
13.9,3.470431e-15
13.95,3.483901e-15
14,3.497333e-15
14.05,3.510727e-15
14.1,3.524082e-15
14.15,3.537400e-15
14.2,3.550679e-15
14.25,3.563921e-15
14.3,3.577125e-15
14.35,3.590291e-15
14.4,3.603419e-15
14.45,3.616510e-15
14.5,3.629564e-15
14.55,3.642580e-15
14.6,3.655559e-15
14.65,3.668501e-15
14.7,3.681406e-15
14.75,3.694273e-15
14.8,3.707104e-15
14.85,3.719899e-15
14.9,3.732656e-15
14.95,3.745377e-15
15,3.758062e-15
15.05,3.770710e-15
15.1,3.783322e-15
15.15,3.795898e-15
15.2,3.808438e-15
15.25,3.820941e-15
15.3,3.833409e-15
15.35,3.845842e-15
15.4,3.858238e-15
15.45,3.870599e-15
15.5,3.882925e-15
15.55,3.895215e-15
15.6,3.907470e-15
15.65,3.919690e-15
15.7,3.931875e-15
15.75,3.944025e-15
15.8,3.956140e-15
15.85,3.968221e-15
15.9,3.980267e-15
15.95,3.992278e-15
16,4.004256e-15
16.05,4.016198e-15
16.1,4.028107e-15
16.15,4.039982e-15
16.2,4.051822e-15
16.25,4.063629e-15
16.3,4.075402e-15
16.35,4.087141e-15
16.4,4.098847e-15
16.45,4.110520e-15
16.5,4.122159e-15
16.55,4.133765e-15
16.6,4.145337e-15
16.65,4.156877e-15
16.7,4.168384e-15
16.75,4.179858e-15
16.8,4.191300e-15
16.85,4.202709e-15
16.9,4.214085e-15
16.95,4.225429e-15
17,4.236741e-15
17.05,4.248021e-15
17.1,4.259268e-15
17.15,4.270484e-15
17.2,4.281668e-15
17.25,4.292820e-15
17.3,4.303941e-15
17.35,4.315030e-15
17.4,4.326087e-15
17.45,4.337114e-15
17.5,4.348109e-15
17.55,4.359073e-15
17.6,4.370006e-15
17.65,4.380908e-15
17.7,4.391779e-15
17.75,4.402620e-15
17.8,4.413430e-15
17.85,4.424210e-15
17.9,4.434959e-15
17.95,4.445678e-15
18,4.456367e-15
18.05,4.467026e-15
18.1,4.477655e-15
18.15,4.488254e-15
18.2,4.498824e-15
18.25,4.509363e-15
18.3,4.519874e-15
18.35,4.530354e-15
18.4,4.540806e-15
18.45,4.551228e-15
18.5,4.561621e-15
18.55,4.571985e-15
18.6,4.582320e-15
18.65,4.592626e-15
18.7,4.602904e-15
18.75,4.613153e-15
18.8,4.623373e-15
18.85,4.633565e-15
18.9,4.643728e-15
18.95,4.653864e-15
19,4.663971e-15
19.05,4.674050e-15
19.1,4.684101e-15
19.15,4.694125e-15
19.2,4.704120e-15
19.25,4.714088e-15
19.3,4.724029e-15
19.35,4.733942e-15
19.4,4.743827e-15
19.45,4.753686e-15
19.5,4.763517e-15
19.55,4.773321e-15
19.6,4.783098e-15
19.65,4.792849e-15
19.7,4.802572e-15
19.75,4.812269e-15
19.8,4.821939e-15
19.85,4.831583e-15
19.9,4.841200e-15
19.95,4.850791e-15
20,4.860356e-15
