# Anregung: e + Ar -> e + Ar(nf) bei 15.0 eV, Schwelle 15.0 eV | Argon (iaa) | tabelliert
Te_eV,K_m3s
0.5,4.932199e-28
0.55,7.904391e-27
0.6,7.997402e-26
0.65,5.679407e-25
0.7,3.053585e-24
0.75,1.313977e-23
0.8,4.717692e-23
0.85,1.459070e-22
0.9,3.984704e-22
0.95,9.799265e-22
1,2.204319e-21
1.05,4.593574e-21
1.1,8.960522e-21
1.15,1.650252e-20
1.2,2.890080e-20
1.25,4.841986e-20
1.3,7.800133e-20
1.35,1.213471e-19
1.4,1.829874e-19
1.45,2.683309e-19
1.5,3.836945e-19
1.55,5.363134e-19
1.6,7.343297e-19
1.65,9.867632e-19
1.7,1.303464e-18
1.75,1.695052e-18
1.8,2.172842e-18
1.85,2.748761e-18
1.9,3.435260e-18
1.95,4.245217e-18
2,5.191842e-18
2.05,6.288582e-18
2.1,7.549023e-18
2.15,8.986804e-18
2.2,1.061552e-17
2.25,1.244866e-17
2.3,1.449951e-17
2.35,1.678109e-17
2.4,1.930611e-17
2.45,2.208686e-17
2.5,2.513525e-17
2.55,2.846268e-17
2.6,3.208005e-17
2.65,3.599774e-17
2.7,4.022554e-17
2.75,4.477267e-17
2.8,4.964777e-17
2.85,5.485885e-17
2.9,6.041333e-17
2.95,6.631802e-17
3,7.257912e-17
3.05,7.920224e-17
3.1,8.619238e-17
3.15,9.355398e-17
3.2,1.012909e-16
3.25,1.094064e-16
3.3,1.179034e-16
3.35,1.267839e-16
3.4,1.360499e-16
3.45,1.457025e-16
3.5,1.557425e-16
3.55,1.661704e-16
3.6,1.769859e-16
3.65,1.881887e-16
3.7,1.997778e-16
3.75,2.117521e-16
3.8,2.241099e-16
3.85,2.368494e-16
3.9,2.499683e-16
3.95,2.634641e-16
4,2.773341e-16
4.05,2.915752e-16
4.1,3.061842e-16
4.15,3.211575e-16
4.2,3.364915e-16
4.25,3.521823e-16
4.3,3.682259e-16
4.35,3.846180e-16
4.4,4.013542e-16
4.45,4.184302e-16
4.5,4.358413e-16
4.55,4.535827e-16
4.6,4.716496e-16
4.65,4.900372e-16
4.7,5.087405e-16
4.75,5.277544e-16
4.8,5.470738e-16
4.85,5.666935e-16
4.9,5.866084e-16
4.95,6.068133e-16
5,6.273029e-16
5.05,6.480719e-16
5.1,6.691151e-16
5.15,6.904271e-16
5.2,7.120028e-16
5.25,7.338367e-16
5.3,7.559237e-16
5.35,7.782585e-16
5.4,8.008359e-16
5.45,8.236506e-16
5.5,8.466975e-16
5.55,8.699714e-16
5.6,8.934673e-16
5.65,9.171799e-16
5.7,9.411044e-16
5.75,9.652357e-16
5.8,9.895688e-16
5.85,1.014099e-15
5.9,1.038821e-15
5.95,1.063731e-15
6,1.088823e-15
6.05,1.114092e-15
6.1,1.139535e-15
6.15,1.165147e-15
6.2,1.190923e-15
6.25,1.216858e-15
6.3,1.242949e-15
6.35,1.269190e-15
6.4,1.295578e-15
6.45,1.322108e-15
6.5,1.348777e-15
6.55,1.375579e-15
6.6,1.402512e-15
6.65,1.429570e-15
6.7,1.456750e-15
6.75,1.484049e-15
6.8,1.511462e-15
6.85,1.538986e-15
6.9,1.566617e-15
6.95,1.594351e-15
7,1.622184e-15
7.05,1.650115e-15
7.1,1.678138e-15
7.15,1.706250e-15
7.2,1.734448e-15
7.25,1.762730e-15
7.3,1.791091e-15
7.35,1.819528e-15
7.4,1.848039e-15
7.45,1.876620e-15
7.5,1.905269e-15
7.55,1.933982e-15
7.6,1.962756e-15
7.65,1.991590e-15
7.7,2.020479e-15
7.75,2.049422e-15
7.8,2.078415e-15
7.85,2.107456e-15
7.9,2.136542e-15
7.95,2.165672e-15
8,2.194842e-15
8.05,2.224050e-15
8.1,2.253293e-15
8.15,2.282570e-15
8.2,2.311878e-15
8.25,2.341215e-15
8.3,2.370578e-15
8.35,2.399966e-15
8.4,2.429376e-15
8.45,2.458807e-15
8.5,2.488256e-15
8.55,2.517721e-15
8.6,2.547201e-15
8.65,2.576693e-15
8.7,2.606196e-15
