# Elastisch: e + Ar -> e + Ar | Argon (ist_lisbon) | tabelliert
Te_eV,K_m3s
0.5,6.208165e-15
0.55,7.201651e-15
0.6,8.243552e-15
0.65,9.331274e-15
0.7,1.046283e-14
0.75,1.163667e-14
0.8,1.285154e-14
0.85,1.410638e-14
0.9,1.540030e-14
0.95,1.673244e-14
1,1.810201e-14
1.05,1.950813e-14
1.1,2.094992e-14
1.15,2.242637e-14
1.2,2.393639e-14
1.25,2.547879e-14
1.3,2.705227e-14
1.35,2.865542e-14
1.4,3.028674e-14
1.45,3.194466e-14
1.5,3.362751e-14
1.55,3.533359e-14
1.6,3.706114e-14
1.65,3.880839e-14
1.7,4.057354e-14
1.75,4.235478e-14
1.8,4.415033e-14
1.85,4.595839e-14
1.9,4.777723e-14
1.95,4.960513e-14
2,5.144041e-14
2.05,5.328145e-14
2.1,5.512668e-14
2.15,5.697457e-14
2.2,5.882367e-14
2.25,6.067258e-14
2.3,6.251996e-14
2.35,6.436455e-14
2.4,6.620514e-14
2.45,6.804057e-14
2.5,6.986978e-14
2.55,7.169175e-14
2.6,7.350552e-14
2.65,7.531020e-14
2.7,7.710495e-14
2.75,7.888898e-14
2.8,8.066158e-14
2.85,8.242208e-14
2.9,8.416984e-14
2.95,8.590430e-14
3,8.762493e-14
3.05,8.933124e-14
3.1,9.102280e-14
3.15,9.269921e-14
3.2,9.436010e-14
3.25,9.600515e-14
3.3,9.763406e-14
3.35,9.924657e-14
3.4,1.008425e-13
3.45,1.024215e-13
3.5,1.039835e-13
3.55,1.055284e-13
3.6,1.070560e-13
3.65,1.085662e-13
3.7,1.100590e-13
3.75,1.115342e-13
3.8,1.129918e-13
3.85,1.144317e-13
3.9,1.158541e-13
3.95,1.172588e-13
4,1.186458e-13
4.05,1.200153e-13
4.1,1.213672e-13
4.15,1.227016e-13
4.2,1.240186e-13
4.25,1.253181e-13
4.3,1.266004e-13
4.35,1.278654e-13
4.4,1.291132e-13
4.45,1.303440e-13
4.5,1.315579e-13
4.55,1.327549e-13
4.6,1.339353e-13
4.65,1.350990e-13
4.7,1.362463e-13
4.75,1.373772e-13
4.8,1.384919e-13
4.85,1.395905e-13
4.9,1.406732e-13
4.95,1.417401e-13
5,1.427913e-13
5.05,1.438270e-13
5.1,1.448474e-13
5.15,1.458525e-13
5.2,1.468426e-13
5.25,1.478178e-13
5.3,1.487782e-13
5.35,1.497240e-13
5.4,1.506553e-13
5.45,1.515723e-13
5.5,1.524752e-13
5.55,1.533641e-13
5.6,1.542392e-13
5.65,1.551006e-13
5.7,1.559485e-13
5.75,1.567830e-13
5.8,1.576042e-13
5.85,1.584125e-13
5.9,1.592078e-13
5.95,1.599904e-13
6,1.607604e-13
6.05,1.615179e-13
6.1,1.622632e-13
6.15,1.629963e-13
6.2,1.637174e-13
6.25,1.644267e-13
6.3,1.651243e-13
6.35,1.658103e-13
6.4,1.664850e-13
6.45,1.671484e-13
6.5,1.678007e-13
6.55,1.684420e-13
6.6,1.690725e-13
6.65,1.696924e-13
6.7,1.703016e-13
6.75,1.709005e-13
6.8,1.714892e-13
6.85,1.720676e-13
6.9,1.726361e-13
6.95,1.731948e-13
7,1.737437e-13
7.05,1.742830e-13
7.1,1.748129e-13
7.15,1.753334e-13
7.2,1.758447e-13
7.25,1.763469e-13
7.3,1.768401e-13
7.35,1.773245e-13
7.4,1.778002e-13
7.45,1.782673e-13
7.5,1.787259e-13
7.55,1.791762e-13
7.6,1.796182e-13
7.65,1.800521e-13
7.7,1.804780e-13
7.75,1.808959e-13
7.8,1.813061e-13
7.85,1.817086e-13
7.9,1.821035e-13
7.95,1.824910e-13
8,1.828711e-13
8.05,1.832439e-13
8.1,1.836096e-13
8.15,1.839682e-13
8.2,1.843199e-13
8.25,1.846647e-13
8.3,1.850027e-13
8.35,1.853342e-13
8.4,1.856590e-13
8.45,1.859774e-13
8.5,1.862894e-13
8.55,1.865951e-13
8.6,1.868946e-13
8.65,1.871880e-13
8.7,1.874754e-13
8.75,1.877569e-13
8.8,1.880325e-13
8.85,1.883024e-13
8.9,1.885666e-13
8.95,1.888252e-13
9,1.890783e-13
9.05,1.893259e-13
9.1,1.895683e-13
9.15,1.898053e-13
9.2,1.900371e-13
9.25,1.902639e-13
9.3,1.904855e-13
9.35,1.907022e-13
9.4,1.909140e-13
9.45,1.911210e-13
9.5,1.913232e-13
9.55,1.915208e-13
9.6,1.917137e-13
9.65,1.919020e-13
9.7,1.920859e-13
9.75,1.922654e-13
9.8,1.924405e-13
9.85,1.926113e-13
9.9,1.927779e-13
9.95,1.929404e-13
10,1.930987e-13
10.05,1.932530e-13
10.1,1.934033e-13
10.15,1.935497e-13
10.2,1.936922e-13
10.25,1.938310e-13
10.3,1.939659e-13
10.35,1.940972e-13
10.4,1.942249e-13
10.45,1.943489e-13
10.5,1.944694e-13
10.55,1.945865e-13
10.6,1.947001e-13
10.65,1.948103e-13
10.7,1.949173e-13
10.75,1.950209e-13
10.8,1.951213e-13
10.85,1.952185e-13
10.9,1.953126e-13
10.95,1.954036e-13
11,1.954916e-13
11.05,1.955766e-13
11.1,1.956586e-13
11.15,1.957377e-13
11.2,1.958140e-13
11.25,1.958874e-13
11.3,1.959581e-13
11.35,1.960260e-13
11.4,1.960912e-13
11.45,1.961538e-13
11.5,1.962137e-13
11.55,1.962711e-13
11.6,1.963260e-13
11.65,1.963783e-13
11.7,1.964282e-13
11.75,1.964756e-13
11.8,1.965207e-13
11.85,1.965634e-13
11.9,1.966038e-13
11.95,1.966420e-13
12,1.966778e-13
12.05,1.967115e-13
12.1,1.967430e-13
12.15,1.967723e-13
12.2,1.967995e-13
12.25,1.968246e-13
12.3,1.968477e-13
12.35,1.968688e-13
12.4,1.968878e-13
12.45,1.969049e-13
12.5,1.969201e-13
12.55,1.969334e-13
12.6,1.969448e-13
12.65,1.969543e-13
12.7,1.969621e-13
12.75,1.969680e-13
12.8,1.969722e-13
12.85,1.969747e-13
12.9,1.969754e-13
12.95,1.969745e-13
13,1.969719e-13
13.05,1.969676e-13
13.1,1.969618e-13
13.15,1.969544e-13
13.2,1.969454e-13
13.25,1.969349e-13
13.3,1.969229e-13
13.35,1.969094e-13
13.4,1.968944e-13
13.45,1.968780e-13
13.5,1.968601e-13
13.55,1.968409e-13
13.6,1.968203e-13
13.65,1.967983e-13
13.7,1.967750e-13
13.75,1.967504e-13
13.8,1.967244e-13
13.85,1.966973e-13
13.9,1.966688e-13
13.95,1.966391e-13
14,1.966082e-13
14.05,1.965761e-13
14.1,1.965428e-13
14.15,1.965084e-13
14.2,1.964728e-13
14.25,1.964361e-13
14.3,1.963983e-13
14.35,1.963594e-13
14.4,1.963194e-13
14.45,1.962784e-13
14.5,1.962363e-13
14.55,1.961932e-13
14.6,1.961491e-13
14.65,1.961040e-13
14.7,1.960579e-13
14.75,1.960109e-13
14.8,1.959629e-13
14.85,1.959140e-13
14.9,1.958641e-13
14.95,1.958134e-13
15,1.957618e-13
15.05,1.957093e-13
15.1,1.956559e-13
15.15,1.956017e-13
15.2,1.955467e-13
15.25,1.954908e-13
15.3,1.954341e-13
15.35,1.953767e-13
15.4,1.953184e-13
15.45,1.952594e-13
15.5,1.951997e-13
15.55,1.951392e-13
15.6,1.950779e-13
15.65,1.950160e-13
15.7,1.949533e-13
15.75,1.948899e-13
15.8,1.948259e-13
15.85,1.947612e-13
15.9,1.946958e-13
15.95,1.946297e-13
16,1.945631e-13
16.05,1.944957e-13
16.1,1.944278e-13
16.15,1.943593e-13
16.2,1.942901e-13
16.25,1.942204e-13
16.3,1.941501e-13
16.35,1.940792e-13
16.4,1.940077e-13
16.45,1.939357e-13
16.5,1.938632e-13
16.55,1.937901e-13
16.6,1.937165e-13
16.65,1.936424e-13
16.7,1.935678e-13
16.75,1.934927e-13
16.8,1.934171e-13
16.85,1.933410e-13
16.9,1.932644e-13
16.95,1.931874e-13
17,1.931099e-13
17.05,1.930320e-13
17.1,1.929536e-13
17.15,1.928748e-13
17.2,1.927955e-13
17.25,1.927159e-13
17.3,1.926358e-13
17.35,1.925553e-13
17.4,1.924745e-13
17.45,1.923932e-13
17.5,1.923116e-13
17.55,1.922296e-13
17.6,1.921472e-13
17.65,1.920645e-13
17.7,1.919814e-13
17.75,1.918979e-13
17.8,1.918141e-13
17.85,1.917300e-13
17.9,1.916456e-13
17.95,1.915608e-13
18,1.914757e-13
18.05,1.913903e-13
18.1,1.913046e-13
18.15,1.912186e-13
18.2,1.911323e-13
18.25,1.910457e-13
18.3,1.909588e-13
18.35,1.908716e-13
18.4,1.907842e-13
18.45,1.906965e-13
18.5,1.906086e-13
18.55,1.905203e-13
18.6,1.904319e-13
18.65,1.903432e-13
18.7,1.902542e-13
18.75,1.901651e-13
18.8,1.900756e-13
18.85,1.899860e-13
18.9,1.898961e-13
18.95,1.898061e-13
19,1.897158e-13
19.05,1.896253e-13
19.1,1.895346e-13
19.15,1.894437e-13
19.2,1.893526e-13
19.25,1.892613e-13
19.3,1.891698e-13
19.35,1.890782e-13
19.4,1.889864e-13
19.45,1.888944e-13
19.5,1.888022e-13
19.55,1.887099e-13
19.6,1.886174e-13
19.65,1.885247e-13
19.7,1.884319e-13
19.75,1.883389e-13
19.8,1.882458e-13
19.85,1.881526e-13
19.9,1.880592e-13
19.95,1.879657e-13
20,1.878720e-13
