# Anregung: e + Ar -> e + Ar(3P2) bei 11.548 eV, Schwelle 11.548 eV | Argon (ist_lisbon) | tabelliert
Te_eV,K_m3s
0.5,6.477804e-26
0.55,6.310655e-25
0.6,4.199764e-24
0.65,2.085503e-23
0.7,8.229279e-23
0.75,2.702021e-22
0.8,7.641559e-22
0.85,1.911145e-21
0.9,4.314444e-21
0.95,8.935084e-21
1,1.719617e-20
1.05,3.107920e-20
1.1,5.320250e-20
1.15,8.687410e-20
1.2,1.361147e-19
1.25,2.056492e-19
1.3,3.008684e-19
1.35,4.277645e-19
1.4,5.928449e-19
1.45,8.030310e-19
1.5,1.065546e-18
1.55,1.387799e-18
1.6,1.777270e-18
1.65,2.241396e-18
1.7,2.787470e-18
1.75,3.422542e-18
1.8,4.153340e-18
1.85,4.986193e-18
1.9,5.926978e-18
1.95,6.981067e-18
2,8.153295e-18
2.05,9.447933e-18
2.1,1.086867e-17
2.15,1.241862e-17
2.2,1.410031e-17
2.25,1.591569e-17
2.3,1.786615e-17
2.35,1.995255e-17
2.4,2.217521e-17
2.45,2.453399e-17
2.5,2.702825e-17
2.55,2.965694e-17
2.6,3.241860e-17
2.65,3.531140e-17
2.7,3.833316e-17
2.75,4.148140e-17
2.8,4.475336e-17
2.85,4.814602e-17
2.9,5.165614e-17
2.95,5.528030e-17
3,5.901490e-17
3.05,6.285619e-17
3.1,6.680032e-17
3.15,7.084332e-17
3.2,7.498116e-17
3.25,7.920974e-17
3.3,8.352492e-17
3.35,8.792255e-17
3.4,9.239845e-17
3.45,9.694845e-17
3.5,1.015684e-16
3.55,1.062542e-16
3.6,1.110017e-16
3.65,1.158070e-16
3.7,1.206659e-16
3.75,1.255747e-16
3.8,1.305294e-16
3.85,1.355262e-16
3.9,1.405615e-16
3.95,1.456317e-16
4,1.507332e-16
4.05,1.558625e-16
4.1,1.610164e-16
4.15,1.661915e-16
4.2,1.713848e-16
4.25,1.765930e-16
4.3,1.818133e-16
4.35,1.870428e-16
4.4,1.922787e-16
4.45,1.975183e-16
4.5,2.027591e-16
4.55,2.079984e-16
4.6,2.132340e-16
4.65,2.184635e-16
4.7,2.236848e-16
4.75,2.288956e-16
4.8,2.340939e-16
4.85,2.392779e-16
4.9,2.444455e-16
4.95,2.495951e-16
5,2.547248e-16
5.05,2.598332e-16
5.1,2.649186e-16
5.15,2.699796e-16
5.2,2.750148e-16
5.25,2.800227e-16
5.3,2.850022e-16
5.35,2.899521e-16
5.4,2.948712e-16
5.45,2.997585e-16
5.5,3.046129e-16
5.55,3.094336e-16
5.6,3.142195e-16
5.65,3.189699e-16
5.7,3.236840e-16
5.75,3.283610e-16
5.8,3.330002e-16
5.85,3.376011e-16
5.9,3.421630e-16
5.95,3.466854e-16
6,3.511678e-16
6.05,3.556096e-16
6.1,3.600106e-16
6.15,3.643702e-16
6.2,3.686882e-16
6.25,3.729642e-16
6.3,3.771979e-16
6.35,3.813891e-16
6.4,3.855376e-16
6.45,3.896432e-16
6.5,3.937057e-16
6.55,3.977249e-16
6.6,4.017009e-16
6.65,4.056334e-16
6.7,4.095224e-16
6.75,4.133680e-16
6.8,4.171700e-16
6.85,4.209284e-16
6.9,4.246434e-16
6.95,4.283149e-16
7,4.319430e-16
7.05,4.355277e-16
7.1,4.390693e-16
7.15,4.425677e-16
7.2,4.460231e-16
7.25,4.494356e-16
7.3,4.528054e-16
7.35,4.561327e-16
7.4,4.594175e-16
7.45,4.626602e-16
7.5,4.658609e-16
7.55,4.690197e-16
7.6,4.721370e-16
7.65,4.752129e-16
7.7,4.782477e-16
7.75,4.812416e-16
7.8,4.841949e-16
7.85,4.871078e-16
7.9,4.899805e-16
7.95,4.928134e-16
8,4.956067e-16
8.05,4.983607e-16
8.1,5.010756e-16
8.15,5.037518e-16
8.2,5.063896e-16
8.25,5.089891e-16
8.3,5.115508e-16
8.35,5.140750e-16
8.4,5.165619e-16
8.45,5.190118e-16
8.5,5.214251e-16
8.55,5.238020e-16
8.6,5.261429e-16
8.65,5.284481e-16
8.7,5.307179e-16
8.75,5.329527e-16
8.8,5.351526e-16
8.85,5.373182e-16
8.9,5.394496e-16
8.95,5.415471e-16
9,5.436112e-16
9.05,5.456422e-16
9.1,5.476402e-16
9.15,5.496058e-16
9.2,5.515391e-16
9.25,5.534406e-16
9.3,5.553104e-16
9.35,5.571491e-16
9.4,5.589567e-16
9.45,5.607338e-16
9.5,5.624805e-16
9.55,5.641972e-16
9.6,5.658842e-16
9.65,5.675419e-16
9.7,5.691705e-16
9.75,5.707703e-16
9.8,5.723417e-16
9.85,5.738849e-16
9.9,5.754003e-16
9.95,5.768881e-16
10,5.783487e-16
10.05,5.797823e-16
10.1,5.811893e-16
10.15,5.825699e-16
10.2,5.839245e-16
10.25,5.852533e-16
10.3,5.865566e-16
