# Anregung: e + Ar -> e + Ar(4p'[3/2]2) bei 13.302 eV, Schwelle 13.302 eV | Argon (ist_lisbon) | tabelliert
Te_eV,K_m3s
0.5,2.212634e-28
0.55,2.831692e-27
0.6,2.400537e-26
0.65,1.481463e-25
0.7,7.119019e-25
0.75,2.798358e-24
0.8,9.336558e-24
0.85,2.719863e-23
0.9,7.072035e-23
0.95,1.670105e-22
1,3.632576e-22
1.05,7.360193e-22
1.1,1.402230e-21
1.15,2.531439e-21
1.2,4.358622e-21
1.25,7.196834e-21
1.3,1.144894e-20
1.35,1.761775e-20
1.4,2.631405e-20
1.45,3.826199e-20
1.5,5.430176e-20
1.55,7.538937e-20
1.6,1.025936e-19
1.65,1.370902e-19
1.7,1.801543e-19
1.75,2.331499e-19
1.8,2.975187e-19
1.85,3.747672e-19
1.9,4.664528e-19
1.95,5.741701e-19
2,6.995365e-19
2.05,8.441782e-19
2.1,1.009717e-18
2.15,1.197756e-18
2.2,1.409871e-18
2.25,1.647595e-18
2.3,1.912411e-18
2.35,2.205742e-18
2.4,2.528944e-18
2.45,2.883298e-18
2.5,3.270005e-18
2.55,3.690185e-18
2.6,4.144865e-18
2.65,4.634986e-18
2.7,5.161396e-18
2.75,5.724849e-18
2.8,6.326008e-18
2.85,6.965444e-18
2.9,7.643636e-18
2.95,8.360975e-18
3,9.117764e-18
3.05,9.914224e-18
3.1,1.075049e-17
3.15,1.162663e-17
3.2,1.254262e-17
3.25,1.349838e-17
3.3,1.449375e-17
3.35,1.552852e-17
3.4,1.660240e-17
3.45,1.771508e-17
3.5,1.886615e-17
3.55,2.005518e-17
3.6,2.128170e-17
3.65,2.254518e-17
3.7,2.384506e-17
3.75,2.518074e-17
3.8,2.655161e-17
3.85,2.795700e-17
3.9,2.939623e-17
3.95,3.086861e-17
4,3.237341e-17
4.05,3.390990e-17
4.1,3.547731e-17
4.15,3.707489e-17
4.2,3.870185e-17
4.25,4.035741e-17
4.3,4.204079e-17
4.35,4.375118e-17
4.4,4.548779e-17
4.45,4.724982e-17
4.5,4.903648e-17
4.55,5.084696e-17
4.6,5.268047e-17
4.65,5.453623e-17
4.7,5.641344e-17
4.75,5.831133e-17
4.8,6.022913e-17
4.85,6.216608e-17
4.9,6.412141e-17
4.95,6.609438e-17
5,6.808425e-17
5.05,7.009031e-17
5.1,7.211182e-17
5.15,7.414808e-17
5.2,7.619841e-17
5.25,7.826211e-17
5.3,8.033853e-17
5.35,8.242698e-17
5.4,8.452684e-17
5.45,8.663747e-17
5.5,8.875824e-17
5.55,9.088855e-17
5.6,9.302779e-17
5.65,9.517539e-17
5.7,9.733077e-17
5.75,9.949338e-17
5.8,1.016627e-16
5.85,1.038381e-16
5.9,1.060191e-16
5.95,1.082053e-16
6,1.103961e-16
6.05,1.125910e-16
6.1,1.147896e-16
6.15,1.169913e-16
6.2,1.191958e-16
6.25,1.214027e-16
6.3,1.236114e-16
6.35,1.258216e-16
6.4,1.280328e-16
6.45,1.302447e-16
6.5,1.324569e-16
6.55,1.346691e-16
6.6,1.368808e-16
6.65,1.390917e-16
6.7,1.413014e-16
6.75,1.435097e-16
6.8,1.457163e-16
6.85,1.479207e-16
6.9,1.501227e-16
6.95,1.523221e-16
7,1.545184e-16
7.05,1.567116e-16
7.1,1.589012e-16
7.15,1.610870e-16
7.2,1.632688e-16
7.25,1.654464e-16
7.3,1.676194e-16
7.35,1.697878e-16
7.4,1.719512e-16
7.45,1.741094e-16
7.5,1.762623e-16
7.55,1.784097e-16
7.6,1.805513e-16
7.65,1.826870e-16
7.7,1.848166e-16
7.75,1.869399e-16
7.8,1.890568e-16
7.85,1.911672e-16
7.9,1.932707e-16
7.95,1.953675e-16
8,1.974572e-16
8.05,1.995397e-16
8.1,2.016150e-16
8.15,2.036829e-16
8.2,2.057433e-16
8.25,2.077961e-16
8.3,2.098411e-16
8.35,2.118783e-16
8.4,2.139076e-16
8.45,2.159289e-16
8.5,2.179420e-16
8.55,2.199470e-16
8.6,2.219437e-16
8.65,2.239320e-16
8.7,2.259120e-16
8.75,2.278834e-16
8.8,2.298464e-16
8.85,2.318007e-16
8.9,2.337464e-16
8.95,2.356833e-16
9,2.376115e-16
9.05,2.395309e-16
9.1,2.414415e-16
9.15,2.433432e-16
9.2,2.452360e-16
9.25,2.471198e-16
9.3,2.489947e-16
9.35,2.508605e-16
9.4,2.527173e-16
9.45,2.545651e-16
9.5,2.564038e-16
9.55,2.582335e-16
9.6,2.600540e-16
9.65,2.618655e-16
9.7,2.636678e-16
9.75,2.654610e-16
9.8,2.672451e-16
9.85,2.690200e-16
9.9,2.707859e-16
9.95,2.725426e-16
10,2.742902e-16
10.05,2.760286e-16
10.1,2.777580e-16
10.15,2.794783e-16
10.2,2.811894e-16
10.25,2.828915e-16
10.3,2.845846e-16
10.35,2.862686e-16
10.4,2.879435e-16
10.45,2.896095e-16
10.5,2.912664e-16
10.55,2.929144e-16
10.6,2.945534e-16
10.65,2.961835e-16
10.7,2.978047e-16
10.75,2.994170e-16
10.8,3.010205e-16
10.85,3.026151e-16
10.9,3.042010e-16
10.95,3.057781e-16
11,3.073464e-16
11.05,3.089061e-16
11.1,3.104570e-16
11.15,3.119993e-16
11.2,3.135331e-16
11.25,3.150582e-16
11.3,3.165748e-16
11.35,3.180829e-16
11.4,3.195825e-16
11.45,3.210737e-16
11.5,3.225565e-16
11.55,3.240310e-16
11.6,3.254971e-16
11.65,3.269550e-16
11.7,3.284046e-16
11.75,3.298460e-16
11.8,3.312792e-16
11.85,3.327044e-16
11.9,3.341214e-16
11.95,3.355304e-16
12,3.369314e-16
12.05,3.383245e-16
12.1,3.397096e-16
12.15,3.410869e-16
12.2,3.424563e-16
12.25,3.438180e-16
12.3,3.451718e-16
12.35,3.465180e-16
12.4,3.478566e-16
12.45,3.491875e-16
12.5,3.505108e-16
12.55,3.518266e-16
12.6,3.531349e-16
12.65,3.544358e-16
12.7,3.557292e-16
12.75,3.570153e-16
12.8,3.582941e-16
12.85,3.595656e-16
12.9,3.608299e-16
12.95,3.620870e-16
13,3.633369e-16
13.05,3.645798e-16
13.1,3.658156e-16
13.15,3.670443e-16
13.2,3.682661e-16
13.25,3.694810e-16
13.3,3.706890e-16
13.35,3.718901e-16
13.4,3.730845e-16
13.45,3.742721e-16
13.5,3.754529e-16
13.55,3.766271e-16
13.6,3.777947e-16
13.65,3.789556e-16
13.7,3.801101e-16
13.75,3.812580e-16
13.8,3.823994e-16
13.85,3.835344e-16
13.9,3.846631e-16
13.95,3.857854e-16
14,3.869014e-16
14.05,3.880111e-16
14.1,3.891146e-16
14.15,3.902119e-16
14.2,3.913031e-16
14.25,3.923882e-16
14.3,3.934672e-16
14.35,3.945402e-16
14.4,3.956072e-16
14.45,3.966683e-16
14.5,3.977235e-16
14.55,3.987728e-16
14.6,3.998162e-16
14.65,4.008539e-16
14.7,4.018858e-16
14.75,4.029120e-16
14.8,4.039325e-16
14.85,4.049474e-16
14.9,4.059567e-16
14.95,4.069604e-16
15,4.079585e-16
15.05,4.089512e-16
15.1,4.099384e-16
15.15,4.109201e-16
15.2,4.118965e-16
15.25,4.128675e-16
15.3,4.138332e-16
15.35,4.147937e-16
15.4,4.157488e-16
15.45,4.166987e-16
15.5,4.176435e-16
15.55,4.185831e-16
15.6,4.195176e-16
15.65,4.204470e-16
15.7,4.213713e-16
15.75,4.222906e-16
15.8,4.232049e-16
15.85,4.241143e-16
15.9,4.250187e-16
15.95,4.259183e-16
16,4.268130e-16
16.05,4.277028e-16
16.1,4.285879e-16
16.15,4.294682e-16
16.2,4.303437e-16
16.25,4.312145e-16
16.3,4.320807e-16
16.35,4.329422e-16
16.4,4.337990e-16
16.45,4.346513e-16
16.5,4.354990e-16
16.55,4.363422e-16
16.6,4.371809e-16
16.65,4.380150e-16
16.7,4.388448e-16
16.75,4.396701e-16
16.8,4.404910e-16
16.85,4.413076e-16
16.9,4.421198e-16
16.95,4.429277e-16
17,4.437313e-16
17.05,4.445306e-16
17.1,4.453257e-16
17.15,4.461166e-16
17.2,4.469033e-16
17.25,4.476858e-16
17.3,4.484642e-16
17.35,4.492385e-16
17.4,4.500088e-16
17.45,4.507749e-16
17.5,4.515370e-16
17.55,4.522951e-16
17.6,4.530493e-16
17.65,4.537994e-16
17.7,4.545456e-16
17.75,4.552879e-16
17.8,4.560263e-16
17.85,4.567609e-16
17.9,4.574916e-16
17.95,4.582184e-16
18,4.589415e-16
18.05,4.596608e-16
18.1,4.603763e-16
18.15,4.610881e-16
18.2,4.617961e-16
18.25,4.625005e-16
18.3,4.632012e-16
18.35,4.638983e-16
18.4,4.645917e-16
18.45,4.652815e-16
18.5,4.659677e-16
18.55,4.666504e-16
18.6,4.673295e-16
18.65,4.680051e-16
18.7,4.686772e-16
18.75,4.693457e-16
18.8,4.700109e-16
18.85,4.706725e-16
18.9,4.713308e-16
18.95,4.719856e-16
19,4.726370e-16
19.05,4.732851e-16
19.1,4.739298e-16
19.15,4.745712e-16
19.2,4.752093e-16
19.25,4.758440e-16
19.3,4.764755e-16
19.35,4.771037e-16
19.4,4.777287e-16
19.45,4.783505e-16
19.5,4.789690e-16
19.55,4.795844e-16
19.6,4.801965e-16
19.65,4.808055e-16
19.7,4.814114e-16
19.75,4.820142e-16
19.8,4.826138e-16
19.85,4.832104e-16
19.9,4.838039e-16
19.95,4.843943e-16
20,4.849817e-16
