# Anregung: e + Ar -> e + Ar(1s2: 4s'(1/2) bei 11.827 eV, Schwelle 11.827 eV | Argon (puech) | tabelliert
Te_eV,K_m3s
0.5,6.622634e-26
0.55,6.015656e-25
0.6,3.801547e-24
0.65,1.816717e-23
0.7,6.968771e-23
0.75,2.241655e-22
0.8,6.248645e-22
0.85,1.547821e-21
0.9,3.474301e-21
0.95,7.176890e-21
1,1.381336e-20
1.05,2.502123e-20
1.1,4.300580e-20
1.15,7.061553e-20
1.2,1.113998e-19
1.25,1.696465e-19
1.3,2.503975e-19
1.35,3.594433e-19
1.4,5.032977e-19
1.45,6.891551e-19
1.5,9.248335e-19
1.55,1.218706e-18
1.6,1.579625e-18
1.65,2.016838e-18
1.7,2.539907e-18
1.75,3.158623e-18
1.8,3.882920e-18
1.85,4.722800e-18
1.9,5.688257e-18
1.95,6.789206e-18
2,8.035421e-18
2.05,9.436478e-18
2.1,1.100170e-17
2.15,1.274013e-17
2.2,1.466046e-17
2.25,1.677104e-17
2.3,1.907981e-17
2.35,2.159431e-17
2.4,2.432167e-17
2.45,2.726856e-17
2.5,3.044122e-17
2.55,3.384543e-17
2.6,3.748654e-17
2.65,4.136944e-17
2.7,4.549859e-17
2.75,4.987801e-17
2.8,5.451130e-17
2.85,5.940164e-17
2.9,6.455181e-17
2.95,6.996421e-17
3,7.564086e-17
3.05,8.158342e-17
3.1,8.779318e-17
3.15,9.427114e-17
3.2,1.010179e-16
3.25,1.080339e-16
3.3,1.153192e-16
3.35,1.228736e-16
3.4,1.306965e-16
3.45,1.387874e-16
3.5,1.471452e-16
3.55,1.557688e-16
3.6,1.646569e-16
3.65,1.738079e-16
3.7,1.832201e-16
3.75,1.928915e-16
3.8,2.028202e-16
3.85,2.130039e-16
3.9,2.234403e-16
3.95,2.341269e-16
4,2.450613e-16
4.05,2.562406e-16
4.1,2.676622e-16
4.15,2.793231e-16
4.2,2.912205e-16
4.25,3.033514e-16
4.3,3.157125e-16
4.35,3.283009e-16
4.4,3.411133e-16
4.45,3.541465e-16
4.5,3.673972e-16
4.55,3.808621e-16
4.6,3.945378e-16
4.65,4.084210e-16
4.7,4.225083e-16
4.75,4.367963e-16
4.8,4.512815e-16
4.85,4.659605e-16
4.9,4.808300e-16
4.95,4.958864e-16
5,5.111263e-16
5.05,5.265463e-16
5.1,5.421430e-16
5.15,5.579130e-16
5.2,5.738528e-16
5.25,5.899591e-16
5.3,6.062285e-16
5.35,6.226577e-16
5.4,6.392433e-16
5.45,6.559820e-16
5.5,6.728706e-16
5.55,6.899057e-16
5.6,7.070842e-16
5.65,7.244029e-16
5.7,7.418585e-16
5.75,7.594479e-16
5.8,7.771680e-16
5.85,7.950158e-16
5.9,8.129882e-16
5.95,8.310821e-16
6,8.492946e-16
6.05,8.676227e-16
6.1,8.860636e-16
6.15,9.046143e-16
6.2,9.232720e-16
6.25,9.420340e-16
6.3,9.608973e-16
6.35,9.798594e-16
6.4,9.989174e-16
6.45,1.018069e-15
6.5,1.037311e-15
6.55,1.056641e-15
6.6,1.076057e-15
6.65,1.095556e-15
6.7,1.115136e-15
6.75,1.134793e-15
6.8,1.154527e-15
6.85,1.174333e-15
6.9,1.194211e-15
6.95,1.214158e-15
7,1.234171e-15
7.05,1.254249e-15
7.1,1.274388e-15
7.15,1.294588e-15
7.2,1.314845e-15
7.25,1.335158e-15
7.3,1.355525e-15
7.35,1.375943e-15
7.4,1.396411e-15
7.45,1.416927e-15
7.5,1.437489e-15
7.55,1.458094e-15
7.6,1.478742e-15
7.65,1.499429e-15
7.7,1.520156e-15
7.75,1.540919e-15
7.8,1.561716e-15
7.85,1.582548e-15
7.9,1.603410e-15
7.95,1.624303e-15
8,1.645224e-15
8.05,1.666171e-15
8.1,1.687144e-15
8.15,1.708140e-15
8.2,1.729158e-15
8.25,1.750197e-15
8.3,1.771255e-15
8.35,1.792331e-15
8.4,1.813423e-15
8.45,1.834530e-15
8.5,1.855650e-15
8.55,1.876783e-15
8.6,1.897927e-15
8.65,1.919080e-15
8.7,1.940241e-15
8.75,1.961410e-15
8.8,1.982585e-15
8.85,2.003764e-15
8.9,2.024946e-15
8.95,2.046131e-15
9,2.067317e-15
9.05,2.088503e-15
9.1,2.109688e-15
9.15,2.130871e-15
9.2,2.152051e-15
9.25,2.173227e-15
9.3,2.194397e-15
9.35,2.215561e-15
9.4,2.236717e-15
9.45,2.257866e-15
9.5,2.279005e-15
9.55,2.300134e-15
9.6,2.321252e-15
9.65,2.342358e-15
9.7,2.363451e-15
9.75,2.384530e-15
9.8,2.405595e-15
9.85,2.426644e-15
9.9,2.447677e-15
9.95,2.468692e-15
10,2.489690e-15
10.05,2.510669e-15
10.1,2.531629e-15
10.15,2.552568e-15
10.2,2.573486e-15
10.25,2.594383e-15
10.3,2.615257e-15
10.35,2.636107e-15
10.4,2.656934e-15
10.45,2.677737e-15
10.5,2.698513e-15
10.55,2.719265e-15
10.6,2.739989e-15
10.65,2.760686e-15
10.7,2.781355e-15
10.75,2.801996e-15
10.8,2.822608e-15
10.85,2.843190e-15
10.9,2.863742e-15
10.95,2.884262e-15
11,2.904752e-15
11.05,2.925209e-15
11.1,2.945634e-15
11.15,2.966025e-15
11.2,2.986383e-15
11.25,3.006707e-15
11.3,3.026996e-15
11.35,3.047250e-15
11.4,3.067468e-15
11.45,3.087650e-15
11.5,3.107796e-15
11.55,3.127904e-15
11.6,3.147975e-15
11.65,3.168007e-15
11.7,3.188001e-15
11.75,3.207957e-15
11.8,3.227872e-15
11.85,3.247748e-15
11.9,3.267584e-15
11.95,3.287379e-15
12,3.307133e-15
12.05,3.326846e-15
12.1,3.346517e-15
12.15,3.366145e-15
12.2,3.385732e-15
12.25,3.405275e-15
12.3,3.424774e-15
12.35,3.444231e-15
12.4,3.463643e-15
12.45,3.483011e-15
12.5,3.502334e-15
12.55,3.521612e-15
12.6,3.540845e-15
12.65,3.560032e-15
12.7,3.579173e-15
12.75,3.598267e-15
12.8,3.617316e-15
12.85,3.636317e-15
12.9,3.655271e-15
12.95,3.674178e-15
13,3.693037e-15
13.05,3.711848e-15
13.1,3.730611e-15
13.15,3.749325e-15
13.2,3.767990e-15
13.25,3.786607e-15
13.3,3.805174e-15
13.35,3.823691e-15
13.4,3.842159e-15
13.45,3.860577e-15
13.5,3.878944e-15
13.55,3.897262e-15
13.6,3.915528e-15
13.65,3.933744e-15
13.7,3.951908e-15
13.75,3.970021e-15
13.8,3.988083e-15
13.85,4.006093e-15
13.9,4.024051e-15
13.95,4.041957e-15
14,4.059811e-15
14.05,4.077613e-15
14.1,4.095361e-15
14.15,4.113058e-15
14.2,4.130701e-15
14.25,4.148291e-15
14.3,4.165828e-15
14.35,4.183311e-15
14.4,4.200741e-15
14.45,4.218117e-15
14.5,4.235440e-15
14.55,4.252708e-15
14.6,4.269922e-15
14.65,4.287082e-15
