# Anregung: e + Ar -> e + Ar(1s3:3p8) bei 14.503 eV, Schwelle 14.503 eV | Argon (puech) | tabelliert
Te_eV,K_m3s
0.5,6.450545e-30
0.55,9.401044e-29
0.6,8.791509e-28
0.65,5.842672e-27
0.7,2.968361e-26
0.75,1.216283e-25
0.8,4.184220e-25
0.85,1.246256e-24
0.9,3.291561e-24
0.95,7.856046e-24
1,1.720212e-23
1.05,3.498291e-23
1.1,6.673924e-23
1.15,1.204364e-22
1.2,2.070082e-22
1.25,3.408738e-22
1.3,5.403958e-22
1.35,8.282542e-22
1.4,1.231715e-21
1.45,1.782786e-21
1.5,2.518248e-21
1.55,3.479576e-21
1.6,4.712745e-21
1.65,6.267946e-21
1.7,8.199213e-21
1.75,1.056399e-20
1.8,1.342264e-20
1.85,1.683794e-20
1.9,2.087453e-20
1.95,2.559836e-20
2,3.107620e-20
2.05,3.737507e-20
2.1,4.456175e-20
2.15,5.270235e-20
2.2,6.186185e-20
2.25,7.210369e-20
2.3,8.348949e-20
2.35,9.607865e-20
2.4,1.099281e-19
2.45,1.250923e-19
2.5,1.416224e-19
2.55,1.595670e-19
2.6,1.789713e-19
2.65,1.998773e-19
2.7,2.223237e-19
2.75,2.463460e-19
2.8,2.719762e-19
2.85,2.992432e-19
2.9,3.281723e-19
2.95,3.587859e-19
3,3.911031e-19
3.05,4.251398e-19
3.1,4.609091e-19
3.15,4.984210e-19
3.2,5.376830e-19
3.25,5.786996e-19
3.3,6.214728e-19
3.35,6.660023e-19
3.4,7.122852e-19
3.45,7.603166e-19
3.5,8.100893e-19
3.55,8.615944e-19
3.6,9.148207e-19
3.65,9.697557e-19
3.7,1.026385e-18
3.75,1.084693e-18
3.8,1.144661e-18
3.85,1.206272e-18
3.9,1.269506e-18
3.95,1.334341e-18
4,1.400756e-18
4.05,1.468727e-18
4.1,1.538231e-18
4.15,1.609242e-18
4.2,1.681737e-18
4.25,1.755689e-18
4.3,1.831071e-18
4.35,1.907856e-18
4.4,1.986017e-18
4.45,2.065527e-18
4.5,2.146357e-18
4.55,2.228479e-18
4.6,2.311864e-18
4.65,2.396484e-18
4.7,2.482311e-18
4.75,2.569314e-18
4.8,2.657466e-18
4.85,2.746737e-18
4.9,2.837099e-18
4.95,2.928524e-18
5,3.020981e-18
5.05,3.114444e-18
5.1,3.208884e-18
5.15,3.304272e-18
5.2,3.400581e-18
5.25,3.497783e-18
5.3,3.595851e-18
5.35,3.694757e-18
5.4,3.794475e-18
5.45,3.894978e-18
5.5,3.996240e-18
5.55,4.098235e-18
5.6,4.200937e-18
5.65,4.304320e-18
5.7,4.408361e-18
5.75,4.513034e-18
5.8,4.618315e-18
5.85,4.724181e-18
5.9,4.830607e-18
5.95,4.937571e-18
6,5.045050e-18
6.05,5.153021e-18
6.1,5.261463e-18
6.15,5.370354e-18
6.2,5.479673e-18
6.25,5.589398e-18
6.3,5.699510e-18
6.35,5.809988e-18
6.4,5.920812e-18
6.45,6.031964e-18
6.5,6.143425e-18
6.55,6.255175e-18
6.6,6.367196e-18
6.65,6.479472e-18
6.7,6.591983e-18
6.75,6.704714e-18
6.8,6.817647e-18
6.85,6.930766e-18
6.9,7.044055e-18
6.95,7.157498e-18
7,7.271081e-18
7.05,7.384787e-18
7.1,7.498602e-18
7.15,7.612513e-18
7.2,7.726504e-18
7.25,7.840562e-18
7.3,7.954675e-18
7.35,8.068828e-18
7.4,8.183008e-18
7.45,8.297205e-18
7.5,8.411405e-18
7.55,8.525596e-18
7.6,8.639767e-18
7.65,8.753906e-18
7.7,8.868004e-18
7.75,8.982048e-18
7.8,9.096028e-18
7.85,9.209934e-18
7.9,9.323756e-18
7.95,9.437485e-18
8,9.551111e-18
8.05,9.664624e-18
8.1,9.778016e-18
8.15,9.891278e-18
8.2,1.000440e-17
8.25,1.011738e-17
8.3,1.023020e-17
8.35,1.034286e-17
8.4,1.045535e-17
8.45,1.056766e-17
8.5,1.067978e-17
8.55,1.079172e-17
8.6,1.090345e-17
8.65,1.101498e-17
8.7,1.112630e-17
8.75,1.123740e-17
