# Anregung: e + Ar -> e + Ar(3d1: 3d(5/2) bei 14.065 eV, Schwelle 14.065 eV | Argon (puech) | tabelliert
Te_eV,K_m3s
0.5,3.534541e-28
0.55,4.728019e-27
0.6,4.112827e-26
0.65,2.568829e-25
0.7,1.236539e-24
0.75,4.831884e-24
0.8,1.593632e-23
0.85,4.570603e-23
0.9,1.166678e-22
0.95,2.699482e-22
1,5.745577e-22
1.05,1.138338e-21
1.1,2.119908e-21
1.15,3.740791e-21
1.2,6.296819e-21
1.25,1.016804e-20
1.3,1.582643e-20
1.35,2.384096e-20
1.4,3.487981e-20
1.45,4.970955e-20
1.5,6.919164e-20
1.55,9.427624e-20
1.6,1.259940e-19
1.65,1.654459e-19
1.7,2.137919e-19
1.75,2.722390e-19
1.8,3.420279e-19
1.85,4.244206e-19
1.9,5.206880e-19
1.95,6.320970e-19
2,7.598999e-19
2.05,9.053235e-19
2.1,1.069559e-18
2.15,1.253755e-18
2.2,1.459007e-18
2.25,1.686355e-18
2.3,1.936775e-18
2.35,2.211175e-18
2.4,2.510395e-18
2.45,2.835199e-18
2.5,3.186279e-18
2.55,3.564249e-18
2.6,3.969651e-18
2.65,4.402948e-18
2.7,4.864531e-18
2.75,5.354719e-18
2.8,5.873760e-18
2.85,6.421831e-18
2.9,6.999047e-18
2.95,7.605457e-18
3,8.241049e-18
3.05,8.905757e-18
3.1,9.599457e-18
3.15,1.032198e-17
3.2,1.107309e-17
3.25,1.185253e-17
3.3,1.266000e-17
3.35,1.349514e-17
3.4,1.435756e-17
3.45,1.524686e-17
3.5,1.616259e-17
3.55,1.710427e-17
3.6,1.807141e-17
3.65,1.906348e-17
3.7,2.007995e-17
3.75,2.112026e-17
3.8,2.218383e-17
3.85,2.327009e-17
3.9,2.437844e-17
3.95,2.550826e-17
4,2.665895e-17
4.05,2.782989e-17
4.1,2.902046e-17
4.15,3.023002e-17
4.2,3.145796e-17
4.25,3.270364e-17
4.3,3.396644e-17
4.35,3.524573e-17
4.4,3.654089e-17
4.45,3.785130e-17
4.5,3.917635e-17
4.55,4.051543e-17
4.6,4.186794e-17
4.65,4.323327e-17
4.7,4.461085e-17
4.75,4.600008e-17
4.8,4.740040e-17
4.85,4.881124e-17
4.9,5.023205e-17
4.95,5.166228e-17
5,5.310140e-17
5.05,5.454886e-17
5.1,5.600417e-17
5.15,5.746680e-17
5.2,5.893627e-17
5.25,6.041209e-17
5.3,6.189377e-17
5.35,6.338086e-17
5.4,6.487289e-17
5.45,6.636943e-17
5.5,6.787004e-17
5.55,6.937428e-17
5.6,7.088176e-17
5.65,7.239206e-17
