# Anregung: e + Ar -> e + Ar(3p9) bei 14.496 eV, Schwelle 14.496 eV | Argon (puech) | tabelliert
Te_eV,K_m3s
0.5,5.278163e-30
0.55,7.639037e-29
0.6,7.096229e-28
0.65,4.685770e-27
0.7,2.365810e-26
0.75,9.635360e-26
0.8,3.295238e-25
0.85,9.758434e-25
0.9,2.562899e-24
0.95,6.083344e-24
1,1.324882e-23
1.05,2.680114e-23
1.1,5.086541e-23
1.15,9.132355e-23
1.2,1.561829e-22
1.25,2.559148e-22
1.3,4.037414e-22
1.35,6.158515e-22
1.4,9.115360e-22
1.45,1.313235e-21
1.5,1.846498e-21
1.55,2.539860e-21
1.6,3.424647e-21
1.65,4.534708e-21
1.7,5.906112e-21
1.75,7.576787e-21
1.8,9.586149e-21
1.85,1.197471e-20
1.9,1.478367e-20
1.95,1.805456e-20
2,2.182884e-20
2.05,2.614753e-20
2.1,3.105093e-20
2.15,3.657826e-20
2.2,4.276745e-20
2.25,4.965485e-20
2.3,5.727505e-20
2.35,6.566068e-20
2.4,7.484231e-20
2.45,8.484830e-20
2.5,9.570473e-20
2.55,1.074353e-19
2.6,1.200615e-19
2.65,1.336021e-19
2.7,1.480738e-19
2.75,1.634907e-19
2.8,1.798648e-19
2.85,1.972057e-19
2.9,2.155206e-19
2.95,2.348149e-19
3,2.550918e-19
3.05,2.763523e-19
3.1,2.985959e-19
3.15,3.218199e-19
3.2,3.460201e-19
3.25,3.711907e-19
3.3,3.973244e-19
3.35,4.244123e-19
3.4,4.524444e-19
3.45,4.814094e-19
3.5,5.112947e-19
3.55,5.420869e-19
3.6,5.737716e-19
3.65,6.063333e-19
3.7,6.397560e-19
3.75,6.740228e-19
3.8,7.091162e-19
3.85,7.450182e-19
3.9,7.817102e-19
3.95,8.191733e-19
4,8.573881e-19
4.05,8.963349e-19
4.1,9.359938e-19
4.15,9.763447e-19
4.2,1.017367e-18
4.25,1.059041e-18
4.3,1.101346e-18
4.35,1.144261e-18
4.4,1.187765e-18
4.45,1.231839e-18
4.5,1.276462e-18
4.55,1.321614e-18
4.6,1.367274e-18
4.65,1.413422e-18
4.7,1.460039e-18
4.75,1.507105e-18
4.8,1.554600e-18
4.85,1.602506e-18
4.9,1.650803e-18
4.95,1.699472e-18
5,1.748495e-18
5.05,1.797855e-18
5.1,1.847532e-18
5.15,1.897510e-18
5.2,1.947771e-18
5.25,1.998298e-18
5.3,2.049075e-18
5.35,2.100085e-18
5.4,2.151312e-18
5.45,2.202741e-18
5.5,2.254357e-18
5.55,2.306143e-18
5.6,2.358086e-18
5.65,2.410172e-18
5.7,2.462386e-18
5.75,2.514714e-18
5.8,2.567143e-18
5.85,2.619661e-18
5.9,2.672254e-18
5.95,2.724910e-18
6,2.777617e-18
6.05,2.830364e-18
6.1,2.883138e-18
6.15,2.935929e-18
6.2,2.988726e-18
6.25,3.041518e-18
6.3,3.094295e-18
6.35,3.147048e-18
6.4,3.199766e-18
6.45,3.252440e-18
6.5,3.305061e-18
6.55,3.357621e-18
6.6,3.410110e-18
6.65,3.462520e-18
6.7,3.514844e-18
6.75,3.567074e-18
6.8,3.619201e-18
6.85,3.671219e-18
6.9,3.723121e-18
6.95,3.774900e-18
7,3.826550e-18
7.05,3.878063e-18
7.1,3.929434e-18
7.15,3.980657e-18
7.2,4.031726e-18
7.25,4.082636e-18
7.3,4.133381e-18
7.35,4.183957e-18
7.4,4.234358e-18
7.45,4.284579e-18
7.5,4.334616e-18
7.55,4.384465e-18
7.6,4.434122e-18
7.65,4.483582e-18
7.7,4.532841e-18
7.75,4.581896e-18
7.8,4.630743e-18
7.85,4.679380e-18
7.9,4.727801e-18
7.95,4.776005e-18
8,4.823989e-18
8.05,4.871749e-18
8.1,4.919283e-18
8.15,4.966589e-18
8.2,5.013663e-18
8.25,5.060504e-18
8.3,5.107109e-18
8.35,5.153477e-18
8.4,5.199605e-18
8.45,5.245491e-18
8.5,5.291134e-18
8.55,5.336532e-18
8.6,5.381683e-18
8.65,5.426586e-18
8.7,5.471240e-18
8.75,5.515643e-18
8.8,5.559794e-18
8.85,5.603692e-18
8.9,5.647336e-18
8.95,5.690725e-18
9,5.733858e-18
9.05,5.776735e-18
9.1,5.819355e-18
9.15,5.861716e-18
9.2,5.903819e-18
9.25,5.945663e-18
9.3,5.987248e-18
9.35,6.028572e-18
9.4,6.069637e-18
9.45,6.110441e-18
9.5,6.150985e-18
9.55,6.191268e-18
9.6,6.231291e-18
9.65,6.271052e-18
9.7,6.310553e-18
9.75,6.349793e-18
9.8,6.388772e-18
9.85,6.427492e-18
9.9,6.465950e-18
9.95,6.504149e-18
10,6.542089e-18
10.05,6.579768e-18
10.1,6.617189e-18
10.15,6.654352e-18
10.2,6.691256e-18
10.25,6.727903e-18
10.3,6.764292e-18
10.35,6.800425e-18
10.4,6.836302e-18
10.45,6.871923e-18
10.5,6.907290e-18
10.55,6.942402e-18
10.6,6.977261e-18
10.65,7.011867e-18
10.7,7.046221e-18
10.75,7.080324e-18
10.8,7.114177e-18
10.85,7.147780e-18
10.9,7.181133e-18
10.95,7.214239e-18
11,7.247098e-18
11.05,7.279710e-18
11.1,7.312077e-18
11.15,7.344200e-18
11.2,7.376079e-18
11.25,7.407715e-18
11.3,7.439110e-18
11.35,7.470264e-18
11.4,7.501178e-18
11.45,7.531854e-18
11.5,7.562291e-18
11.55,7.592493e-18
11.6,7.622458e-18
11.65,7.652189e-18
11.7,7.681686e-18
11.75,7.710951e-18
11.8,7.739984e-18
11.85,7.768787e-18
11.9,7.797361e-18
11.95,7.825706e-18
12,7.853825e-18
12.05,7.881717e-18
12.1,7.909385e-18
12.15,7.936828e-18
12.2,7.964049e-18
12.25,7.991049e-18
12.3,8.017828e-18
12.35,8.044388e-18
12.4,8.070729e-18
12.45,8.096854e-18
12.5,8.122763e-18
12.55,8.148457e-18
12.6,8.173937e-18
12.65,8.199205e-18
12.7,8.224262e-18
12.75,8.249109e-18
12.8,8.273746e-18
12.85,8.298176e-18
12.9,8.322399e-18
12.95,8.346417e-18
13,8.370230e-18
13.05,8.393840e-18
13.1,8.417248e-18
13.15,8.440455e-18
13.2,8.463462e-18
13.25,8.486271e-18
13.3,8.508882e-18
13.35,8.531297e-18
13.4,8.553516e-18
13.45,8.575542e-18
13.5,8.597375e-18
13.55,8.619016e-18
13.6,8.640466e-18
13.65,8.661727e-18
13.7,8.682800e-18
13.75,8.703685e-18
13.8,8.724384e-18
13.85,8.744899e-18
13.9,8.765229e-18
13.95,8.785377e-18
14,8.805343e-18
14.05,8.825129e-18
14.1,8.844735e-18
14.15,8.864163e-18
14.2,8.883414e-18
14.25,8.902489e-18
14.3,8.921389e-18
14.35,8.940115e-18
14.4,8.958668e-18
14.45,8.977049e-18
14.5,8.995260e-18
14.55,9.013301e-18
14.6,9.031174e-18
14.65,9.048880e-18
14.7,9.066419e-18
14.75,9.083792e-18
14.8,9.101002e-18
14.85,9.118048e-18
14.9,9.134932e-18
14.95,9.151655e-18
15,9.168218e-18
15.05,9.184622e-18
15.1,9.200868e-18
15.15,9.216956e-18
15.2,9.232889e-18
15.25,9.248667e-18
15.3,9.264291e-18
15.35,9.279762e-18
15.4,9.295081e-18
15.45,9.310249e-18
15.5,9.325267e-18
15.55,9.340136e-18
15.6,9.354857e-18
15.65,9.369431e-18
15.7,9.383858e-18
15.75,9.398141e-18
15.8,9.412279e-18
15.85,9.426275e-18
15.9,9.440128e-18
15.95,9.453839e-18
16,9.467411e-18
16.05,9.480842e-18
16.1,9.494136e-18
16.15,9.507291e-18
16.2,9.520310e-18
16.25,9.533193e-18
16.3,9.545941e-18
16.35,9.558556e-18
16.4,9.571037e-18
16.45,9.583386e-18
16.5,9.595603e-18
16.55,9.607691e-18
16.6,9.619648e-18
16.65,9.631477e-18
16.7,9.643178e-18
16.75,9.654753e-18
16.8,9.666201e-18
16.85,9.677523e-18
16.9,9.688722e-18
16.95,9.699797e-18
17,9.710749e-18
17.05,9.721579e-18
17.1,9.732288e-18
17.15,9.742877e-18
17.2,9.753347e-18
17.25,9.763698e-18
17.3,9.773931e-18
17.35,9.784047e-18
17.4,9.794046e-18
17.45,9.803931e-18
17.5,9.813700e-18
17.55,9.823356e-18
17.6,9.832899e-18
17.65,9.842330e-18
17.7,9.851648e-18
17.75,9.860857e-18
17.8,9.869955e-18
17.85,9.878943e-18
17.9,9.887824e-18
17.95,9.896596e-18
18,9.905262e-18
18.05,9.913821e-18
18.1,9.922274e-18
18.15,9.930623e-18
18.2,9.938867e-18
18.25,9.947009e-18
18.3,9.955047e-18
18.35,9.962983e-18
18.4,9.970818e-18
18.45,9.978553e-18
18.5,9.986188e-18
18.55,9.993723e-18
18.6,1.000116e-17
18.65,1.000850e-17
18.7,1.001574e-17
18.75,1.002289e-17
18.8,1.002994e-17
18.85,1.003689e-17
18.9,1.004375e-17
18.95,1.005052e-17
19,1.005719e-17
19.05,1.006377e-17
19.1,1.007026e-17
19.15,1.007665e-17
19.2,1.008296e-17
19.25,1.008917e-17
19.3,1.009530e-17
19.35,1.010134e-17
19.4,1.010729e-17
19.45,1.011315e-17
19.5,1.011893e-17
19.55,1.012462e-17
19.6,1.013022e-17
19.65,1.013574e-17
19.7,1.014117e-17
19.75,1.014652e-17
19.8,1.015179e-17
19.85,1.015697e-17
19.9,1.016207e-17
19.95,1.016709e-17
20,1.017203e-17
