# Anregung: e + Ar -> e + Ar(:4d'(3/2) bei 15.103 eV, Schwelle 15.103 eV | Argon (puech) | tabelliert
Te_eV,K_m3s
0.5,4.975326e-30
0.55,8.836866e-29
0.6,9.810454e-28
0.65,7.580776e-27
0.7,4.403446e-26
0.75,2.034570e-25
0.8,7.801787e-25
0.85,2.564971e-24
0.9,7.415565e-24
0.95,1.923465e-23
1,4.548618e-23
1.05,9.935457e-23
1.1,2.026037e-22
1.15,3.891310e-22
1.2,7.091484e-22
1.25,1.233863e-21
1.3,2.060487e-21
1.35,3.317381e-21
1.4,5.169120e-21
1.45,7.821290e-21
1.5,1.152483e-20
1.55,1.657979e-20
1.6,2.333833e-20
1.65,3.220701e-20
1.7,4.364816e-20
1.75,5.818047e-20
1.8,7.637874e-20
1.85,9.887288e-20
1.9,1.263461e-19
1.95,1.595326e-19
2,1.992147e-19
2.05,2.462191e-19
2.1,3.014135e-19
2.15,3.657024e-19
2.2,4.400226e-19
2.25,5.253388e-19
2.3,6.226393e-19
2.35,7.329313e-19
2.4,8.572365e-19
2.45,9.965866e-19
2.5,1.152019e-18
2.55,1.324574e-18
2.6,1.515288e-18
2.65,1.725192e-18
2.7,1.955309e-18
2.75,2.206649e-18
2.8,2.480207e-18
2.85,2.776957e-18
2.9,3.097857e-18
2.95,3.443839e-18
3,3.815811e-18
3.05,4.214654e-18
3.1,4.641222e-18
3.15,5.096339e-18
3.2,5.580797e-18
3.25,6.095359e-18
3.3,6.640753e-18
3.35,7.217676e-18
3.4,7.826789e-18
3.45,8.468721e-18
3.5,9.144068e-18
3.55,9.853388e-18
3.6,1.059721e-17
3.65,1.137602e-17
3.7,1.219029e-17
3.75,1.304043e-17
3.8,1.392684e-17
3.85,1.484988e-17
3.9,1.580988e-17
3.95,1.680712e-17
4,1.784188e-17
4.05,1.891439e-17
4.1,2.002486e-17
4.15,2.117345e-17
4.2,2.236033e-17
4.25,2.358560e-17
4.3,2.484937e-17
4.35,2.615170e-17
4.4,2.749263e-17
4.45,2.887219e-17
4.5,3.029036e-17
4.55,3.174713e-17
