# Anregung: e + Ar -> e + Ar(:6d(1/2) bei 15.346 eV, Schwelle 15.346 eV | Argon (puech) | tabelliert
Te_eV,K_m3s
0.5,1.530584e-30
0.55,2.842417e-29
0.6,3.275078e-28
0.65,2.611632e-27
0.7,1.558492e-26
0.75,7.371106e-26
0.8,2.884881e-25
0.85,9.656958e-25
0.9,2.836947e-24
0.95,7.464567e-24
1,1.788087e-23
1.05,3.951406e-23
1.1,8.143395e-23
1.15,1.579243e-22
1.2,2.903600e-22
1.25,5.093392e-22
1.3,8.569992e-22
1.35,1.389430e-21
1.4,2.179088e-21
1.45,3.317129e-21
1.5,4.915555e-21
1.55,7.109119e-21
1.6,1.005692e-20
1.65,1.394364e-20
1.7,1.898044e-20
1.75,2.540537e-20
1.8,3.348355e-20
1.85,4.350681e-20
1.9,5.579309e-20
1.95,7.068550e-20
2,8.855108e-20
2.05,1.097793e-19
2.1,1.347805e-19
2.15,1.639839e-19
2.2,1.978356e-19
2.25,2.367969e-19
2.3,2.813415e-19
2.35,3.319542e-19
2.4,3.891281e-19
2.45,4.533628e-19
2.5,5.251624e-19
2.55,6.050334e-19
2.6,6.934828e-19
2.65,7.910162e-19
2.7,8.981363e-19
2.75,1.015341e-18
2.8,1.143123e-18
2.85,1.281966e-18
2.9,1.432345e-18
2.95,1.594728e-18
3,1.769567e-18
3.05,1.957307e-18
3.1,2.158377e-18
3.15,2.373193e-18
3.2,2.602159e-18
3.25,2.845661e-18
3.3,3.104072e-18
3.35,3.377749e-18
3.4,3.667033e-18
3.45,3.972249e-18
3.5,4.293706e-18
3.55,4.631696e-18
3.6,4.986495e-18
3.65,5.358362e-18
3.7,5.747541e-18
3.75,6.154258e-18
3.8,6.578724e-18
3.85,7.021134e-18
3.9,7.481667e-18
3.95,7.960485e-18
4,8.457738e-18
4.05,8.973558e-18
4.1,9.508065e-18
4.15,1.006136e-17
4.2,1.063354e-17
4.25,1.122467e-17
4.3,1.183482e-17
4.35,1.246404e-17
4.4,1.311237e-17
4.45,1.377983e-17
4.5,1.446644e-17
4.55,1.517219e-17
4.6,1.589709e-17
4.65,1.664110e-17
4.7,1.740420e-17
4.75,1.818635e-17
4.8,1.898751e-17
4.85,1.980760e-17
4.9,2.064657e-17
4.95,2.150434e-17
5,2.238083e-17
5.05,2.327594e-17
5.1,2.418958e-17
5.15,2.512164e-17
5.2,2.607201e-17
5.25,2.704057e-17
5.3,2.802721e-17
5.35,2.903178e-17
5.4,3.005415e-17
5.45,3.109419e-17
5.5,3.215175e-17
5.55,3.322667e-17
5.6,3.431882e-17
5.65,3.542802e-17
5.7,3.655412e-17
5.75,3.769696e-17
5.8,3.885637e-17
5.85,4.003217e-17
5.9,4.122420e-17
5.95,4.243228e-17
6,4.365622e-17
6.05,4.489586e-17
6.1,4.615102e-17
6.15,4.742149e-17
6.2,4.870711e-17
6.25,5.000769e-17
6.3,5.132304e-17
6.35,5.265296e-17
6.4,5.399728e-17
6.45,5.535580e-17
6.5,5.672833e-17
6.55,5.811468e-17
6.6,5.951466e-17
6.65,6.092807e-17
6.7,6.235473e-17
6.75,6.379445e-17
6.8,6.524702e-17
6.85,6.671227e-17
6.9,6.819000e-17
6.95,6.968001e-17
7,7.118212e-17
7.05,7.269614e-17
7.1,7.422188e-17
7.15,7.575915e-17
7.2,7.730776e-17
7.25,7.886752e-17
7.3,8.043826e-17
7.35,8.201978e-17
7.4,8.361189e-17
7.45,8.521442e-17
7.5,8.682719e-17
7.55,8.845001e-17
7.6,9.008269e-17
7.65,9.172507e-17
7.7,9.337697e-17
7.75,9.503820e-17
7.8,9.670859e-17
7.85,9.838797e-17
7.9,1.000762e-16
7.95,1.017730e-16
8,1.034783e-16
8.05,1.051919e-16
8.1,1.069137e-16
8.15,1.086434e-16
8.2,1.103809e-16
8.25,1.121261e-16
8.3,1.138787e-16
8.35,1.156387e-16
8.4,1.174058e-16
8.45,1.191799e-16
8.5,1.209609e-16
8.55,1.227485e-16
8.6,1.245427e-16
8.65,1.263432e-16
8.7,1.281500e-16
8.75,1.299629e-16
8.8,1.317817e-16
8.85,1.336063e-16
8.9,1.354365e-16
8.95,1.372723e-16
9,1.391133e-16
9.05,1.409596e-16
9.1,1.428110e-16
9.15,1.446673e-16
9.2,1.465284e-16
9.25,1.483942e-16
9.3,1.502645e-16
9.35,1.521392e-16
9.4,1.540181e-16
9.45,1.559012e-16
9.5,1.577883e-16
9.55,1.596793e-16
9.6,1.615740e-16
9.65,1.634724e-16
9.7,1.653742e-16
9.75,1.672795e-16
9.8,1.691879e-16
9.85,1.710996e-16
9.9,1.730142e-16
9.95,1.749318e-16
10,1.768522e-16
10.05,1.787752e-16
10.1,1.807008e-16
10.15,1.826288e-16
10.2,1.845592e-16
10.25,1.864918e-16
10.3,1.884265e-16
10.35,1.903632e-16
10.4,1.923018e-16
10.45,1.942423e-16
10.5,1.961844e-16
10.55,1.981281e-16
10.6,2.000733e-16
10.65,2.020199e-16
