# Elastischer Stoss, integriert ueber die Querschnitte | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,6.228726e-15
0.55,7.246931e-15
0.6,8.320726e-15
0.65,9.448722e-15
0.7,1.063003e-14
0.75,1.186403e-14
0.8,1.315017e-14
0.85,1.448791e-14
0.9,1.587661e-14
0.95,1.731547e-14
1,1.880355e-14
1.05,2.033969e-14
1.1,2.192255e-14
1.15,2.355058e-14
1.2,2.522208e-14
1.25,2.693516e-14
1.3,2.868778e-14
1.35,3.047780e-14
1.4,3.230296e-14
1.45,3.416093e-14
1.5,3.604933e-14
1.55,3.796575e-14
1.6,3.990775e-14
1.65,4.187290e-14
1.7,4.385880e-14
1.75,4.586307e-14
1.8,4.788338e-14
1.85,4.991745e-14
1.9,5.196307e-14
1.95,5.401808e-14
2,5.608043e-14
2.05,5.814812e-14
2.1,6.021924e-14
2.15,6.229196e-14
2.2,6.436455e-14
2.25,6.643534e-14
2.3,6.850277e-14
2.35,7.056536e-14
2.4,7.262170e-14
2.45,7.467047e-14
2.5,7.671043e-14
2.55,7.874042e-14
2.6,8.075937e-14
2.65,8.276624e-14
2.7,8.476011e-14
2.75,8.674009e-14
2.8,8.870538e-14
2.85,9.065524e-14
2.9,9.258897e-14
2.95,9.450595e-14
3,9.640560e-14
3.05,9.828741e-14
3.1,1.001509e-13
3.15,1.019956e-13
3.2,1.038212e-13
3.25,1.056273e-13
3.3,1.074137e-13
3.35,1.091800e-13
3.4,1.109261e-13
3.45,1.126516e-13
3.5,1.143566e-13
3.55,1.160408e-13
3.6,1.177041e-13
3.65,1.193465e-13
3.7,1.209679e-13
3.75,1.225682e-13
3.8,1.241475e-13
3.85,1.257058e-13
3.9,1.272430e-13
3.95,1.287592e-13
4,1.302545e-13
4.05,1.317290e-13
4.1,1.331827e-13
4.15,1.346158e-13
4.2,1.360282e-13
4.25,1.374203e-13
4.3,1.387920e-13
4.35,1.401436e-13
4.4,1.414752e-13
4.45,1.427869e-13
4.5,1.440789e-13
4.55,1.453514e-13
4.6,1.466045e-13
4.65,1.478385e-13
4.7,1.490534e-13
4.75,1.502496e-13
4.8,1.514272e-13
4.85,1.525863e-13
4.9,1.537273e-13
4.95,1.548502e-13
5,1.559553e-13
5.05,1.570428e-13
5.1,1.581129e-13
5.15,1.591658e-13
5.2,1.602017e-13
5.25,1.612208e-13
5.3,1.622234e-13
5.35,1.632096e-13
5.4,1.641796e-13
5.45,1.651337e-13
5.5,1.660721e-13
5.55,1.669949e-13
5.6,1.679024e-13
5.65,1.687947e-13
5.7,1.696722e-13
5.75,1.705349e-13
5.8,1.713831e-13
5.85,1.722169e-13
5.9,1.730367e-13
5.95,1.738426e-13
6,1.746347e-13
6.05,1.754132e-13
6.1,1.761785e-13
6.15,1.769306e-13
6.2,1.776697e-13
6.25,1.783961e-13
6.3,1.791098e-13
6.35,1.798112e-13
6.4,1.805003e-13
6.45,1.811773e-13
6.5,1.818425e-13
6.55,1.824960e-13
6.6,1.831380e-13
6.65,1.837686e-13
6.7,1.843880e-13
6.75,1.849964e-13
6.8,1.855939e-13
6.85,1.861807e-13
6.9,1.867570e-13
6.95,1.873229e-13
7,1.878786e-13
7.05,1.884242e-13
7.1,1.889599e-13
7.15,1.894858e-13
7.2,1.900021e-13
7.25,1.905089e-13
7.3,1.910063e-13
7.35,1.914946e-13
7.4,1.919738e-13
7.45,1.924440e-13
7.5,1.929055e-13
7.55,1.933583e-13
7.6,1.938026e-13
7.65,1.942385e-13
7.7,1.946662e-13
