# Anregung, Summe aller Prozesse | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,4.171732e-25
0.55,3.512538e-24
0.6,2.086532e-23
0.65,9.476380e-23
0.7,3.485032e-22
0.75,1.082419e-21
0.8,2.930292e-21
0.85,7.083128e-21
0.9,1.557681e-20
0.95,3.162967e-20
1,6.000805e-20
1.05,1.073939e-19
1.1,1.827277e-19
1.15,2.975042e-19
1.2,4.660011e-19
1.25,7.054294e-19
1.3,1.035999e-18
1.35,1.480900e-18
1.4,2.066199e-18
1.45,2.820668e-18
1.5,3.775547e-18
1.55,4.964258e-18
1.6,6.422076e-18
1.65,8.185784e-18
1.7,1.029330e-17
1.75,1.278331e-17
1.8,1.569491e-17
1.85,1.906724e-17
1.9,2.293916e-17
1.95,2.734893e-17
2,3.233392e-17
2.05,3.793039e-17
2.1,4.417322e-17
2.15,5.109573e-17
2.2,5.872951e-17
2.25,6.710432e-17
2.3,7.624790e-17
2.35,8.618598e-17
2.4,9.694215e-17
2.45,1.085379e-16
2.5,1.209924e-16
2.55,1.343229e-16
2.6,1.485443e-16
2.65,1.636695e-16
2.7,1.797092e-16
2.75,1.966723e-16
2.8,2.145655e-16
2.85,2.333938e-16
2.9,2.531602e-16
2.95,2.738662e-16
3,2.955115e-16
3.05,3.180943e-16
3.1,3.416113e-16
3.15,3.660577e-16
3.2,3.914277e-16
3.25,4.177139e-16
3.3,4.449081e-16
3.35,4.730008e-16
3.4,5.019818e-16
3.45,5.318397e-16
3.5,5.625626e-16
3.55,5.941376e-16
3.6,6.265514e-16
3.65,6.597897e-16
3.7,6.938382e-16
3.75,7.286816e-16
3.8,7.643045e-16
3.85,8.006912e-16
3.9,8.378253e-16
3.95,8.756907e-16
4,9.142705e-16
4.05,9.535481e-16
4.1,9.935065e-16
4.15,1.034129e-15
4.2,1.075398e-15
4.25,1.117296e-15
4.3,1.159808e-15
4.35,1.202914e-15
4.4,1.246600e-15
4.45,1.290847e-15
4.5,1.335639e-15
4.55,1.380959e-15
4.6,1.426791e-15
4.65,1.473119e-15
4.7,1.519925e-15
4.75,1.567195e-15
4.8,1.614912e-15
4.85,1.663062e-15
4.9,1.711628e-15
4.95,1.760595e-15
5,1.809949e-15
5.05,1.859675e-15
5.1,1.909759e-15
5.15,1.960186e-15
5.2,2.010943e-15
5.25,2.062016e-15
5.3,2.113393e-15
5.35,2.165059e-15
5.4,2.217002e-15
5.45,2.269209e-15
5.5,2.321669e-15
5.55,2.374370e-15
5.6,2.427299e-15
5.65,2.480445e-15
5.7,2.533798e-15
5.75,2.587346e-15
5.8,2.641078e-15
5.85,2.694985e-15
5.9,2.749056e-15
5.95,2.803282e-15
6,2.857652e-15
6.05,2.912158e-15
6.1,2.966790e-15
6.15,3.021539e-15
6.2,3.076397e-15
6.25,3.131356e-15
6.3,3.186407e-15
6.35,3.241543e-15
6.4,3.296755e-15
6.45,3.352036e-15
6.5,3.407379e-15
6.55,3.462777e-15
6.6,3.518223e-15
6.65,3.573711e-15
6.7,3.629233e-15
6.75,3.684784e-15
6.8,3.740357e-15
6.85,3.795947e-15
6.9,3.851548e-15
6.95,3.907155e-15
7,3.962761e-15
7.05,4.018363e-15
7.1,4.073954e-15
7.15,4.129530e-15
7.2,4.185087e-15
7.25,4.240619e-15
7.3,4.296123e-15
7.35,4.351593e-15
7.4,4.407027e-15
7.45,4.462420e-15
7.5,4.517768e-15
7.55,4.573067e-15
7.6,4.628314e-15
7.65,4.683506e-15
7.7,4.738639e-15
7.75,4.793709e-15
7.8,4.848715e-15
7.85,4.903652e-15
7.9,4.958519e-15
7.95,5.013311e-15
8,5.068027e-15
8.05,5.122664e-15
8.1,5.177220e-15
8.15,5.231692e-15
8.2,5.286077e-15
8.25,5.340375e-15
8.3,5.394582e-15
8.35,5.448696e-15
8.4,5.502717e-15
8.45,5.556641e-15
8.5,5.610467e-15
8.55,5.664193e-15
8.6,5.717818e-15
8.65,5.771341e-15
8.7,5.824758e-15
8.75,5.878071e-15
8.8,5.931276e-15
8.85,5.984373e-15
8.9,6.037360e-15
8.95,6.090236e-15
9,6.143001e-15
9.05,6.195653e-15
9.1,6.248190e-15
9.15,6.300613e-15
9.2,6.352920e-15
9.25,6.405111e-15
9.3,6.457184e-15
9.35,6.509139e-15
9.4,6.560975e-15
9.45,6.612691e-15
9.5,6.664287e-15
9.55,6.715763e-15
9.6,6.767117e-15
9.65,6.818349e-15
9.7,6.869459e-15
9.75,6.920446e-15
9.8,6.971310e-15
9.85,7.022050e-15
9.9,7.072667e-15
9.95,7.123159e-15
10,7.173527e-15
10.05,7.223771e-15
10.1,7.273889e-15
10.15,7.323882e-15
10.2,7.373750e-15
10.25,7.423492e-15
10.3,7.473109e-15
10.35,7.522600e-15
10.4,7.571966e-15
10.45,7.621206e-15
10.5,7.670319e-15
10.55,7.719307e-15
10.6,7.768169e-15
10.65,7.816906e-15
10.7,7.865516e-15
10.75,7.914001e-15
10.8,7.962360e-15
10.85,8.010594e-15
10.9,8.058702e-15
10.95,8.106685e-15
11,8.154543e-15
11.05,8.202275e-15
11.1,8.249883e-15
11.15,8.297366e-15
11.2,8.344725e-15
11.25,8.391959e-15
11.3,8.439069e-15
11.35,8.486055e-15
11.4,8.532918e-15
11.45,8.579657e-15
11.5,8.626273e-15
11.55,8.672766e-15
11.6,8.719137e-15
11.65,8.765385e-15
11.7,8.811511e-15
11.75,8.857515e-15
11.8,8.903398e-15
11.85,8.949160e-15
11.9,8.994801e-15
11.95,9.040321e-15
12,9.085721e-15
12.05,9.131001e-15
12.1,9.176161e-15
12.15,9.221202e-15
12.2,9.266125e-15
12.25,9.310928e-15
12.3,9.355614e-15
12.35,9.400182e-15
12.4,9.444632e-15
12.45,9.488965e-15
12.5,9.533182e-15
12.55,9.577282e-15
12.6,9.621266e-15
12.65,9.665134e-15
12.7,9.708887e-15
12.75,9.752525e-15
12.8,9.796049e-15
12.85,9.839459e-15
12.9,9.882755e-15
12.95,9.925937e-15
13,9.969007e-15
13.05,1.001196e-14
13.1,1.005481e-14
13.15,1.009754e-14
